variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,learning_rate_retry,note,infeasible_reason,device_name,batch_size,history,horizon
trad_persistence,trad_persistence,deterministic,completed,0,,4.830000079891761e-06,0.00398497099990891,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.5611557960510254,0.7491033280202575,0.44452306628227234,55.688133239746094,33.045719146728516,43.1839599609375,,,,,,,,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,5.730000111725531e-06,0.003981080999892583,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.49966299533844,1.224607282086155,0.8780661225318909,91.0369644165039,65.27519226074219,77.2840347290039,,,,,,,,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.01447753599995849,0.003095271000120192,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9954032897949219,0.9976989975914188,0.7571893334388733,74.16867065429688,56.289241790771484,71.58169555664062,,,,,,,,,
trad_ar,trad_ar,deterministic,completed,0,,0.017845374999978958,0.0036256690000300296,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.47773006558418274,0.6911801976215629,0.4401960074901581,51.382144927978516,32.72405242919922,45.50196075439453,,,,,,,,,
trad_ridge,trad_ridge,deterministic,completed,0,,0.06719520499996179,0.004693743999951039,test,0,0,A,not_applicable,not_applicable,1,10.0,predictions/trad_ridge.npz,0.47658705711364746,0.690352849717916,0.43908175826072693,51.320640563964844,32.64121627807617,46.83012390136719,,,,,,,,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,2.7176877520000744,0.011117283999965366,test,0,0,A,not_applicable,not_applicable,18,100.0,predictions/trad_spatial_linear.npz,1.0919930934906006,1.044984733616047,0.7081694602966309,77.68386840820312,52.645118713378906,75.21961975097656,,,,,,,,,
center_gru_default,center_gru,2047,completed,28,0.8054205179214478,20.61221244300009,0.058943675000136864,test,32112,32112,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.45858457684516907,0.6771887305952227,0.4347897469997406,50.34202194213867,32.32215118408203,44.7188606262207,[9],"{""hidden_size"": 100}",,,,,,,
center_gru_default,center_gru,2048,completed,30,0.9903948307037354,20.48209851599995,0.0587873590000072,test,32112,32112,B,default,default,1,,predictions/center_gru_default_seed2048.npz,0.5399404764175415,0.734806421050838,0.5129082798957825,54.62530517578125,38.129459381103516,52.66020202636719,[9],"{""hidden_size"": 100}",True,nonfinite loss at protocol lr; retried once with lr/10,,,,,
center_gru_default,center_gru,2049,nonfinite,0,,,,test,32112,32112,B,default,default,1,,,,,,,,,[9],"{""hidden_size"": 100}",,,non-finite training loss at protocol lr and at lr/10: center_gru_default seed=2049 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,12.0
center_lstm_default,center_lstm,2047,completed,8,2.1259093284606934,6.708758172999978,0.04830339599993749,test,42412,42412,B,default,default,1,,predictions/center_lstm_default_seed2047.npz,0.9969786405563354,0.9984881774744934,0.7574573159217834,74.22733306884766,56.30916976928711,71.50933074951172,[9],"{""hidden_size"": 100}",,,,,,,
center_lstm_default,center_lstm,2048,nonfinite,0,,,,test,42412,42412,B,default,default,1,,,,,,,,,[9],"{""hidden_size"": 100}",,,non-finite training loss at protocol lr and at lr/10: center_lstm_default seed=2048 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,12.0
center_lstm_default,center_lstm,2049,nonfinite,0,,,,test,42412,42412,B,default,default,1,,,,,,,,,[9],"{""hidden_size"": 100}",,,non-finite training loss at protocol lr and at lr/10: center_lstm_default seed=2049 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,12.0
center_tcn_default,center_tcn,2047,completed,20,1.1151814460754395,318.84048286300003,0.997250656999995,test,66962,66962,B,default,default,1,,predictions/center_tcn_default_seed2047.npz,0.8006572723388672,0.8947945419697569,0.6774799227714539,66.5187759399414,50.36367416381836,63.53181457519531,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,,
center_tcn_default,center_tcn,2048,completed,29,1.0669572353363037,367.8674513390001,0.5698582199997873,test,66962,66962,B,default,default,1,,predictions/center_tcn_default_seed2048.npz,0.7604323625564575,0.8720277303827313,0.621212899684906,64.82630157470703,46.1807975769043,65.0748519897461,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,,
center_tcn_default,center_tcn,2049,completed,26,1.05241060256958,377.8296725289997,0.5764009129998158,test,66962,66962,B,default,default,1,,predictions/center_tcn_default_seed2049.npz,0.7193355560302734,0.8481365196890612,0.6164950728416443,63.050228118896484,45.830074310302734,65.85237884521484,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,,
