variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,infeasible_reason,device_name,batch_size,history,horizon
trad_persistence,trad_persistence,deterministic,completed,0,,3.709996235556901e-06,0.0032154389919014,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.0889563336968422,0.2982554839342308,0.1382103562355041,22.169845581054688,10.273414611816406,15.37182331085205,,,,,,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,2.820001100189984e-06,0.0022361729934345,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.4992564916610718,1.224441297760359,0.8785592913627625,91.01483154296876,65.30482482910156,77.23098754882812,,,,,,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.044308534997981,0.0031115589954424,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9941700100898744,0.9970807440171906,0.7563108801841736,74.11473083496094,56.217891693115234,71.428955078125,,,,,,,
trad_ar,trad_ar,deterministic,completed,0,,0.0515719410032033,0.0031814099929761,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.0894293040037155,0.2990473273642744,0.1371395736932754,22.22870445251465,10.193821907043455,16.8566837310791,,,,,,,
trad_ridge,trad_ridge,deterministic,completed,0,,0.0906323429953772,0.003401019013836,test,0,0,A,not_applicable,not_applicable,1,10.0,predictions/trad_ridge.npz,0.0898090898990631,0.2996816475846712,0.1434952914714813,22.27585220336914,10.666253089904783,18.94554710388184,,,,,,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,3.049403158991481,0.0075651340011972,test,0,0,A,not_applicable,not_applicable,18,100.0,predictions/trad_spatial_linear.npz,0.1083702370524406,0.3291963503024306,0.217228502035141,24.4697322845459,16.146968841552734,35.344852447509766,,,,,,,
center_gru_default,center_gru,2047,completed,30,0.0977085828781127,19.911656201002188,0.0552434040000662,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.0828964635729789,0.2879174596528994,0.1365092247724533,21.40140151977539,10.146965980529783,17.061279296875,[9],"{""hidden_size"": 100}",,,,,
center_gru_default,center_gru,2048,completed,28,0.0982891991734504,19.73158478600089,0.0544869570003356,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2048.npz,0.0834074318408966,0.2888034484574182,0.1356361359357834,21.467260360717773,10.082067489624023,16.28864097595215,[9],"{""hidden_size"": 100}",,,,,
center_gru_default,center_gru,2049,completed,30,0.0967254564166069,19.87673110498872,0.0546498369949404,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2049.npz,0.083983689546585,0.2897993953523455,0.1367210447788238,21.541290283203125,10.162711143493652,17.20444107055664,[9],"{""hidden_size"": 100}",,,,,
center_lstm_default,center_lstm,2047,completed,30,0.098983846604824,13.988739809996332,0.0402362110035028,test,41301,41301,B,default,default,1,,predictions/center_lstm_default_seed2047.npz,0.0826202258467674,0.2874373424709591,0.1370360106229782,21.36571311950684,10.18612289428711,16.16904067993164,[9],"{""hidden_size"": 100}",,,,,
center_lstm_default,center_lstm,2048,completed,30,0.098222903907299,13.83440768699802,0.0403335209994111,test,41301,41301,B,default,default,1,,predictions/center_lstm_default_seed2048.npz,0.0809225067496299,0.2844688150740428,0.1367327719926834,21.14505958557129,10.163583755493164,16.255977630615234,[9],"{""hidden_size"": 100}",,,,,
center_lstm_default,center_lstm,2049,completed,29,0.098891444504261,14.014371540004504,0.040287273004651,test,41301,41301,B,default,default,1,,predictions/center_lstm_default_seed2049.npz,0.08184215426445,0.2860806778942787,0.1385190188884735,21.26487159729004,10.296358108520508,16.79112434387207,[9],"{""hidden_size"": 100}",,,,,
center_tcn_default,center_tcn,2047,completed,30,0.6041356325149536,363.70608764801,1.0018536129937274,test,66676,66676,B,default,default,1,,predictions/center_tcn_default_seed2047.npz,0.3926385939121246,0.626608804528092,0.4362645149230957,46.5769157409668,32.42829513549805,62.859962463378906,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,
center_tcn_default,center_tcn,2048,completed,30,0.5489029288291931,353.8631173600006,0.5751158999919426,test,66676,66676,B,default,default,1,,predictions/center_tcn_default_seed2048.npz,0.3286575973033905,0.5732866624154015,0.3929034471511841,42.61338424682617,29.205188751220703,45.4266242980957,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,
center_tcn_default,center_tcn,2049,completed,28,0.6432880759239197,353.5661290029966,0.6250634500029264,test,66676,66676,B,default,default,1,,predictions/center_tcn_default_seed2049.npz,0.4538505971431732,0.6736843453303433,0.4798338413238525,50.07612228393555,35.666873931884766,52.31096267700195,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2047,completed,6,1.0717835426330566,11.1634292640083,0.0500152530003106,test,19591,19588,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2047.npz,0.7825813889503479,0.8846363032062091,0.6864548325538635,65.75654602050781,51.0253791809082,69.57320404052734,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2048,completed,6,0.475279152393341,10.90034639199439,0.038092550006695,test,19591,19588,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2048.npz,0.3973972499370575,0.6303945192790444,0.4833725094795227,46.85831451416016,35.929908752441406,55.35056686401367,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2049,completed,4,0.2150362133979797,9.079713439001353,0.0379976900003384,test,19591,19588,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2049.npz,0.147415280342102,0.38394697595124,0.2667034864425659,28.539440155029297,19.82453155517578,51.410423278808594,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2047,completed,8,0.4005980193614959,12.948898125003325,0.0497071449935901,test,19207,19204,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2047.npz,0.4377441108226776,0.6616223324697237,0.4131832718849182,49.17952728271485,30.71262550354004,46.79610443115234,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2048,completed,5,0.4497152864933014,10.159303993001233,0.0377396719995886,test,19207,19204,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2048.npz,0.3292321562767029,0.5737875532605277,0.4242472350597381,42.65061950683594,31.5350284576416,47.61985397338867,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2049,completed,9,0.3715656101703644,13.611357038011192,0.0379099690035218,test,19207,19204,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2049.npz,1.3909670114517212,1.1793926451575494,0.584087610244751,87.66629791259766,43.4162483215332,53.160255432128906,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
patchtst_ci_all_default,patchtst_ci_all,2047,infeasible_oom,0,,,,test,18984,18984,C,default,default,18,,,,,,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 18, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""stride"": 2}","CUDA out of memory. Tried to allocate 994.00 MiB. GPU 0 has a total capacity of 7.98 GiB of which 792.00 MiB is free. Of the allocated memory 6.70 GiB is allocated by PyTorch, and 82.20 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",AMD Radeon RX 7600,512.0,168.0,1.0
patchtst_ci_all_default,patchtst_ci_all,2048,infeasible_oom,0,,,,test,18984,18984,C,default,default,18,,,,,,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 18, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""stride"": 2}","CUDA out of memory. Tried to allocate 994.00 MiB. GPU 0 has a total capacity of 7.98 GiB of which 812.00 MiB is free. Of the allocated memory 6.70 GiB is allocated by PyTorch, and 62.20 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",AMD Radeon RX 7600,512.0,168.0,1.0
