variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,infeasible_reason,device_name,batch_size,history,horizon,learning_rate_retry,note
trad_persistence,trad_persistence,deterministic,completed,0,,4.370000169728883e-06,0.005455546000121103,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.9087557792663574,0.9532868294833184,0.6134812235832214,70.90665435791016,45.63148880004883,56.80586242675781,,,,,,,,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,4.030000127386302e-06,0.003205544000138616,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.50020432472229,1.224828283769725,0.8784198760986328,91.10424041748047,65.33795166015625,77.43546295166016,,,,,,,,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.015159043000039674,0.003219592000277771,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9951907992362976,0.997592501593861,0.7572650909423828,74.20216369628906,56.32632064819336,71.70423126220703,,,,,,,,,
trad_ar,trad_ar,deterministic,completed,0,,0.016249718999915785,0.0036105310000493773,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.6691154837608337,0.8179947944582738,0.5625580549240112,60.84346008300781,41.84376907348633,55.2396125793457,,,,,,,,,
trad_ridge,trad_ridge,deterministic,completed,0,,0.06633888899978047,0.003800456000135455,test,0,0,A,not_applicable,not_applicable,1,10.0,predictions/trad_ridge.npz,0.6640041470527649,0.8148644961297338,0.5563021302223206,60.61063003540039,41.378440856933594,56.118160247802734,,,,,,,,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,3.110683479999807,0.01223560299968085,test,0,0,A,not_applicable,not_applicable,18,100.0,predictions/trad_spatial_linear.npz,1.9626537561416626,1.400947449457567,0.9421865344047546,104.2042007446289,70.08100128173828,88.84878540039062,,,,,,,,,
center_gru_default,center_gru,2047,completed,22,1.2095681428909302,19.02830116899986,0.058561109000038414,test,33324,33324,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.678965151309967,0.823993417030723,0.5747660994529724,61.28964614868164,42.751808166503906,55.89792251586914,[9],"{""hidden_size"": 100}",,,,,,,
center_gru_default,center_gru,2048,nonfinite,0,,,,test,33324,33324,B,default,default,1,,,,,,,,,[9],"{""hidden_size"": 100}",non-finite training loss at protocol lr and at lr/10: center_gru_default seed=2048 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,24.0,,
center_gru_default,center_gru,2049,nonfinite,0,,,,test,33324,33324,B,default,default,1,,,,,,,,,[9],"{""hidden_size"": 100}",non-finite training loss at protocol lr and at lr/10: center_gru_default seed=2049 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,24.0,,
center_lstm_default,center_lstm,2047,nonfinite,0,,,,test,43624,43624,B,default,default,1,,,,,,,,,[9],"{""hidden_size"": 100}",non-finite training loss at protocol lr and at lr/10: center_lstm_default seed=2047 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,24.0,,
