epoch,train_loss,valid_loss,learning_rate
1,0.29308503015501425,0.33446693420410156,0.001
2,0.07875309953753908,0.12655256688594818,0.001
3,0.056675735789785985,0.12175582349300385,0.001
4,0.053324655258840746,0.0999814122915268,0.001
5,0.04971638744177627,0.11517471820116043,0.001
6,0.055080155734633776,0.10496416687965393,0.001
7,0.055678838869147096,0.11026007682085037,0.001
8,0.04647477909812943,0.1074439138174057,0.0005
9,0.04307040184498662,0.1156664788722992,0.0005
10,0.051090113431190916,0.1264657825231552,0.0005
11,0.04409374390117282,0.1183907613158226,0.0005
12,0.039832733598943626,0.1091499775648117,0.00025
