variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters
trad_persistence,trad_persistence,deterministic,completed,0,,3.420005668886006e-06,0.0021897830010857433,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.08738107979297638,0.29560290897245306,0.13603481650352478,22.01668357849121,10.131956100463867,15.160162925720215,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,2.219996531493962e-06,0.00182867499825079,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.481379747390747,1.217119446640611,0.8701530694961548,90.65179443359375,64.80952453613281,76.96830749511719,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.0072865810070652515,0.001883924996946007,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9834097623825073,0.9916701883098571,0.7507034540176392,73.86019897460938,55.912837982177734,71.38735961914062,,
trad_ar,trad_ar,deterministic,completed,0,,0.008796269001322798,0.00206875400908757,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.08791163563728333,0.29649896397337266,0.13514353334903717,22.08342170715332,10.065572738647461,16.65068244934082,,
trad_ridge,trad_ridge,deterministic,completed,0,,0.014703893000842072,0.002334650998818688,test,0,0,A,not_applicable,not_applicable,1,1.0,predictions/trad_ridge.npz,0.08817172050476074,0.29693723327457733,0.13655507564544678,22.116064071655273,10.170703887939453,16.980867385864258,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,0.22711659599735867,0.003592131004552357,test,0,0,A,not_applicable,not_applicable,18,10.0,predictions/trad_spatial_linear.npz,0.08889705687761307,0.2981560948188265,0.169314906001091,22.206846237182617,12.610676765441895,24.353261947631836,,
center_gru_default,center_gru,2047,completed,29,0.09911168366670609,11.414304164005443,0.016622024995740503,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.08190098404884338,0.2861834796923879,0.13355615735054016,21.315120697021484,9.947344779968262,16.5391845703125,[9],"{""hidden_size"": 100}"
center_gru_default,center_gru,2048,completed,24,0.0990528091788292,8.825425543996971,0.016751273011323065,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2048.npz,0.08205676823854446,0.2864555257601858,0.13375550508499146,21.33538246154785,9.962190628051758,16.723705291748047,[9],"{""hidden_size"": 100}"
center_gru_default,center_gru,2049,completed,38,0.09890381991863251,10.882162067995523,0.016738280988647602,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2049.npz,0.08327243477106094,0.28856963591317253,0.13279570639133453,21.492841720581055,9.890704154968262,16.22667694091797,[9],"{""hidden_size"": 100}"
center_lstm_default,center_lstm,2047,completed,27,0.0989585891366005,7.066171498008771,0.012352987003396265,test,41301,41301,B,default,default,1,,predictions/center_lstm_default_seed2047.npz,0.08128613978624344,0.2851072426057315,0.13230149447917938,21.234960556030273,9.85389518737793,15.839402198791504,[9],"{""hidden_size"": 100}"
