epoch,train_loss,valid_loss,learning_rate
1,0.8068541775524489,1.1135584115982056,0.001
2,0.36393646190402107,0.4819885790348053,0.001
3,0.2198869496745668,0.36361926794052124,0.001
4,0.16318592804079288,0.2611267864704132,0.001
5,0.13294880008461288,0.23135021328926086,0.001
6,0.11510688032421347,0.2096691131591797,0.001
7,0.10312835434278636,0.18927139043807983,0.001
8,0.0945149086191552,0.17969882488250732,0.001
9,0.08803443364398375,0.1673586070537567,0.001
10,0.0818117724471511,0.16148114204406738,0.001
11,0.076719168214015,0.1520373821258545,0.001
12,0.07116606661979745,0.14554141461849213,0.001
13,0.06608447162601395,0.13806095719337463,0.001
14,0.061001036523831674,0.13005037605762482,0.001
15,0.05736006729585367,0.12543100118637085,0.001
16,0.055253584576837135,0.1216142550110817,0.001
17,0.0538075292846557,0.11747188866138458,0.001
18,0.05216688140087311,0.1149832084774971,0.001
19,0.05103256865659546,0.11300399899482727,0.001
20,0.05022475335185239,0.10995455831289291,0.001
21,0.049354573958329005,0.10826732218265533,0.001
22,0.04902931620853744,0.10660260915756226,0.001
23,0.04835626070185959,0.10589384287595749,0.001
24,0.047991702346263834,0.10884173214435577,0.001
25,0.04760811920450071,0.10317312180995941,0.001
26,0.047244530212200896,0.10255677998065948,0.001
27,0.0468826314712841,0.10327773541212082,0.001
28,0.04654163347863186,0.10151521116495132,0.001
29,0.04590778111004943,0.10140880942344666,0.001
30,0.04590907301144211,0.1007942259311676,0.001
