epoch,train_loss,valid_loss,learning_rate
1,0.8444958732330593,1.491390585899353,0.001
2,0.6729827628387268,1.3309310674667358,0.001
3,0.6397198492303331,1.2765421867370605,0.001
4,0.6193109573162201,1.2690057754516602,0.001
5,0.6031488015056148,1.2346179485321045,0.001
6,0.5915196334441044,1.2368254661560059,0.001
7,0.5790989001919589,1.2089974880218506,0.001
8,0.5653697189474931,1.1879351139068604,0.001
9,0.5548794064458893,1.237829566001892,0.001
10,0.5352890612267308,1.2951619625091553,0.001
11,0.5012141451792391,1.309200644493103,0.001
12,0.47589472507211855,1.3770265579223633,0.0005
13,0.44134140265744676,1.2826969623565674,0.0005
14,0.42404910481772146,1.2773240804672241,0.0005
