epoch,train_loss,valid_loss,learning_rate
1,0.9098213989675835,2.1116206645965576,0.001
2,0.5946159358491911,0.9828617572784424,0.001
3,0.48098030264774894,0.9657555818557739,0.001
4,0.448608568369252,0.7947236895561218,0.001
5,0.42873591751755435,0.7781615853309631,0.001
6,0.41254602013808167,0.7482550144195557,0.001
7,0.3995002471154359,0.6996475458145142,0.001
8,0.3872759241618892,0.6875613331794739,0.001
9,0.37598286712403706,0.6603474617004395,0.001
10,0.36591004548126427,0.6440005302429199,0.001
11,0.35784605748102477,0.6344588398933411,0.001
12,0.3516222498154436,0.599835991859436,0.001
13,0.34657727039126385,0.6117376685142517,0.001
14,0.34143133870325826,0.5954917073249817,0.001
15,0.3372918673010956,0.5815617442131042,0.001
16,0.33446549653586855,0.5868920683860779,0.001
17,0.33227329605036604,0.5826583504676819,0.001
18,0.3302466823793054,0.6062073111534119,0.001
19,0.3299715405923645,0.641929030418396,0.0005
20,0.3295357742051907,0.6037756204605103,0.0005
21,0.32720593625236066,0.5940815210342407,0.0005
