variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters
trad_persistence,trad_persistence,deterministic,completed,0,,5.580000106419902e-06,0.0024384270000155084,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.30883362889289856,0.5557280170127277,0.3148518204689026,16.726205825805664,9.476356506347656,25.658395767211914,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,3.760000254260376e-06,0.0018530000006649061,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.0257982015609741,1.0128169635037587,0.6691710352897644,30.483591079711914,20.140594482421875,50.895572662353516,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.0086810949997016,0.0018539610000516404,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.7631024718284607,0.8735573660776152,0.643538773059845,26.29218101501465,19.36911964416504,50.16291809082031,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,0.3080481540000619,0.00334327300060977,test,0,0,A,not_applicable,not_applicable,6,100.0,predictions/trad_spatial_linear.npz,0.19920480251312256,0.4463236521999731,0.2873349189758301,13.433372497558594,8.64815616607666,24.704814910888672,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7001,completed,21,1.036172866821289,24.042638302999876,0.03484517600008985,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7001.npz,0.7368149757385254,0.85837927266362,0.6381258368492126,25.835351943969727,19.206201553344727,46.57003402709961,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7002,completed,9,0.8907140493392944,13.410079544999462,0.03468231900023966,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7002.npz,0.6567363739013672,0.8103927281888499,0.6745686531066895,24.391061782836914,20.303050994873047,51.491798400878906,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7003,completed,4,0.8083270788192749,8.960810387000492,0.03515539699947112,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7003.npz,0.7289011478424072,0.8537570777700219,0.7011857032775879,25.69623374938965,21.10416603088379,52.293418884277344,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7001,completed,21,1.036172866821289,24.10767430299984,0.03485867700055678,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7001.npz,0.7368149757385254,0.85837927266362,0.6381258368492126,25.835351943969727,19.206201553344727,46.57003402709961,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7002,completed,9,0.8907140493392944,13.322395619000417,0.034164740999585774,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7002.npz,0.6567363739013672,0.8103927281888499,0.6745686531066895,24.391061782836914,20.303050994873047,51.491798400878906,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7003,completed,4,0.8083270788192749,8.879928118999487,0.03419710099933582,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7003.npz,0.7289011478424072,0.8537570777700219,0.7011857032775879,25.69623374938965,21.10416603088379,52.293418884277344,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
multi_gru_default,multi_gru,7001,completed,16,0.5017620325088501,14.029400864999843,0.05015505499977735,test,33006,33006,C,default,default,6,,predictions/multi_gru_default_seed7001.npz,0.17212264239788055,0.41487665925896644,0.25760170817375183,12.486886024475098,7.753251552581787,21.983125686645508,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 100}"
multi_gru_default,multi_gru,7002,completed,14,0.5076399445533752,12.74604683400048,0.050363031000415504,test,33006,33006,C,default,default,6,,predictions/multi_gru_default_seed7002.npz,0.1758348047733307,0.4193266087113131,0.2631623148918152,12.620820999145508,7.9206132888793945,22.60995864868164,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 100}"
