variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,infeasible_reason,device_name,batch_size,history,horizon
trad_persistence,trad_persistence,deterministic,completed,0,,3.9300002754316665e-06,0.0027226129996051,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.3233199119567871,0.5686122685598571,0.3263767957687378,11.792462348937988,6.768735408782959,17.44298553466797,,,,,,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,1.97000008483883e-06,0.0016924199999266,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.3387681245803833,1.1570514787944326,0.8340327143669128,23.996116638183597,17.29702377319336,46.61090469360352,,,,,,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.0092134140004418,0.0017869700004666,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,1.0512439012527466,1.025301858602015,0.7727339863777161,21.26375770568848,16.025747299194336,43.62422561645508,,,,,,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,0.3094686719996389,0.0026814940001713,test,0,0,A,not_applicable,not_applicable,6,1.0,predictions/trad_spatial_linear.npz,0.3058905601501465,0.5530737384383266,0.3700875043869018,11.470209121704102,7.675253391265869,22.015037536621094,,,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7001,completed,6,1.090036392211914,10.594949225000164,0.0347825339995324,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7001.npz,1.5055474042892456,1.2270074996874492,1.011430740356445,25.446935653686523,20.97608757019043,51.67831802368164,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7002,completed,10,1.7599316835403442,14.059491884000636,0.0347989649999362,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7002.npz,0.9500480890274048,0.974704103319261,0.793867826461792,20.21441078186035,16.46404266357422,44.339351654052734,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7003,completed,3,2.1245837211608887,7.912134117999813,0.0348166859994307,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7003.npz,0.9318978786468506,0.9653485788288344,0.7741912007331848,20.020387649536133,16.05596923828125,43.65995407104492,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7001,completed,6,1.090036392211914,10.557830009999634,0.03439212900048,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7001.npz,1.5055474042892456,1.2270074996874492,1.011430740356445,25.446935653686523,20.97608757019043,51.67831802368164,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7002,completed,10,1.7599316835403442,14.046767318999628,0.0343705099994622,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7002.npz,0.9500480890274048,0.974704103319261,0.793867826461792,20.21441078186035,16.46404266357422,44.339351654052734,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7003,completed,3,2.3598759174346924,8.560409636999793,0.036108422000324936,test,25932,25929,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7003.npz,0.9551328420639038,0.9773089798338619,0.7800572514533997,20.2684326171875,16.177623748779297,44.01414489746094,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
