epoch,train_loss,valid_loss,learning_rate
1,0.9087851154542166,3.575016498565674,0.001
2,0.9455392770788017,2.676154136657715,0.001
3,0.8465814896529303,1.6537280082702637,0.001
4,0.7377200613067462,1.6943740844726562,0.001
5,0.7990308216522756,1.4690414667129517,0.001
6,0.7977646812033905,1.090036392211914,0.001
7,0.6458346360900855,1.5302274227142334,0.001
8,0.7107428111452287,2.0393033027648926,0.001
9,0.8764088329682316,1.6058213710784912,0.001
10,0.7438138317073586,1.9809105396270752,0.0005
11,0.6873740950953462,1.3262453079223633,0.0005
12,0.6358009895975907,1.3665601015090942,0.0005
