variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,infeasible_reason,device_name,batch_size,history,horizon,learning_rate_retry,note
trad_persistence,trad_persistence,deterministic,completed,0,,3.629999810073059e-06,0.0021010139998907107,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.050422366708517075,0.2245492523000624,0.12993690371513367,6.466526985168457,3.7418980598449707,9.908601760864258,,,,,,,,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,1.8399996406515129e-06,0.001715116999548627,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.0624425411224365,1.03074853437802,0.6571197509765625,29.68330192565918,18.92361068725586,45.68177032470703,,,,,,,,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.00618807199953153,0.0017044969999915338,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.8732081055641174,0.9344560479573758,0.7006328701972961,26.91028594970703,20.176692962646484,51.33407211303711,,,,,,,,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,0.017963180000151624,0.0021055830002296716,test,0,0,A,not_applicable,not_applicable,6,0.1,predictions/trad_spatial_linear.npz,0.04455624520778656,0.21108350292665357,0.1281353086233139,6.078742980957031,3.690016031265259,10.131352424621582,,,,,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7001,completed,7,0.6963415145874023,2.5247148919997926,0.011716868999428698,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7001.npz,0.22846610844135284,0.47798128461410794,0.3595435917377472,13.764814376831055,10.354068756103516,29.564815521240234,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7002,completed,8,0.891312301158905,2.7529788980000376,0.01226121499985311,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7002.npz,1.0058575868606567,1.0029245170303978,0.8436408042907715,28.882028579711914,24.295007705688477,58.178688049316406,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7003,completed,8,0.3564198911190033,2.6408970559996305,0.011990638000497711,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7003.npz,0.10866245627403259,0.3296398887786983,0.2406948208808899,9.49290657043457,6.931484699249268,20.41916275024414,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7001,completed,7,0.6963415145874023,2.4764367320003657,0.011991717999990215,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7001.npz,0.22846610844135284,0.47798128461410794,0.3595435917377472,13.764814376831055,10.354068756103516,29.564815521240234,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7002,completed,8,0.891312301158905,2.6264078789999985,0.012107186999855912,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7002.npz,1.0058575868606567,1.0029245170303978,0.8436408042907715,28.882028579711914,24.295007705688477,58.178688049316406,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7003,completed,8,0.3564198911190033,2.6364241889996265,0.01208854699962103,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7003.npz,0.10866245627403259,0.3296398887786983,0.2406948208808899,9.49290657043457,6.931484699249268,20.41916275024414,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
