epoch,train_loss,valid_loss,learning_rate
1,1.0253197331013209,3.6188809871673584,0.001
2,1.6242325963268267,5.143026351928711,0.001
3,2.0823993778103853,4.8458075523376465,0.001
4,1.6046818876547524,2.9749317169189453,0.001
5,1.1521059895311216,2.0554473400115967,0.001
6,0.7157907350709724,1.1536444425582886,0.001
7,0.35872681371589543,0.6963415145874023,0.001
8,0.3501547382169872,1.7022054195404053,0.001
9,0.7657904094859674,4.009113311767578,0.001
10,1.3091227484436385,4.896124362945557,0.001
11,1.73992161315176,5.613940238952637,0.0005
12,2.215587663900329,5.0219407081604,0.0005
13,2.2756704658016162,4.4394001960754395,0.0005
14,2.0720010222214533,3.780263662338257,0.0005
15,1.666460183452139,3.3875973224639893,0.00025
