variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,learning_rate_retry,note,infeasible_reason,device_name,batch_size,history,horizon
trad_persistence,trad_persistence,deterministic,completed,0,,4.70000031782547e-06,0.0020403379999152094,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.12527157366275787,0.35393724537374965,0.17521950602531433,10.652741432189941,5.273726940155029,15.332452774047852,,,,,,,,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,3.0500000320898835e-06,0.0018530900001678674,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,0.9749760031700134,0.9874087315646005,0.6573471426963806,29.718860626220703,19.78472137451172,49.996360778808594,,,,,,,,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.006747779000306764,0.0016969420003078994,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.733343243598938,0.8563546249066084,0.6319951415061951,25.7744140625,19.021682739257812,49.36126708984375,,,,,,,,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,0.01806957999997394,0.002550163999785582,test,0,0,A,not_applicable,not_applicable,6,100.0,predictions/trad_spatial_linear.npz,0.08590146154165268,0.2930895111423346,0.1612844467163086,8.821358680725098,4.854311466217041,14.115947723388672,,,,,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7001,completed,7,0.6320515871047974,2.5375401419996706,0.011688038000102097,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7001.npz,0.1498156636953354,0.3870602843167139,0.25508904457092285,11.649674415588379,7.677626609802246,22.547565460205078,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7002,completed,3,2.9723963737487793,2.0100378009997257,0.014742175999799656,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7002.npz,0.600178062915802,0.7747115998329972,0.5545646548271179,23.317138671875,16.691190719604492,44.503395080566406,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",True,nonfinite loss at protocol lr; retried once with lr/10,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7003,completed,5,1.843567132949829,2.3935468580002635,0.012031334999846877,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7003.npz,0.2876184582710266,0.5363007162693582,0.32695889472961426,16.14148712158203,9.840753555297852,30.327091217041016,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7001,nonfinite,0,,,,test,16903,16903,C,default,default,6,,,,,,,,,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,non-finite training loss at protocol lr and at lr/10: plain_mix_patchtst_top5_default seed=7001 has non-finite training loss,AMD Radeon RX 7600,256.0,24.0,1.0
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7002,nonfinite,0,,,,test,16903,16903,C,default,default,6,,,,,,,,,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,non-finite training loss at protocol lr and at lr/10: plain_mix_patchtst_top5_default seed=7002 has non-finite training loss,AMD Radeon RX 7600,256.0,24.0,1.0
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7003,completed,5,1.843567132949829,2.205866121999861,0.011982856000031461,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7003.npz,0.2876184582710266,0.5363007162693582,0.32695889472961426,16.14148712158203,9.840753555297852,30.327091217041016,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
multi_gru_default,multi_gru,7001,completed,4,0.24483631551265717,1.8162294939997992,0.009119656000166287,test,32501,32501,C,default,default,6,,predictions/multi_gru_default_seed7001.npz,0.08853745460510254,0.29755244009267096,0.17431756854057312,8.955682754516602,5.246580123901367,15.577716827392578,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 100}",,,,,,,
multi_gru_default,multi_gru,7002,completed,9,0.24549929797649384,2.5434344629998122,0.009173595999982354,test,32501,32501,C,default,default,6,,predictions/multi_gru_default_seed7002.npz,0.08575648069381714,0.2928420746645146,0.1607247292995453,8.813910484313965,4.837465286254883,14.184697151184082,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 100}",,,,,,,
multi_gru_default,multi_gru,7003,completed,5,0.24736152589321136,2.110931544000323,0.008821909000289452,test,32501,32501,C,default,default,6,,predictions/multi_gru_default_seed7003.npz,0.09225893020629883,0.30374155166242706,0.17829245328903198,9.141961097717285,5.366215229034424,16.147563934326172,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 100}",,,,,,,
center_gru_default,center_gru,7001,completed,9,0.33594104647636414,2.5286705389999042,0.009129447000304936,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed7001.npz,0.12091249972581863,0.34772474707132744,0.18554924428462982,10.465760231018066,5.584629058837891,16.100435256958008,[0],"{""hidden_size"": 100}",,,,,,,
center_gru_default,center_gru,7002,completed,10,0.3466278314590454,2.6786554959999194,0.00907251799981168,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed7002.npz,0.1270916759967804,0.3564991949454871,0.1897013783454895,10.729851722717285,5.709599018096924,16.810659408569336,[0],"{""hidden_size"": 100}",,,,,,,
center_gru_default,center_gru,7003,completed,12,0.3497467637062073,2.9785530369999833,0.009118396999838296,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed7003.npz,0.12864135205745697,0.358666073189892,0.18727323412895203,10.795069694519043,5.636517524719238,16.522241592407227,[0],"{""hidden_size"": 100}",,,,,,,
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,7001,completed,7,0.6320515871047974,2.4573770190004325,0.012277025999992475,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_all_matched_seed7001.npz,0.1498156636953354,0.3870602843167139,0.25508904457092285,11.649674415588379,7.677626609802246,22.547565460205078,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,7002,completed,12,1.3966866731643677,3.2718268739999985,0.011957870000060211,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_all_matched_seed7002.npz,0.6031777858734131,0.7766452123546588,0.6093827486038208,23.375333786010742,18.341094970703125,46.80142593383789,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,7003,completed,5,1.843567132949829,2.153280308000376,0.012148047999744449,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_all_matched_seed7003.npz,0.2876184582710266,0.5363007162693582,0.32695889472961426,16.14148712158203,9.840753555297852,30.327091217041016,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_matched,plain_mix_patchtst_top5,7001,completed,7,0.6320515871047974,2.479288744999849,0.01195272000040859,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_top5_matched_seed7001.npz,0.1498156636953354,0.3870602843167139,0.25508904457092285,11.649674415588379,7.677626609802246,22.547565460205078,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_matched,plain_mix_patchtst_top5,7002,completed,12,1.3966866731643677,3.3278001879998556,0.011835581000013917,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_top5_matched_seed7002.npz,0.6031777858734131,0.7766452123546588,0.6093827486038208,23.375333786010742,18.341094970703125,46.80142593383789,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_matched,plain_mix_patchtst_top5,7003,completed,5,1.843567132949829,2.361917042999721,0.012728112999866426,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_top5_matched_seed7003.npz,0.2876184582710266,0.5363007162693582,0.32695889472961426,16.14148712158203,9.840753555297852,30.327091217041016,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
multi_gru_matched,multi_gru,7001,completed,4,0.24408917129039764,2.0152968639999926,0.008687463000114803,test,21201,21201,C,matched,matched,6,,predictions/multi_gru_matched_seed7001.npz,0.0886305496096611,0.29770883361039374,0.1740519255399704,8.960389137268066,5.238585472106934,15.517634391784668,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 80}",,,,,,,
multi_gru_matched,multi_gru,7002,completed,6,0.2452487200498581,2.1943403249997573,0.008413655999902403,test,21201,21201,C,matched,matched,6,,predictions/multi_gru_matched_seed7002.npz,0.08849223703145981,0.297476447860095,0.17200063169002533,8.953394889831543,5.176845073699951,15.433481216430664,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 80}",,,,,,,
multi_gru_matched,multi_gru,7003,completed,5,0.24294282495975494,1.935218563000035,0.008450766000350995,test,21201,21201,C,matched,matched,6,,predictions/multi_gru_matched_seed7003.npz,0.09090939909219742,0.301511855641196,0.179003044962883,9.074851989746094,5.387602806091309,16.173274993896484,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 80}",,,,,,,
center_gru_matched,center_gru,7001,completed,12,0.3424437940120697,2.858992801000113,0.00822186799996416,test,20993,20993,B,matched,matched,1,,predictions/center_gru_matched_seed7001.npz,0.1234394833445549,0.3513395556218441,0.18517819046974182,10.574557304382324,5.573461532592773,16.233022689819336,[0],"{""hidden_size"": 82}",,,,,,,
center_gru_matched,center_gru,7002,completed,13,0.3378528356552124,3.0307295170000543,0.008719754000139801,test,20993,20993,B,matched,matched,1,,predictions/center_gru_matched_seed7002.npz,0.12164124846458435,0.3487710545108128,0.18065951764583588,10.4972505569458,5.437459468841553,15.621869087219238,[0],"{""hidden_size"": 82}",,,,,,,
center_gru_matched,center_gru,7003,completed,11,0.34144142270088196,2.784660586999962,0.008551496000109182,test,20993,20993,B,matched,matched,1,,predictions/center_gru_matched_seed7003.npz,0.12432121485471725,0.35259213668872036,0.1868133246898651,10.612257957458496,5.622674942016602,16.296955108642578,[0],"{""hidden_size"": 82}",,,,,,,
