epoch,train_loss,valid_loss,learning_rate
1,0.4021765064513988,0.4017162024974823,0.001
2,0.15768679845700018,0.24563086032867432,0.001
3,0.12182714237289329,0.1585003137588501,0.001
4,0.10270367989215339,0.14953838288784027,0.001
5,0.09342850660313635,0.13145285844802856,0.001
6,0.08612576833076546,0.10545755922794342,0.001
7,0.08180558189173968,0.09623544663190842,0.001
8,0.07891069195515671,0.10415290296077728,0.001
9,0.07764956484882364,0.09608729928731918,0.001
10,0.07629301190649518,0.09527413547039032,0.001
11,0.07623134654432477,0.10137481242418289,0.001
12,0.07591603915911527,0.0923297330737114,0.001
13,0.07492439745978428,0.1012144461274147,0.001
14,0.07471910545013274,0.10285571962594986,0.001
15,0.07451151459726073,0.09445355087518692,0.001
16,0.07415316462975433,0.1016918271780014,0.0005
17,0.07374211988206306,0.09695753455162048,0.0005
18,0.07350167384482163,0.09338080137968063,0.0005
19,0.07324402268973533,0.09199432283639908,0.0005
20,0.07358378252428033,0.09692137688398361,0.0005
21,0.07306497360103335,0.10348168015480042,0.0005
22,0.07361096048089673,0.09747347235679626,0.0005
23,0.07283639457972126,0.09749812632799149,0.00025
24,0.07269597678556892,0.09681998193264008,0.00025
25,0.07289390624564851,0.09674863517284393,0.00025
26,0.07249929949631469,0.09277303516864777,0.00025
27,0.07251539112074201,0.09745652228593826,0.000125
