variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,arm,selected_channel_indices,hyperparameters
trad_persistence,deterministic,0,,5.109999619890004e-06,0.0018952280006487,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.0870599970221519,0.2950593110243293,0.1357817947864532,21.987735748291016,10.118420600891112,15.181366920471191,,,
trad_daily_naive,deterministic,0,,2.289998519700021e-06,0.0016338950008503,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.5131192207336426,1.2300891108914194,0.8775647878646851,91.66588592529295,65.39588165283203,77.234130859375,,,
trad_climatology,deterministic,0,,0.0061633750010514,0.001635273998545,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9818383455276488,0.990877563338503,0.749829888343811,73.83991241455078,55.87711334228516,71.48023986816406,,,
trad_ar,deterministic,0,,0.0073665829986566,0.0017369940032949,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.087582990527153,0.2959442355024896,0.1348938792943954,22.053680419921875,10.052254676818848,16.66742706298828,,,
trad_ridge,deterministic,0,,0.01341700200282503,0.0017510519974166527,test,0,0,A,not_applicable,not_applicable,1,100.0,predictions/trad_ridge.npz,0.08593331277370453,0.2931438431448024,0.14315927028656006,21.84499740600586,10.668188095092773,17.073970794677734,,,
trad_spatial_linear,deterministic,0,,0.07441792600002373,0.002268379997985903,test,0,0,A,not_applicable,not_applicable,18,100.0,predictions/trad_spatial_linear.npz,0.07438411563634872,0.27273451493411816,0.14249341189861298,20.324098587036133,10.618568420410156,18.95062255859375,,,
center_mlp_default,2047,1,0.19504420459270477,0.6709963219982455,0.0022141859953990206,test,514001,514001,B,default,default,1,,predictions/center_mlp_default_seed2047.npz,0.13057881593704224,0.36135690935284775,0.22288425266742706,26.928213119506836,16.609272003173828,30.490196228027344,center_mlp,[9],"{""layers"": [500, 500, 500]}"
center_gru_default,2047,2,0.27378734946250916,7.70156637999753,0.009880260004138108,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.18456342816352844,0.42960845913870044,0.2557617723941803,32.01430130004883,19.059295654296875,29.787704467773438,center_gru,[9],"{""hidden_size"": 100}"
center_lstm_default,2047,2,0.3492855429649353,6.359143547997519,0.006908520997967571,test,41301,41301,B,default,default,1,,predictions/center_lstm_default_seed2047.npz,0.2195340096950531,0.4685445653244236,0.29258012771606445,34.915809631347656,21.8029842376709,34.543277740478516,center_lstm,[9],"{""hidden_size"": 100}"
center_tcn_default,2047,2,1.1281367540359497,14.22141076799744,0.5846971300052246,test,66676,66676,B,default,default,1,,predictions/center_tcn_default_seed2047.npz,0.6220071911811829,0.788674325169257,0.5610116124153137,58.77178955078125,41.80643081665039,56.026309967041016,center_tcn,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}"
center_resnet_default,2047,2,0.12655256688594818,8.791755712001759,0.9242492819976178,test,478337,478337,B,default,default,1,,predictions/center_resnet_default_seed2047.npz,0.09361675381660461,0.3059685503717737,0.19463585317134857,22.800687789916992,14.504209518432617,28.353086471557617,center_resnet,[9],"{""library_fixed"": true}"
center_tst_default,2047,1,0.16807037591934204,0.8895997670042561,0.030526127004122827,test,402305,402305,B,default,default,1,,predictions/center_tst_default_seed2047.npz,0.12696000933647156,0.356314480952531,0.22449561953544617,26.552453994750977,16.72934913635254,46.629310607910156,center_tst,[9],"{""d_ff"": 256, ""d_model"": 128, ""n_heads"": 16, ""n_layers"": 3}"
plain_patchtst_all_default,2047,2,0.14824411273002625,5.23599655200087,0.1463426830014214,test,16680,16677,C,default,default,18,,predictions/plain_patchtst_all_default_seed2047.npz,0.10945136100053787,0.3308343407213614,0.17583484947681427,24.6536808013916,13.103161811828613,22.593692779541016,plain_patchtst_all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 18, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""stride"": 2}"
plain_patchtst_top5_default,2047,2,0.15375664830207825,2.462638507997326,0.051000671002839226,test,16656,16653,C,default,default,6,,predictions/plain_patchtst_top5_default_seed2047.npz,0.11137079447507858,0.333722631050216,0.18029458820819855,24.868915557861328,13.435503005981445,25.608491897583008,plain_patchtst_top5,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""stride"": 2}"
multi_tst_default,2047,2,0.12425455451011658,0.9497907430049963,0.03131304900307441,test,404481,404481,C,default,default,18,,predictions/multi_tst_default_seed2047.npz,0.10443734377622604,0.3231676713042721,0.20061728358268738,24.082365036010742,14.949943542480469,27.57681655883789,multi_tst,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""d_ff"": 256, ""d_model"": 128, ""n_heads"": 16, ""n_layers"": 3}"
multi_gru_default,2047,2,0.176740363240242,0.30553323600179283,0.009829696995439008,test,36101,36101,C,default,default,18,,predictions/multi_gru_default_seed2047.npz,0.1043090969324112,0.32296918882830167,0.19800691306591034,24.06757164001465,14.75541877746582,24.60544776916504,multi_gru,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 100}"
center_mlp_matched,2047,2,0.163958340883255,0.06450909699924523,0.00133664500026498,test,21217,21217,B,matched,matched,1,,predictions/center_mlp_matched_seed2047.npz,0.11289433389902115,0.3359975206739198,0.18903690576553345,25.03843879699707,14.086977005004883,24.55370330810547,center_mlp,[9],"{""layers"": [816], ""ps"": [0.1]}"
