variant,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,arm,selected_channel_indices,hyperparameters,result_dir,history,horizon,smoke,independent_recomputed
trad_persistence,deterministic,completed,0,,4.282999725546688e-06,0.001926678000018,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.08705999702215195,0.29505931102432936,0.13578179478645325,21.987735748291016,10.118420600891113,15.181366920471191,,,,experiments/results/baselines_p1b_smoke/beijing/24h_1h,24,1,True,True
trad_daily_naive,deterministic,completed,0,,3.4519980545155704e-06,0.0017458599977544,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.5131192207336426,1.2300891108914194,0.8775647878646851,91.66588592529297,65.39588165283203,77.234130859375,,,,experiments/results/baselines_p1b_smoke/beijing/24h_1h,24,1,True,True
trad_climatology,deterministic,completed,0,,0.0075177309990976,0.001811786001781,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9818383455276489,0.990877563338503,0.749829888343811,73.83991241455078,55.877113342285156,71.48023986816406,,,,experiments/results/baselines_p1b_smoke/beijing/24h_1h,24,1,True,True
trad_ar,deterministic,completed,0,,0.0079125050033326,0.0019178129950887,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.08758299052715302,0.2959442355024896,0.13489387929439545,22.053680419921875,10.052254676818848,16.66742706298828,,,,experiments/results/baselines_p1b_smoke/beijing/24h_1h,24,1,True,True
trad_ridge,deterministic,completed,0,,0.0124295929999789,0.0018553900008555,test,0,0,A,not_applicable,not_applicable,1,100.0,predictions/trad_ridge.npz,0.08593331277370453,0.2931438431448024,0.14315927028656006,21.84499740600586,10.668188095092773,17.073970794677734,,,,experiments/results/baselines_p1b_smoke/beijing/24h_1h,24,1,True,True
trad_spatial_linear,deterministic,completed,0,,0.0688842910021776,0.0022639809976681,test,0,0,A,not_applicable,not_applicable,18,100.0,predictions/trad_spatial_linear.npz,0.07438411563634872,0.27273451493411816,0.14249341189861298,20.324098587036133,10.618568420410156,18.95062255859375,,,,experiments/results/baselines_p1b_smoke/beijing/24h_1h,24,1,True,True
center_mlp_default,2047,completed,1,0.2012525051832199,0.4269781979965046,0.0139663869995274,test,514001,514001,B,default,default,1,,predictions/center_mlp_default_seed2047.npz,0.12768229842185974,0.35732659909648445,0.21439547836780548,26.62787628173828,15.976690292358398,27.848302841186523,center_mlp,[9],"{""layers"": [500, 500, 500]}",experiments/results/baselines_p1b_smoke/beijing/24h_1h,24,1,True,True
center_gru_default,2047,completed,2,0.2737873494625091,0.8299349450026057,0.0331879599980311,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.18456342816352844,0.42960845913870044,0.2557617723941803,32.01429748535156,19.059295654296875,29.787704467773438,center_gru,[9],"{""hidden_size"": 100}",experiments/results/baselines_p1b_smoke/beijing/24h_1h,24,1,True,True
center_lstm_default,2047,completed,2,0.3492855429649353,0.9668717150052544,0.0342505570006324,test,41301,41301,B,default,default,1,,predictions/center_lstm_default_seed2047.npz,0.2195340096950531,0.4685445653244236,0.29258009791374207,34.915809631347656,21.80298614501953,34.543277740478516,center_lstm,[9],"{""hidden_size"": 100}",experiments/results/baselines_p1b_smoke/beijing/24h_1h,24,1,True,True
center_tcn_default,2047,completed,2,1.128133773803711,13.29434268300247,0.6447306330010178,test,66676,66676,B,default,default,1,,predictions/center_tcn_default_seed2047.npz,0.6220046877861023,0.7886727380771459,0.5610098242759705,58.771663665771484,41.80629348754883,56.02617263793945,center_tcn,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",experiments/results/baselines_p1b_smoke/beijing/24h_1h,24,1,True,True
