variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_lr_scale,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2047,15,0.2640970051288605,11.304539673990803,0.01943577700876631,test,22719,22716,False,1.0,0.18742160499095917,0.43292216966905167,0.2294902801513672,32.24182891845703,17.091262817382812,25.67644691467285,32.24182891845703,17.091262817382812,32.24182891845703,17.091262817382812,32.24182891845703,17.091262817382812,32.24182891845703,17.091262817382812,0.0,0.0,0.9992086887359619,0.047278035432100296,0.0028762819711118937,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2047,22,0.2449723333120346,10.149273183997138,0.020799963996978477,test,22720,4920,True,0.0,0.17536816000938416,0.4187698174527197,0.22418802976608276,31.18783187866211,16.69637680053711,25.99177360534668,32.258548736572266,17.0972900390625,32.91407775878906,18.971532821655273,33.233741760253906,19.385173797607422,32.27504348754883,17.161670684814453,0.13986274600028992,0.07627667111869345,0.5917356014251709,0.06460167467594147,0.050141122192144394,0.0,1.3214174509048462,forecast
degraded_patchtst,2048,7,0.26886460185050964,7.091349080001237,0.01944290500250645,test,22719,22716,False,1.0,0.18768712878227234,0.4332287257122643,0.23251955211162567,32.2646598815918,17.316865921020508,26.163650512695312,32.2646598815918,17.316865921020508,32.2646598815918,17.316865921020508,32.2646598815918,17.316865921020508,32.2646598815918,17.316865921020508,0.0,0.0,0.9988428950309753,0.05248818174004555,0.003053608350455761,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2048,40,0.2527134120464325,13.681160159991123,0.02046871698985342,test,22720,4920,True,0.0,0.17383667826652527,0.4169372593886582,0.22419659793376923,31.051353454589844,16.6970157623291,26.361223220825195,32.247501373291016,17.337779998779297,33.14765548706055,19.579015731811523,33.76136779785156,20.31053352355957,32.05659103393555,17.156442642211914,0.16103248298168182,0.07867922614001709,0.5819294452667236,0.24570193886756897,0.05010747164487839,0.0,1.797519564628601,forecast
degraded_patchtst,2049,24,0.2652781307697296,15.334222253004555,0.01939185599621851,test,22719,22716,False,1.0,0.1876879185438156,0.43322963719465873,0.23117856681346893,32.26472473144531,17.216997146606445,25.93610954284668,32.26472473144531,17.216997146606445,32.26472473144531,17.216997146606445,32.26472473144531,17.216997146606445,32.26472473144531,17.216997146606445,0.0,0.0,0.9998111724853516,0.06018510088324547,0.0010521034710109234,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2049,31,0.24780043959617615,13.1627944179927,0.020484156004386023,test,22720,4920,True,0.0,0.17524294555187225,0.4186202880318538,0.22734740376472473,31.17669677734375,16.931669235229492,26.95319938659668,32.27674865722656,17.205427169799805,32.99287033081055,19.536697387695312,33.40017318725586,19.924989700317383,32.412567138671875,17.475568771362305,0.15403403341770172,0.08240454845854678,0.5920711159706116,0.08746273070573807,0.049835965037345886,0.0,1.325501799583435,forecast
degraded_patchtst,2050,39,0.2661036550998688,19.149206835005316,0.019558080995921046,test,22719,22716,False,1.0,0.19075924158096313,0.4367599358697672,0.23197701573371887,32.527645111083984,17.276460647583008,25.816938400268555,32.527645111083984,17.276460647583008,32.527645111083984,17.276460647583008,32.527645111083984,17.276460647583008,32.527645111083984,17.276460647583008,0.0,0.0,0.9984757900238037,0.064890556037426,0.0033511833753436804,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2050,18,0.2504884600639343,9.145211843002471,0.021691627000109293,test,22720,4920,True,0.0,0.1817069798707962,0.426271016925613,0.23116150498390198,31.746482849121094,17.215726852416992,27.16128158569336,32.528404235839844,17.29983139038086,33.318389892578125,19.158063888549805,33.46970748901367,19.54133415222168,32.76192855834961,17.762989044189453,0.13248521089553833,0.07611083623786599,0.5976961851119995,0.0982007086277008,0.05111606419086456,0.0,1.195080280303955,forecast
degraded_patchtst,2051,8,0.2740984559059143,8.090396264000447,0.019757547008339316,test,22719,22716,False,1.0,0.19054612517356873,0.43651589338026253,0.2305975705385208,32.50946807861328,17.17372703552246,25.88745880126953,32.50946807861328,17.17372703552246,32.50946807861328,17.17372703552246,32.50946807861328,17.17372703552246,32.50946807861328,17.17372703552246,0.0,0.0,0.997785210609436,0.07615475356578827,0.0033116196282207966,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2051,37,0.2555463910102844,13.933918727998389,0.02075961399532389,test,22720,4920,True,0.0,0.17518369853496552,0.4185495174229275,0.22195477783679962,31.17142677307129,16.53005599975586,26.16502571105957,32.34953689575195,17.063507080078125,33.364295959472656,19.67261505126953,33.83139419555664,20.247177124023438,32.447731018066406,17.209596633911133,0.16150307655334473,0.07305600686429707,0.5783601999282837,0.24807284772396088,0.04909343272447586,0.0,1.5364140272140503,forecast
