epoch,train_loss,valid_loss,learning_rate
1,0.8344819007013484,0.9409082531929016,0.001
2,0.46311138577060346,0.6794634461402893,0.001
3,0.3309745656541779,0.6738550662994385,0.001
4,0.2951484498991265,0.5709928274154663,0.001
5,0.2780833625367352,0.47011443972587585,0.001
6,0.26517929213271885,0.4725794494152069,0.001
7,0.2580378446218491,0.4633367359638214,0.001
8,0.2535637846217497,0.467934787273407,0.001
9,0.25014183258306144,0.4596509337425232,0.001
10,0.2430814296522283,0.46999672055244446,0.001
11,0.24819858335702485,0.46718621253967285,0.001
12,0.2458744860771699,0.4824785888195038,0.001
13,0.24436778359003847,0.48763930797576904,0.0005
14,0.23574669432332,0.47548484802246094,0.0005
15,0.23643004522915353,0.46219053864479065,0.0005
