frequency_cycles_per_hour,period_hours,low_mask,mid_mask,high_mask,mask_sum
0.0,,1.0,0.0,0.0,1.0
0.005952381,168.0,1.0,0.0,0.0,1.0
0.011904762,84.0,1.0,0.0,0.0,1.0
0.017857144,55.999996,0.8535533,0.1464467,0.0,1.0
0.023809524,42.0,0.14644659,0.8535534,0.0,1.0
0.029761905,33.6,0.0,1.0,0.0,1.0
0.035714287,27.999998,0.0,1.0,0.0,1.0
0.041666668,24.0,0.0,1.0,0.0,1.0
0.04761905,21.0,0.0,1.0,0.0,1.0
0.05357143,18.666666,0.0,1.0,0.0,1.0
0.05952381,16.8,0.0,1.0,0.0,1.0
0.065476194,15.272726,0.0,1.0,0.0,1.0
0.071428575,13.999999,0.0,1.0,0.0,1.0
0.077380955,12.923077,0.0,1.0,0.0,1.0
0.083333336,12.0,0.0,0.50000006,0.49999994,1.0
0.08928572,11.2,0.0,0.0,1.0,1.0
0.0952381,10.5,0.0,0.0,1.0,1.0
0.10119048,9.882353,0.0,0.0,1.0,1.0
0.10714286,9.333333,0.0,0.0,1.0,1.0
0.11309524,8.842105,0.0,0.0,1.0,1.0
0.11904762,8.4,0.0,0.0,1.0,1.0
0.125,8.0,0.0,0.0,1.0,1.0
0.13095239,7.636363,0.0,0.0,1.0,1.0
0.13690476,7.304348,0.0,0.0,1.0,1.0
0.14285715,6.9999995,0.0,0.0,1.0,1.0
0.14880952,6.7200003,0.0,0.0,1.0,1.0
0.15476191,6.4615383,0.0,0.0,1.0,1.0
0.16071428,6.2222223,0.0,0.0,1.0,1.0
0.16666667,6.0,0.0,0.0,1.0,1.0
0.17261904,5.7931037,0.0,0.0,1.0,1.0
0.17857143,5.6,0.0,0.0,1.0,1.0
0.1845238,5.419355,0.0,0.0,1.0,1.0
0.1904762,5.25,0.0,0.0,1.0,1.0
0.19642858,5.090909,0.0,0.0,1.0,1.0
0.20238096,4.9411764,0.0,0.0,1.0,1.0
0.20833334,4.7999997,0.0,0.0,1.0,1.0
0.21428572,4.6666665,0.0,0.0,1.0,1.0
0.2202381,4.54054,0.0,0.0,1.0,1.0
0.22619048,4.4210525,0.0,0.0,1.0,1.0
0.23214287,4.307692,0.0,0.0,1.0,1.0
0.23809524,4.2,0.0,0.0,1.0,1.0
0.24404763,4.097561,0.0,0.0,1.0,1.0
0.25,4.0,0.0,0.0,1.0,1.0
0.2559524,3.9069767,0.0,0.0,1.0,1.0
0.26190478,3.8181815,0.0,0.0,1.0,1.0
0.26785713,3.7333333,0.0,0.0,1.0,1.0
0.27380952,3.652174,0.0,0.0,1.0,1.0
0.2797619,3.574468,0.0,0.0,1.0,1.0
0.2857143,3.4999998,0.0,0.0,1.0,1.0
0.2916667,3.4285712,0.0,0.0,1.0,1.0
0.29761904,3.3600001,0.0,0.0,1.0,1.0
0.30357143,3.2941177,0.0,0.0,1.0,1.0
0.30952382,3.2307692,0.0,0.0,1.0,1.0
0.3154762,3.1698112,0.0,0.0,1.0,1.0
0.32142857,3.1111112,0.0,0.0,1.0,1.0
0.32738096,3.0545454,0.0,0.0,1.0,1.0
0.33333334,3.0,0.0,0.0,1.0,1.0
0.33928573,2.9473684,0.0,0.0,1.0,1.0
0.3452381,2.8965518,0.0,0.0,1.0,1.0
0.35119048,2.8474576,0.0,0.0,1.0,1.0
0.35714287,2.8,0.0,0.0,1.0,1.0
0.36309525,2.7540982,0.0,0.0,1.0,1.0
0.3690476,2.7096775,0.0,0.0,1.0,1.0
0.375,2.6666667,0.0,0.0,1.0,1.0
0.3809524,2.625,0.0,0.0,1.0,1.0
0.38690478,2.5846152,0.0,0.0,1.0,1.0
0.39285716,2.5454545,0.0,0.0,1.0,1.0
0.39880952,2.5074627,0.0,0.0,1.0,1.0
0.4047619,2.4705882,0.0,0.0,1.0,1.0
0.4107143,2.4347825,0.0,0.0,1.0,1.0
0.4166667,2.3999999,0.0,0.0,1.0,1.0
0.42261904,2.366197,0.0,0.0,1.0,1.0
0.42857143,2.3333333,0.0,0.0,1.0,1.0
0.43452382,2.30137,0.0,0.0,1.0,1.0
0.4404762,2.27027,0.0,0.0,1.0,1.0
0.44642857,2.24,0.0,0.0,1.0,1.0
0.45238096,2.2105262,0.0,0.0,1.0,1.0
0.45833334,2.1818182,0.0,0.0,1.0,1.0
0.46428573,2.153846,0.0,0.0,1.0,1.0
0.4702381,2.1265824,0.0,0.0,1.0,1.0
0.47619048,2.1,0.0,0.0,1.0,1.0
0.48214287,2.074074,0.0,0.0,1.0,1.0
0.48809525,2.0487804,0.0,0.0,1.0,1.0
0.49404764,2.0240963,0.0,0.0,1.0,1.0
0.5,2.0,0.0,0.0,1.0,1.0
