task,boundary_type,boundary_id,embargo_origin_count,left_sample_count,right_sample_count,left_target_time_count,right_target_time_count,target_time_intersection_count,assertion_passed
168h_6h,block,Q1_to_Q2,5,850,850,855,855,0,True
168h_6h,block,Q2_to_Q3,5,850,850,855,855,0,True
168h_6h,block,Q3_to_Q4,5,850,849,855,854,0,True
168h_6h,block,Q4_to_Q5,5,849,849,854,854,0,True
168h_6h,block,Q5_to_Q6,5,849,849,854,854,0,True
168h_6h,block,Q6_to_Q7,5,849,849,854,854,0,True
168h_6h,block,Q7_to_Q8,5,849,854,854,859,0,True
168h_6h,outer,fold_1,5,2550,849,2565,854,0,True
168h_6h,inner,fold_1,5,2162,383,2177,388,0,True
168h_6h,outer,fold_2,5,3399,849,3419,854,0,True
168h_6h,inner,fold_2,5,2884,510,2904,515,0,True
168h_6h,outer,fold_3,5,4248,849,4273,854,0,True
168h_6h,inner,fold_3,5,3605,638,3630,643,0,True
168h_6h,outer,fold_4,5,5097,849,5127,854,0,True
168h_6h,inner,fold_4,5,4327,765,4357,770,0,True
168h_6h,outer,fold_5,5,5946,854,5981,859,0,True
168h_6h,inner,fold_5,5,5049,892,5079,902,0,True
24h_1h,block,Q1_to_Q2,0,873,873,873,873,0,True
24h_1h,block,Q2_to_Q3,0,873,873,873,873,0,True
24h_1h,block,Q3_to_Q4,0,873,873,873,873,0,True
24h_1h,block,Q4_to_Q5,0,873,873,873,873,0,True
24h_1h,block,Q5_to_Q6,0,873,873,873,873,0,True
24h_1h,block,Q6_to_Q7,0,873,873,873,873,0,True
24h_1h,block,Q7_to_Q8,0,873,873,873,873,0,True
24h_1h,outer,fold_1,0,2619,873,2619,873,0,True
24h_1h,inner,fold_1,0,2226,393,2226,393,0,True
24h_1h,outer,fold_2,0,3492,873,3492,873,0,True
24h_1h,inner,fold_2,0,2968,524,2968,524,0,True
24h_1h,outer,fold_3,0,4365,873,4365,873,0,True
24h_1h,inner,fold_3,0,3710,655,3710,655,0,True
24h_1h,outer,fold_4,0,5238,873,5238,873,0,True
24h_1h,inner,fold_4,0,4452,786,4452,786,0,True
24h_1h,outer,fold_5,0,6111,873,6111,873,0,True
24h_1h,inner,fold_5,0,5194,917,5194,917,0,True
