task,split,variable,rows,invalid_before_ffill,filled_by_causal_ffill,residual_missing,residual_missing_rate,max_ffill_hours
168h_6h,train,NO2,6132,0,0,0,0.0,6
168h_6h,train,CO,6132,0,0,0,0.0,6
168h_6h,train,O3,6132,0,0,0,0.0,6
168h_6h,train,SO2,6132,0,0,0,0.0,6
168h_6h,train,temperature,6132,0,0,0,0.0,6
168h_6h,train,pressure_hPa_fixed,6132,0,0,0,0.0,6
168h_6h,train,humidity_clean,6132,125,125,0,0.0,6
168h_6h,train,PM25_Concentration,6132,0,0,0,0.0,0
168h_6h,validation,NO2,876,0,0,0,0.0,6
168h_6h,validation,CO,876,0,0,0,0.0,6
168h_6h,validation,O3,876,0,0,0,0.0,6
168h_6h,validation,SO2,876,0,0,0,0.0,6
168h_6h,validation,temperature,876,0,0,0,0.0,6
168h_6h,validation,pressure_hPa_fixed,876,0,0,0,0.0,6
168h_6h,validation,humidity_clean,876,0,0,0,0.0,6
168h_6h,validation,PM25_Concentration,876,0,0,0,0.0,0
24h_1h,train,NO2,6132,0,0,0,0.0,6
24h_1h,train,CO,6132,0,0,0,0.0,6
24h_1h,train,O3,6132,0,0,0,0.0,6
24h_1h,train,SO2,6132,0,0,0,0.0,6
24h_1h,train,temperature,6132,0,0,0,0.0,6
24h_1h,train,pressure_hPa_fixed,6132,0,0,0,0.0,6
24h_1h,train,humidity_clean,6132,125,125,0,0.0,6
24h_1h,train,PM25_Concentration,6132,0,0,0,0.0,0
24h_1h,validation,NO2,876,0,0,0,0.0,6
24h_1h,validation,CO,876,0,0,0,0.0,6
24h_1h,validation,O3,876,0,0,0,0.0,6
24h_1h,validation,SO2,876,0,0,0,0.0,6
24h_1h,validation,temperature,876,0,0,0,0.0,6
24h_1h,validation,pressure_hPa_fixed,876,0,0,0,0.0,6
24h_1h,validation,humidity_clean,876,0,0,0,0.0,6
24h_1h,validation,PM25_Concentration,876,0,0,0,0.0,0
