task,boundary_type,boundary_id,origin_row,origin_time
168h_6h,block,Q1_to_Q2,1018,2014-06-12T10:00:00
168h_6h,block,Q1_to_Q2,1019,2014-06-12T11:00:00
168h_6h,block,Q1_to_Q2,1020,2014-06-12T12:00:00
168h_6h,block,Q1_to_Q2,1021,2014-06-12T13:00:00
168h_6h,block,Q1_to_Q2,1022,2014-06-12T14:00:00
168h_6h,block,Q2_to_Q3,1873,2014-07-18T01:00:00
168h_6h,block,Q2_to_Q3,1874,2014-07-18T02:00:00
168h_6h,block,Q2_to_Q3,1875,2014-07-18T03:00:00
168h_6h,block,Q2_to_Q3,1876,2014-07-18T04:00:00
168h_6h,block,Q2_to_Q3,1877,2014-07-18T05:00:00
168h_6h,block,Q3_to_Q4,2728,2014-08-22T16:00:00
168h_6h,block,Q3_to_Q4,2729,2014-08-22T17:00:00
168h_6h,block,Q3_to_Q4,2730,2014-08-22T18:00:00
168h_6h,block,Q3_to_Q4,2731,2014-08-22T19:00:00
168h_6h,block,Q3_to_Q4,2732,2014-08-22T20:00:00
168h_6h,block,Q4_to_Q5,3582,2014-09-27T06:00:00
168h_6h,block,Q4_to_Q5,3583,2014-09-27T07:00:00
168h_6h,block,Q4_to_Q5,3584,2014-09-27T08:00:00
168h_6h,block,Q4_to_Q5,3585,2014-09-27T09:00:00
168h_6h,block,Q4_to_Q5,3586,2014-09-27T10:00:00
168h_6h,block,Q5_to_Q6,4436,2014-11-01T20:00:00
168h_6h,block,Q5_to_Q6,4437,2014-11-01T21:00:00
168h_6h,block,Q5_to_Q6,4438,2014-11-01T22:00:00
168h_6h,block,Q5_to_Q6,4439,2014-11-01T23:00:00
168h_6h,block,Q5_to_Q6,4440,2014-11-02T00:00:00
168h_6h,block,Q6_to_Q7,5290,2014-12-07T10:00:00
168h_6h,block,Q6_to_Q7,5291,2014-12-07T11:00:00
168h_6h,block,Q6_to_Q7,5292,2014-12-07T12:00:00
168h_6h,block,Q6_to_Q7,5293,2014-12-07T13:00:00
168h_6h,block,Q6_to_Q7,5294,2014-12-07T14:00:00
168h_6h,block,Q7_to_Q8,6144,2015-01-12T00:00:00
168h_6h,block,Q7_to_Q8,6145,2015-01-12T01:00:00
168h_6h,block,Q7_to_Q8,6146,2015-01-12T02:00:00
168h_6h,block,Q7_to_Q8,6147,2015-01-12T03:00:00
168h_6h,block,Q7_to_Q8,6148,2015-01-12T04:00:00
168h_6h,outer,fold_1,2728,2014-08-22T16:00:00
168h_6h,outer,fold_1,2729,2014-08-22T17:00:00
168h_6h,outer,fold_1,2730,2014-08-22T18:00:00
168h_6h,outer,fold_1,2731,2014-08-22T19:00:00
168h_6h,outer,fold_1,2732,2014-08-22T20:00:00
168h_6h,inner,fold_1,2340,2014-08-06T12:00:00
168h_6h,inner,fold_1,2341,2014-08-06T13:00:00
168h_6h,inner,fold_1,2342,2014-08-06T14:00:00
168h_6h,inner,fold_1,2343,2014-08-06T15:00:00
168h_6h,inner,fold_1,2344,2014-08-06T16:00:00
168h_6h,outer,fold_2,3582,2014-09-27T06:00:00
168h_6h,outer,fold_2,3583,2014-09-27T07:00:00
168h_6h,outer,fold_2,3584,2014-09-27T08:00:00
168h_6h,outer,fold_2,3585,2014-09-27T09:00:00
168h_6h,outer,fold_2,3586,2014-09-27T10:00:00
168h_6h,inner,fold_2,3067,2014-09-05T19:00:00
168h_6h,inner,fold_2,3068,2014-09-05T20:00:00
168h_6h,inner,fold_2,3069,2014-09-05T21:00:00
168h_6h,inner,fold_2,3070,2014-09-05T22:00:00
168h_6h,inner,fold_2,3071,2014-09-05T23:00:00
168h_6h,outer,fold_3,4436,2014-11-01T20:00:00
168h_6h,outer,fold_3,4437,2014-11-01T21:00:00
168h_6h,outer,fold_3,4438,2014-11-01T22:00:00
168h_6h,outer,fold_3,4439,2014-11-01T23:00:00
168h_6h,outer,fold_3,4440,2014-11-02T00:00:00
168h_6h,inner,fold_3,3793,2014-10-06T01:00:00
168h_6h,inner,fold_3,3794,2014-10-06T02:00:00
168h_6h,inner,fold_3,3795,2014-10-06T03:00:00
168h_6h,inner,fold_3,3796,2014-10-06T04:00:00
168h_6h,inner,fold_3,3797,2014-10-06T05:00:00
168h_6h,outer,fold_4,5290,2014-12-07T10:00:00
168h_6h,outer,fold_4,5291,2014-12-07T11:00:00
168h_6h,outer,fold_4,5292,2014-12-07T12:00:00
168h_6h,outer,fold_4,5293,2014-12-07T13:00:00
168h_6h,outer,fold_4,5294,2014-12-07T14:00:00
168h_6h,inner,fold_4,4520,2014-11-05T08:00:00
168h_6h,inner,fold_4,4521,2014-11-05T09:00:00
168h_6h,inner,fold_4,4522,2014-11-05T10:00:00
168h_6h,inner,fold_4,4523,2014-11-05T11:00:00
168h_6h,inner,fold_4,4524,2014-11-05T12:00:00
168h_6h,outer,fold_5,6144,2015-01-12T00:00:00
168h_6h,outer,fold_5,6145,2015-01-12T01:00:00
168h_6h,outer,fold_5,6146,2015-01-12T02:00:00
168h_6h,outer,fold_5,6147,2015-01-12T03:00:00
168h_6h,outer,fold_5,6148,2015-01-12T04:00:00
168h_6h,inner,fold_5,5242,2014-12-05T10:00:00
168h_6h,inner,fold_5,5243,2014-12-05T11:00:00
168h_6h,inner,fold_5,5244,2014-12-05T12:00:00
168h_6h,inner,fold_5,5245,2014-12-05T13:00:00
168h_6h,inner,fold_5,5246,2014-12-05T14:00:00
