object_id,object_type,task,fold,model,horizon_step,fit_start,fit_end,row_count,config_hash,state_hash,details
inner_scaler:fold1:R_self,standardizer,168h_6h,1,R_self,,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,261d8a3ba42e6ae519d8685296055e6aa61226b6151d5a400d18aa81a939adcf,bc1e4d10272d3088abc81ae3573179412d169928e015c3c30c354e090d9c5e62,"{""ddof"": 0, ""feature_count"": 12, ""feature_names"": [""self:PM25:lag0:value"", ""self:PM25:lag0:difference"", ""self:PM25:lag1:value"", ""self:PM25:lag1:difference"", ""self:PM25:lag2:value"", ""self:PM25:lag2:difference"", ""self:PM25:lag3:value"", ""self:PM25:lag3:difference"", ""self:PM25:lag6:value"", ""self:PM25:lag6:difference"", ""self:PM25:lag12:value"", ""self:PM25:lag12:difference""], ""fold"": 1, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.0001:h1,ridge,168h_6h,1,R_self,1,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,b8bcfae4f5cfae3d037378e0569db4faf7a7be1f45ef8b86c2c11c6e7c3f193d,65eef7d370149104e7fc71e49a6d0454fffda7c25eb888577b0d8c2818a03c0c,"{""alpha"": 0.0001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 1, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.0001:h2,ridge,168h_6h,1,R_self,2,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,31b78b58f186d477cf500727d9f46b028d178a086c1bc2b5ba310ebcfb27e167,fd23ee1eddf0e8abe5da3d8c4baf6b36639d655628f44822414c1aa8b37ea002,"{""alpha"": 0.0001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 2, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.0001:h3,ridge,168h_6h,1,R_self,3,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,ee2b5c0279bcb2c2b9cf640ac5ff1c24be2abc4dc91afffd2b98c638a8019419,6447e13e9b6c4cadae249d67c31c589e6bd69d60e953e4611c8fd2aeed9c22fd,"{""alpha"": 0.0001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 3, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.0001:h4,ridge,168h_6h,1,R_self,4,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,3dc59ff33e61e7efb75c7cdd922f7fd231acb73003d31584d4dac668d8af8d1e,38acfa8e004626762fbbf6c259af7e4a1b6f8b00bd3f2e5a3d710f6532334a3a,"{""alpha"": 0.0001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 4, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.0001:h5,ridge,168h_6h,1,R_self,5,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,44fa65f36de1bb29f2d6c8acd8c22ff4ef076780b35d9f596aa8c1df2cb5997b,f7055e1e1c0c11074b680922115bdd98ba171f2527277d2c5a20fc53b23fdc40,"{""alpha"": 0.0001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 5, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.0001:h6,ridge,168h_6h,1,R_self,6,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,3ecda01417084bbb81de54ca7c693034048ff57b0b2da20c643f15fb84e1c7e3,95c9241c457e74f618a9c340ad85bb877afe8a8039066bf479954a35c6f345ae,"{""alpha"": 0.0001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 6, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.001:h1,ridge,168h_6h,1,R_self,1,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,b4e1af26d5d9e01b32af84ed5d472a4eedda8e8a4ffec8b45dd141eb2ff5d80e,b1559a395a2666cb0901997199ab14df63b969e2b5b0156d50f7566d4e3c06ed,"{""alpha"": 0.001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 1, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.001:h2,ridge,168h_6h,1,R_self,2,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,55cb2556ed02471ea3cce7ca6955d2a52ea81bc5455b6d03f848621d523a6638,ba78b7502f5be3d2714c45932a238ff3f02d9305802a1ecd008f7900d3b73dc5,"{""alpha"": 0.001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 2, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.001:h3,ridge,168h_6h,1,R_self,3,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,934945aa6af1da49ce27efba13eb2613c5b889cff3dd3445c78aac73293d30da,cbbe8d0696c52eedcbe113ec8da82d1de28a04d0ff4611247925f04f4ec9677f,"{""alpha"": 0.001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 3, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.001:h4,ridge,168h_6h,1,R_self,4,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,7ff2121030584ceba75f74f82d863d51f9960e2ae520d6c399dd7b9a638efd70,1269dd4c1ef8064face1fab5c6a8a005e07acda3a442a45321d929b2308e9b23,"{""alpha"": 0.001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 4, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.001:h5,ridge,168h_6h,1,R_self,5,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,4f0d954354f5629c5298b1f85b4a689f61fcb3d6c2f247d7f36ec0b169526d44,b807781d1a5a4a0f30dca86c34836f525e9aba1ccc8e2d7c1036978199a41342,"{""alpha"": 0.001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 5, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.001:h6,ridge,168h_6h,1,R_self,6,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,5103161cb30a475bd0ad2ca64ef71a4d621342757547a491eda6652f0a415e85,d9d8fbc8fa47b07b002e61d7a44b698e6bdbba99416e102b1ad2e79a7a442ad3,"{""alpha"": 0.001, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 6, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.01:h1,ridge,168h_6h,1,R_self,1,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,f3b59858126943223fc96fd507862e08375fc8fca7c02ea1e90ebc3b86dbb755,550be86900f6f0f29821d8beab8728bb1813b57a046bc69e8e1688e0a37c2474,"{""alpha"": 0.01, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 1, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.01:h2,ridge,168h_6h,1,R_self,2,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,70d57d5c9d00532eb60f752c7f869ae74c43e2cb38b4c1ff21bf341dec0af2dc,1563c12519ea478e2fac94685e2aa0bb88fb82550a020befd22e3e12d07f2741,"{""alpha"": 0.01, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 2, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.01:h3,ridge,168h_6h,1,R_self,3,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,05a20e542a1c12092f4f23a57a426e2702026e29b6dfc0f8f1c59f829ba12cc5,3362405eb7cdd1230e7b22e172eaf10f251553cc4baeeb820e4996bd17b442f2,"{""alpha"": 0.01, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 3, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.01:h4,ridge,168h_6h,1,R_self,4,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,c50f7fc3c43d23e13b029726de81497f6771784d45c4ff24453290ec049887b2,47c38ba1c50273526e95bd0be227c95ee2f0b3cbafb34329d3dcae425d72f311,"{""alpha"": 0.01, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 4, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.01:h5,ridge,168h_6h,1,R_self,5,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,a35b69d510323b1b5eb533a96904b47e04ba4c9c96047c817b5ec1fe65fb1061,fe47beb45635eb28b8533cdc90f105a7ec72673806b6ce116bffc64ea6e5993a,"{""alpha"": 0.01, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 5, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.01:h6,ridge,168h_6h,1,R_self,6,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,901bb66d899fcc811273a7c7168c419a8df0d16367298ca7dd94878923d77906,08943742073551011e2a31d525ce8aa67d3363ef9a3a17fe5c63f4aebbeefb87,"{""alpha"": 0.01, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 6, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.1:h1,ridge,168h_6h,1,R_self,1,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,e97a6f7a046af8c0d9fbe20a3082ddad9664bba0346093edd5ce2a584bf36877,1b798b6ddad19f7248426e8e77fbef45a6656b1c3d7d0ca07b4a58ad7e665fa1,"{""alpha"": 0.1, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 1, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.1:h2,ridge,168h_6h,1,R_self,2,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,1cd70570d41c23e7b8dec3126bd7a2c22c1fe10ff521f32c093f8cb2eeae95aa,e1ee1303e64f70c429336e608bf610d1a59e791604625fa50bdd8dc6c2dc7d9e,"{""alpha"": 0.1, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 2, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.1:h3,ridge,168h_6h,1,R_self,3,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,c734d325665b9544422d628d596ee34d86232a9712006f4eecbbd7117863c706,4be0bd7773c89ddbf0bb130dcfcf09b01bf78356022c914555b61d079ba48bc3,"{""alpha"": 0.1, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 3, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
inner_ridge:fold1:R_self:alpha0.1:h4,ridge,168h_6h,1,R_self,4,2014-05-08T00:00:00,2014-08-06T11:00:00,2162,b39062af0ba28106530a8238063efb745ec29c0e19bdf983028efefedf6fcb93,901fecfc8adf874866b879e87e3447c73f801ecf719e58cf65f949d689b85783,"{""alpha"": 0.1, ""direct_target"": true, ""fold"": 1, ""horizon_step"": 4, ""model"": ""R_self"", ""stage"": ""inner"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d""}"
