scope,task,fold,model,horizon_step,selected_alpha,train_samples,validation_samples,rmse,mae,smape_percent
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,1,100.0,2550,849,13.23780501473726,8.571966304916682,20.638203972786677
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,2,100.0,2550,849,21.522894171955286,14.513315383245924,31.046877453887284
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,3,100.0,2550,849,27.4900806686187,19.166231871731636,38.101949427430725
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,4,100.0,2550,849,31.77298474813102,22.93873673774387,43.33324564703398
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,5,100.0,2550,849,34.74797687454803,25.742953899424826,47.127525393039065
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,6,100.0,2550,849,36.956043535413436,28.141482946096236,50.50630994959192
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,1,100.0,2550,849,13.005792475385093,8.393354941368397,20.34162818224128
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,2,100.0,2550,849,21.30837434865098,14.165601055400112,29.818033293326273
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,3,100.0,2550,849,27.14826002954524,18.63186948139834,37.0071120507112
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,4,100.0,2550,849,31.36207512189553,22.37169984045274,42.254741101881216
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,5,100.0,2550,849,34.239952585139584,25.040866312626832,46.43257471836907
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,6,100.0,2550,849,36.355800391999864,27.381354966235467,49.53508447416499
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,1,100.0,2550,849,12.940348586132428,8.348674421208445,20.3576233974629
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,2,100.0,2550,849,21.100535807396078,13.901251838980823,29.439452949645307
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,3,100.0,2550,849,26.759640686335764,18.1220575840674,35.934201012700086
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,4,100.0,2550,849,30.786054180935878,21.61728037528346,41.11722338144006
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,5,100.0,2550,849,33.50630755249377,24.02068821160983,44.524545301750216
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,6,100.0,2550,849,35.53374090286069,26.290964744878806,47.746903993339004
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,1,100.0,3399,849,17.118217448457237,10.221438320866932,21.09607366259244
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,2,100.0,3399,849,28.264988848567665,17.892890195947896,31.622442042879918
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,3,100.0,3399,849,37.123633003382444,24.349524536121343,38.977997099504655
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,4,100.0,3399,849,45.01861393391174,30.206912485195204,45.21016220110592
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,5,100.0,3399,849,51.73951873354395,35.09542332187283,49.64503729260823
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,6,100.0,3399,849,57.60420885072908,39.50571834439246,53.24600196636244
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,1,10.0,3399,849,17.024992324851024,10.167159662721843,21.758437585060573
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,2,10.0,3399,849,28.644439653483143,18.278223804786638,30.16907922130216
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,3,10.0,3399,849,38.32959368723274,25.228917758708924,37.62535785908033
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,4,10.0,3399,849,47.13985036027923,31.737914885498725,43.87857577721227
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,5,10.0,3399,849,54.491004286085044,37.20426034523145,49.87058521664227
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,6,10.0,3399,849,60.86849705946837,41.99781377000874,54.32267426706912
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,1,100.0,3399,849,17.137731035521,10.355429592630173,23.67318159800193
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,2,100.0,3399,849,28.573249771776908,18.303321125133404,31.689326082966122
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,3,100.0,3399,849,37.95678008042048,24.86423408094499,38.4362841869591
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,4,100.0,3399,849,46.37347806935843,30.874496544659625,44.698520780805886
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,5,100.0,3399,849,53.40067040084967,36.14133943819623,50.30803845295194
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,6,100.0,3399,849,59.38666544467562,40.4629208841524,54.47660298957317
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,1,0.0001,4248,849,15.875714749285132,8.762160258138753,27.89050897019157
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,2,0.0001,4248,849,27.203487917024212,15.834726182534602,44.013599225920764
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,3,0.0001,4248,849,36.033490753090454,21.98444694853419,54.57502194046261
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,4,0.0001,4248,849,42.77450748871673,27.035315054223314,62.525264650589044
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,5,0.0001,4248,849,48.546529163464754,31.768479897914673,68.78479802075168
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,6,0.0001,4248,849,53.81470509723271,36.18368226000095,73.77689855623709
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,1,10.0,4248,849,15.450392204118582,8.520012383119596,30.310818680941086
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,2,10.0,4248,849,26.51361335830678,14.996181544365879,40.38638123933481
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,3,10.0,4248,849,35.087037598348005,20.781903522576286,50.36849056482174
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,4,10.0,4248,849,41.52642055520904,25.729353354548472,58.58155621914371
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,5,10.0,4248,849,47.08822478216913,30.362804798446245,66.35733226399888
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,6,10.0,4248,849,52.16689367911906,34.75677685689533,71.78911388375697
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,1,0.0001,4248,849,15.597305907841672,9.046645054560491,40.04671245953446
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,2,0.0001,4248,849,26.522772841733843,15.776651671262398,53.001631423640305
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,3,0.0001,4248,849,34.79405362341758,21.442522066841065,61.32606854898759
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,4,0.0001,4248,849,40.91039031902492,25.93944287993015,66.8302198433564
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,5,0.0001,4248,849,46.32783122002006,30.206782296039762,70.96092250495045
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,6,0.0001,4248,849,51.29815171149658,34.027158611361706,73.72596415462009
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,1,0.0001,5097,849,20.97712468718298,11.015370999354763,28.941995150024812
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,2,0.0001,5097,849,34.11562788863762,19.75661294507536,46.92449316842015
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,3,0.0001,5097,849,44.21189061489214,27.36180410113576,59.457917393587046
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,4,0.0001,5097,849,52.75450565059126,33.94480155642202,68.37777265465368
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,5,0.0001,5097,849,59.176419435264606,39.43716716851349,74.82555828394086
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,6,0.0001,5097,849,64.42630795814847,43.9024097464483,80.11328843415478
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,1,0.0001,5097,849,20.5947724261247,10.739562261457138,28.292232596772234
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,2,0.0001,5097,849,33.72460606826175,19.259666524963706,43.36789405430941
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,3,0.0001,5097,849,44.24277096182249,27.045131808866245,56.05754094309172
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,4,0.0001,5097,849,53.38339874157386,33.97315222879849,66.15268057970385
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,5,0.0001,5097,849,60.47119630000259,39.65133763806987,73.14050213785951
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,6,0.0001,5097,849,66.3677190356643,44.609764000015225,79.13866610150868
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,1,100.0,5097,849,20.652455465443833,10.973528046715886,35.951051560878675
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,2,100.0,5097,849,33.726365396739716,19.298369175821637,50.365215121535265
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,3,100.0,5097,849,44.06737043967211,26.8105460572847,63.02388530490658
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,4,100.0,5097,849,52.709217377960265,33.00744818533049,70.30050222336772
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,5,100.0,5097,849,59.046293022314075,38.073343193330786,77.4234505045834
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,6,100.0,5097,849,64.1653110766253,42.29449589781013,82.11403045509223
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,1,100.0,5946,854,23.904580598234375,13.057504236573246,21.842201057530094
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,2,100.0,5946,854,38.357220393240425,22.594276544064616,33.19623342659168
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,3,100.0,5946,854,49.01536523286047,30.581592216293636,42.998048982857
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,4,100.0,5946,854,56.49502436030241,37.021320882477404,50.64171470116883
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,5,100.0,5946,854,62.72425337535519,42.89014820904015,56.69557537183254
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,6,100.0,5946,854,68.33087995837165,48.02419281666642,61.96537721092383
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,1,0.0001,5946,854,23.454941529988755,12.828155507662162,22.078770500569732
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,2,0.0001,5946,854,37.575961731878095,22.096296948754535,33.51742292033719
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,3,0.0001,5946,854,47.7669139097368,29.732271359779975,43.213352759545394
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,4,0.0001,5946,854,54.969803750013575,35.962846556342804,50.60268642752781
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,5,0.0001,5946,854,60.9090673858105,41.79079389619299,56.412305554122035
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,6,0.0001,5946,854,66.19810291996214,46.70222002969917,61.17496302306735
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,1,0.0001,5946,854,23.191507936614663,12.815281189715984,23.949576943666393
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,2,0.0001,5946,854,36.91568463610432,21.752472100181723,35.23774864364715
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,3,0.0001,5946,854,46.64920705479424,28.721552908271835,43.84563252400168
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,4,0.0001,5946,854,53.27216542149462,34.21680915429216,49.97130583930343
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,5,0.0001,5946,854,58.77220693273955,39.349289745881755,55.872182225300385
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,6,0.0001,5946,854,63.73178531083521,43.722963305467324,59.33852895760203
selection_interval_L0_not_test_not_neural,24h_1h,1,R_self,1,100.0,2619,873,13.656869756094833,8.618100378561106,20.00199256359752
selection_interval_L0_not_test_not_neural,24h_1h,1,R_recent,1,100.0,2619,873,13.359798024089898,8.419678555396445,19.694010413393645
