scope,task,fold,model,selected_alpha,train_samples,validation_samples,target_values,rmse_all,mae_all,smape_all_percent
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,100.0,2550,849,5094,28.800673026809108,19.84578119052653,38.45901864062828
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,100.0,2550,849,5094,28.3957855119787,19.330791099580317,37.564862303449004
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,100.0,2550,849,5094,27.874313513032853,18.716819529338128,36.519991672722924
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,100.0,3399,849,5094,41.8170726044198,26.21198453406611,39.96628571084227
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,10.0,3399,849,5094,43.733894203706186,27.43571503782605,39.604118321061115
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,100.0,3399,849,5094,42.97238780462576,26.833623610952802,40.546992348543014
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,0.0001,4248,849,5094,39.52410024050505,23.59480176689108,55.26101522735879
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,10.0,4248,849,5094,38.37515653256988,22.524505409991967,52.96561547533286
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,0.0001,4248,849,5094,37.87872742707446,22.73986709666593,60.981919822514875
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,0.0001,5097,849,5094,48.294655913561165,29.236361086158286,59.77350418079689
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,0.0001,5097,849,5094,49.04104311913267,29.21310241036178,57.69158606887424
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,100.0,5097,849,5094,48.11070261893911,28.40962175938227,63.196355861727305
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,100.0,5946,854,5124,52.026179713736624,32.361505817519244,44.55652512515067
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,0.0001,5946,854,5124,50.59240372993604,31.518764049738603,44.49991686419492
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,0.0001,5946,854,5124,49.0418166920056,30.09639473396846,44.70249585558685
selection_interval_L0_not_test_not_neural,24h_1h,1,R_self,100.0,2619,873,873,13.656869756094833,8.618100378561106,20.00199256359752
selection_interval_L0_not_test_not_neural,24h_1h,1,R_recent,100.0,2619,873,873,13.359798024089898,8.419678555396445,19.694010413393645
selection_interval_L0_not_test_not_neural,24h_1h,1,R_lag,100.0,2619,873,873,13.254360454659865,8.349370623537286,19.579856359503445
selection_interval_L0_not_test_not_neural,24h_1h,2,R_self,10.0,3492,873,873,16.56089275624323,9.839789072418684,19.999486732690773
selection_interval_L0_not_test_not_neural,24h_1h,2,R_recent,10.0,3492,873,873,16.615629262033497,9.973485549244256,20.788808889112122
selection_interval_L0_not_test_not_neural,24h_1h,2,R_lag,10.0,3492,873,873,16.543141793083322,9.923845755403454,21.812126123313238
selection_interval_L0_not_test_not_neural,24h_1h,3,R_self,0.0001,4365,873,873,15.960530836699332,8.727555813884342,27.763147334235246
selection_interval_L0_not_test_not_neural,24h_1h,3,R_recent,0.0001,4365,873,873,15.485144779279413,8.434375026729304,28.402697234666658
selection_interval_L0_not_test_not_neural,24h_1h,3,R_lag,0.0001,4365,873,873,15.609384067158228,8.87013358550309,37.544948699179116
selection_interval_L0_not_test_not_neural,24h_1h,4,R_self,0.0001,5238,873,873,20.97357890101833,11.073874616800438,28.722729109501056
selection_interval_L0_not_test_not_neural,24h_1h,4,R_recent,0.0001,5238,873,873,20.592684099560415,10.80329320612159,28.265460021990563
selection_interval_L0_not_test_not_neural,24h_1h,4,R_lag,10.0,5238,873,873,20.59615068415214,11.062166698228177,35.112718998366304
selection_interval_L0_not_test_not_neural,24h_1h,5,R_self,0.0001,6111,873,873,23.743636895253857,12.901193579578647,21.513679080457404
selection_interval_L0_not_test_not_neural,24h_1h,5,R_recent,0.0001,6111,873,873,23.255817835499666,12.713714444472162,21.852151477160408
selection_interval_L0_not_test_not_neural,24h_1h,5,R_lag,1.0,6111,873,873,23.00626626164706,12.71665937736248,23.593208185145745
