scope,task,fold,model,alpha,horizon_step,rmse,mae,smape_percent
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.0001,1,15.444731877943175,9.287219846772551,20.76934609498803
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.0001,2,24.459195693944647,15.561520933279217,31.500261417565014
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.0001,3,29.436058588473788,19.985732015347338,38.17007237382924
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.0001,4,32.69875053021501,23.428967973220804,43.32736231671363
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.0001,5,34.820582544883806,25.683426878038514,46.322635559139044
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.0001,6,36.823196842744196,27.37486985218458,48.28386935159328
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.001,1,15.444730919309958,9.287220467829277,20.769349670179558
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.001,2,24.4591936662598,15.561521674201066,31.50026207565768
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.001,3,29.436056755519107,19.98573194451129,38.17007266000072
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.001,4,32.69874880120357,23.428967505887393,43.32736116304561
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.001,5,34.820580752143144,25.683426269946803,46.322634529913906
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.001,6,36.82319477832314,27.374868904569542,48.283866694409774
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.01,1,15.44472133399335,9.287226678468446,20.769385420969982
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.01,2,24.459173390053007,15.561529083128235,31.50026865579147
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.01,3,29.43603842638527,19.985731236091194,38.17007552126601
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.01,4,32.69873151131524,23.428962832571415,43.32734962638665
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.01,5,34.82056282497368,25.683420189085563,46.3226242377322
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.01,6,36.823174134494636,27.37485942859251,48.283840123048364
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.1,1,15.444625582308333,9.287288792045079,20.76974281648955
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.1,2,24.458970692111688,15.56160314328396,31.50033437791188
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.1,3,29.435855176326776,19.98572414593495,38.17010408900801
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.1,4,32.698558635039845,23.428916101229373,43.32723426192505
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.1,5,34.82038357699298,25.683359386059195,46.322521322874714
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.1,6,36.82296773439518,27.374764686146808,48.28357445679151
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,1.0,1,15.443678141549217,9.28791064044745,20.773305627028506
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,1.0,2,24.456950087997164,15.562340847702846,31.500983749066023
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,1.0,3,29.4340267818875,19.985698034944697,38.17047093348952
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,1.0,4,32.696832127751584,23.428448971377957,43.326080838001104
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,1.0,5,34.8185934653239,25.68275191402341,46.32149287047381
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,1.0,6,36.82090753965528,27.3738189888141,48.28092252159045
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,10.0,1,15.43514431164434,9.296006969203678,20.81169205250047
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,10.0,2,24.43734670932395,15.570094286867302,31.508794341467528
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,10.0,3,29.416133070962484,19.985639098321748,38.174213946437405
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,10.0,4,32.67978755151681,23.423797704162624,43.31457595556258
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,10.0,5,34.80092594993341,25.676732628641147,46.29973584237812
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,10.0,6,36.80067447228656,27.364529609860394,48.25486762385686
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,100.0,1,15.405953588507847,9.470873124598356,21.384195791884522
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,100.0,2,24.281363091956017,15.655605248040942,31.63171131464902
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,100.0,3,29.264356132914617,20.004922176249938,38.19963967124126
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,100.0,4,32.52794184636293,23.38944350231979,43.23772778897868
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,100.0,5,34.64480503906178,25.621639428911408,46.02213204339501
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,100.0,6,36.62713091911636,27.299910986195993,48.08115528345673
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.0001,1,15.528088183426739,9.447963588591108,22.109005730778435
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.0001,2,24.30938094763367,15.562874179460152,32.668577620634856
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.0001,3,29.17613779358403,20.139479344437742,40.040016418556014
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.0001,4,32.518296541208684,23.621879845427195,45.17919234116438
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.0001,5,34.883812198606776,26.050797567291756,47.797536017663006
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.0001,6,37.24536458866306,28.151304675307408,50.347438057335445
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.001,1,15.528087803103254,9.447964673987796,22.109007914215358
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.001,2,24.30937947959046,15.562876419647733,32.66858240566338
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.001,3,29.176136961071922,20.139481108736007,40.040020113537196
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.001,4,32.51829597845795,23.62188092287826,45.17919265197957
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.001,5,34.88381131708028,26.050798224971047,47.79753521512832
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.001,6,37.24536278904481,28.151304469981337,50.34743689183235
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.01,1,15.528084001669459,9.447975527997361,22.109029746919983
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.01,2,24.30936480017333,15.56289882102643,32.66863025401211
