scope,task,fold,model,alpha,inner_fit_samples,inner_validation_samples,rmse_all,mae_all,smape_all_percent,selected
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.0001,2162,383,29.835389005681616,20.220289583140502,38.062257852304704,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.001,2162,383,29.835387255323422,20.220289461157563,38.062257798867876,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.01,2162,383,29.835369752150857,20.220288241322894,38.06225726419911,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,0.1,2162,383,29.835194761342198,20.220276042449893,38.06225188750012,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,1.0,2162,383,29.833448925887218,20.220161566218408,38.0622094232749,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,10.0,2162,383,29.81637995566025,20.219466716176147,38.060646627033826,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,100.0,2162,383,29.673800946766097,20.240399077719406,38.09276031560086,True
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.0001,2162,383,29.846417116162485,20.495716533419223,39.69029436435535,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.001,2162,383,29.84641610006876,20.495717636700363,39.69029586539269,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.01,2162,383,29.846405939670138,20.495728669307677,39.69031087493982,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.1,2162,383,29.846304389524985,20.49583897498299,39.690460887865804,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,1.0,2162,383,29.845294245635266,20.496953074142294,39.69197083111729,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,10.0,2162,383,29.8357035496714,20.50866210877497,39.70756985251834,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,100.0,2162,383,29.775097427122464,20.647196469622646,39.87368411105294,True
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.0001,2162,383,29.977443142122738,20.773295725868504,40.44109728284186,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.001,2162,383,29.977439468950827,20.77329459584193,40.441094624579996,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.01,2162,383,29.977402741713323,20.77328329595769,40.44106804176593,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.1,2162,383,29.97703591660418,20.773170335310844,40.44080219498973,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,1.0,2162,383,29.973411524597857,20.772044597263314,40.43814275951224,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,10.0,2162,383,29.940870587095166,20.761398039839737,40.41150510780709,False
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,100.0,2162,383,29.771980586742153,20.743840606634873,40.21533309065082,True
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.0001,2884,510,29.758815986427667,20.34874241672947,36.121852317946484,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.001,2884,510,29.758815828466226,20.348742995256448,36.12185351977597,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.01,2884,510,29.75881424902976,20.348748780509467,36.12186553794999,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.1,2884,510,29.758798472448486,20.348806631363853,36.121985707631474,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,1.0,2884,510,29.758642478322244,20.349401317706437,36.12372878663196,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,10.0,2884,510,29.757253329541243,20.355419016191913,36.14195122422277,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,100.0,2884,510,29.755991815448162,20.421015594550784,36.273148490522395,True
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.0001,2884,510,28.93113269969758,19.648570907433466,35.152085881014216,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.001,2884,510,28.9311325054615,19.648570783131742,35.15208424908723,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.01,2884,510,28.931130563342915,19.648569540148507,35.15206793024232,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.1,2884,510,28.931111166371732,19.648557113712823,35.15190478426793,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,1.0,2884,510,28.930919608902318,19.648433189182928,35.150277557656985,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,10.0,2884,510,28.92923639615646,19.64789501489282,35.13658153946974,True
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,100.0,2884,510,28.92932199474641,19.66677393570981,35.10869223026075,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.0001,2884,510,28.411787516099217,19.051294987278283,34.220357539978075,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.001,2884,510,28.411787017700632,19.051293846860595,34.22035428865927,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.01,2884,510,28.411782034114403,19.051282444001608,34.220321779547355,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.1,2884,510,28.411732238181955,19.05116854697105,34.21999709527164,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,1.0,2884,510,28.411238243817042,19.050077403203172,34.216941236202906,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,10.0,2884,510,28.406673062958845,19.040977582693845,34.19119659857295,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,100.0,2884,510,28.389768992963447,19.02480380206501,34.04972214819421,True
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,0.0001,3605,638,45.90064507860452,28.899951649311365,40.145269160159934,True
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,0.001,3605,638,45.90064728380856,28.89995466560466,40.14527339203766,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,0.01,3605,638,45.900669335865416,28.899984828440648,40.14531571043668,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,0.1,3605,638,45.90088985807946,28.900286447102093,40.14573885661742,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,1.0,3605,638,45.90309524444746,28.903301665208502,40.14996655523517,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,10.0,3605,638,45.92516523105455,28.933468346121092,40.192563551420214,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,100.0,3605,638,46.14731188485879,29.238399173021367,40.62716980815888,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,0.0001,3605,638,48.41314915119769,31.094316454882655,40.797802448663276,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,0.001,3605,638,48.41314893134477,31.09431692077698,40.797808114029,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,0.01,3605,638,48.413146733270004,31.09432157999419,40.79786476941254,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,0.1,3605,638,48.41312479795757,31.09436819956009,40.798431495790496,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,1.0,3605,638,48.412909977617545,31.09484002703794,40.804135258255236,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,10.0,3605,638,48.41120456739686,31.100019993196593,40.86410542324887,True
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,100.0,3605,638,48.4300002043517,31.192980838035275,41.702297570672314,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,0.0001,3605,638,46.93107131736787,30.00928155717956,41.911883795920986,True
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,0.001,3605,638,46.93107591887489,30.009285468117564,41.911878732650614,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,0.01,3605,638,46.93112193300818,30.0093246915712,41.91182888571401,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,0.1,3605,638,46.93158198079145,30.009717794376506,41.91133872759844,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,1.0,3605,638,46.93617322870978,30.013634059621708,41.90658474853253,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,10.0,3605,638,46.98127180302181,30.05327991859052,41.89349004148582,False
selection_interval_L0_not_test_not_neural,168h_6h,3,R_lag,100.0,3605,638,47.39309033141459,30.44349094205159,42.03353939570683,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,0.0001,4327,765,40.189916419385845,23.903569474442644,54.72621389033827,True
