scope,task,sample_index,origin_row,origin_time,target_start,target_end,block,all_required_values_finite,formal_test_sample
selection_interval_L0_not_test_not_neural,168h_6h,0,168,2014-05-08T00:00:00,2014-05-08T00:00:00,2014-05-08T05:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,1,169,2014-05-08T01:00:00,2014-05-08T01:00:00,2014-05-08T06:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,2,170,2014-05-08T02:00:00,2014-05-08T02:00:00,2014-05-08T07:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,3,171,2014-05-08T03:00:00,2014-05-08T03:00:00,2014-05-08T08:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,4,172,2014-05-08T04:00:00,2014-05-08T04:00:00,2014-05-08T09:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,5,173,2014-05-08T05:00:00,2014-05-08T05:00:00,2014-05-08T10:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,6,174,2014-05-08T06:00:00,2014-05-08T06:00:00,2014-05-08T11:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,7,175,2014-05-08T07:00:00,2014-05-08T07:00:00,2014-05-08T12:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,8,176,2014-05-08T08:00:00,2014-05-08T08:00:00,2014-05-08T13:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,9,177,2014-05-08T09:00:00,2014-05-08T09:00:00,2014-05-08T14:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,10,178,2014-05-08T10:00:00,2014-05-08T10:00:00,2014-05-08T15:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,11,179,2014-05-08T11:00:00,2014-05-08T11:00:00,2014-05-08T16:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,12,180,2014-05-08T12:00:00,2014-05-08T12:00:00,2014-05-08T17:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,13,181,2014-05-08T13:00:00,2014-05-08T13:00:00,2014-05-08T18:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,14,182,2014-05-08T14:00:00,2014-05-08T14:00:00,2014-05-08T19:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,15,183,2014-05-08T15:00:00,2014-05-08T15:00:00,2014-05-08T20:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,16,184,2014-05-08T16:00:00,2014-05-08T16:00:00,2014-05-08T21:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,17,185,2014-05-08T17:00:00,2014-05-08T17:00:00,2014-05-08T22:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,18,186,2014-05-08T18:00:00,2014-05-08T18:00:00,2014-05-08T23:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,19,187,2014-05-08T19:00:00,2014-05-08T19:00:00,2014-05-09T00:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,20,188,2014-05-08T20:00:00,2014-05-08T20:00:00,2014-05-09T01:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,21,189,2014-05-08T21:00:00,2014-05-08T21:00:00,2014-05-09T02:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,22,190,2014-05-08T22:00:00,2014-05-08T22:00:00,2014-05-09T03:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,23,191,2014-05-08T23:00:00,2014-05-08T23:00:00,2014-05-09T04:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,24,192,2014-05-09T00:00:00,2014-05-09T00:00:00,2014-05-09T05:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,25,193,2014-05-09T01:00:00,2014-05-09T01:00:00,2014-05-09T06:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,26,194,2014-05-09T02:00:00,2014-05-09T02:00:00,2014-05-09T07:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,27,195,2014-05-09T03:00:00,2014-05-09T03:00:00,2014-05-09T08:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,28,196,2014-05-09T04:00:00,2014-05-09T04:00:00,2014-05-09T09:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,29,197,2014-05-09T05:00:00,2014-05-09T05:00:00,2014-05-09T10:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,30,198,2014-05-09T06:00:00,2014-05-09T06:00:00,2014-05-09T11:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,31,199,2014-05-09T07:00:00,2014-05-09T07:00:00,2014-05-09T12:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,32,200,2014-05-09T08:00:00,2014-05-09T08:00:00,2014-05-09T13:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,33,201,2014-05-09T09:00:00,2014-05-09T09:00:00,2014-05-09T14:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,34,202,2014-05-09T10:00:00,2014-05-09T10:00:00,2014-05-09T15:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,35,203,2014-05-09T11:00:00,2014-05-09T11:00:00,2014-05-09T16:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,36,204,2014-05-09T12:00:00,2014-05-09T12:00:00,2014-05-09T17:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,37,205,2014-05-09T13:00:00,2014-05-09T13:00:00,2014-05-09T18:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,38,206,2014-05-09T14:00:00,2014-05-09T14:00:00,2014-05-09T19:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,39,207,2014-05-09T15:00:00,2014-05-09T15:00:00,2014-05-09T20:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,40,208,2014-05-09T16:00:00,2014-05-09T16:00:00,2014-05-09T21:00:00,Q1,True,False
selection_interval_L0_not_test_not_neural,168h_6h,41,209,2014-05-09T17:00:00,2014-05-09T17:00:00,2014-05-09T22:00:00,Q1,True,False
