task,seed,variant,checkpoint_role,checkpoint_path,checkpoint_sha256,model_state_sha256,initialized_from_checkpoint,initialized_from_sha256,patchtst_frozen,source_f00_checkpoint_patchtst_sha256,patchtst_initial_state_sha256,patchtst_initial_complete_state_sha256,patchtst_checkpoint_state_sha256,patchtst_final_loaded_state_sha256,patchtst_final_loaded_complete_state_sha256,patchtst_state_unchanged_from_f00_initialization,shared_by_adapter_variants,base_state_sha256
168h_6h,2060,F00,best_validation_base,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F00_seed2060.pt,0d3a95017539916b8aaf6ea17fc0b259f4771af53ed0e10fdf485a14dfd2f661,5b674e2078fdf489b8319fece7e927f6298aab2b75f584d0ac2863da15fe8aa6,,,False,,53e5adb14f1640b2724a84a24964f7bc283c13ca894f69ddd1b123815b14cbc2,ebbe97f2afbfacf2bd523af90d390c4ebf1dd646928d4f20f7522463b18e3f69,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,False,F01,
168h_6h,2060,F10,best_validation_base,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F10_seed2060.pt,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F00_seed2060.pt,0d3a95017539916b8aaf6ea17fc0b259f4771af53ed0e10fdf485a14dfd2f661,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True,"F11,B1,B2,B_flat,B3",
168h_6h,2060,F01,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F01_seed2060.pt,dd5811e2c0281e0de5dcca8d6640e2161e0a37c7c00a6bd814c530ea297a191e,3d10af7d9082ec7e4877cd780d3080163af46c5680615a6967e3d4fbbdadc784,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F00_seed2060.pt,0d3a95017539916b8aaf6ea17fc0b259f4771af53ed0e10fdf485a14dfd2f661,True,,,,,,,,,5b674e2078fdf489b8319fece7e927f6298aab2b75f584d0ac2863da15fe8aa6
168h_6h,2060,F11,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F11_seed2060.pt,665f4a275ef931926ae2095b644333394a53b84e818cc52e07a4cbe35358129a,89da86d2ddde1a1feea2cf14c52e35c63092c5b2f1bfe2117a41f2d224d43ab4,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F10_seed2060.pt,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,True,,,,,,,,,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7
168h_6h,2060,B1,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/B1_seed2060.pt,2367a5a5cfe57c20bde71522d70a1d1595774c346c5fcfab5438f5256d4f0fa3,c179e5edd7736242057da33bbbedc7869c7cbbe8917cf08ecd6fe6ec9dc0f939,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F10_seed2060.pt,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,True,,,,,,,,,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7
168h_6h,2060,B2,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/B2_seed2060.pt,ba414621586ac81827f6b070a9c00e828ddba8d3b622eed0810ad17649cc9fcb,3d5395453e0b9bb74d5134a6ec9ce1e27ae6f0164dfb536846f1c71612de15a5,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F10_seed2060.pt,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,True,,,,,,,,,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7
168h_6h,2060,B_flat,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/B_flat_seed2060.pt,9f57e9545277d0c3165c1df555793c1fcaa760b8c02cf87d4f643cec082f45ca,43bb4af9c91ee43a00e5ee9d79d6ab18ea55f74892493b8c75a664532f414f2e,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F10_seed2060.pt,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,True,,,,,,,,,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7
168h_6h,2060,B3,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/B3_seed2060.pt,f9249371cea2feafaf27cbbdadf085c2f9909b163a1128f6fe10b1f1c1a76f5b,c23299726de5eaae2753fee76e2d04ee8f183f90a9418b679e9a2c844bc69f48,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F10_seed2060.pt,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,True,,,,,,,,,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7
168h_6h,2061,F00,best_validation_base,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F00_seed2061.pt,f97b93941b33269ef28f6aa7df9643c47c2f229c4b1589a6929b71b77856091a,b8d7a33a5a926e9759c48d97757fb8c1a47273c6c80a186c960aae39a14eca5b,,,False,,d9bfc4a94e1d003cd992436b21d0d09fe6b07002012adcdf9aff06452fd2637a,4e2160a50817538bc0022b46eb84352d247c3500b516ff54cea46321443e7cb9,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,False,F01,
168h_6h,2061,F10,best_validation_base,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F10_seed2061.pt,17cbd59b645f989d4e660b947dfbf6b9820a7701bed278712bf602517e215b43,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,experiments/results/cross_variable_lag_adapter/l1_selection_168h_6h/checkpoints/F00_seed2061.pt,f97b93941b33269ef28f6aa7df9643c47c2f229c4b1589a6929b71b77856091a,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True,"F11,B1,B2,B_flat,B3",
