width,parameter_count,absolute_difference,relative_difference_percent
1,100,6447,98.47258286237971
2,195,6352,97.02153658164045
3,292,6255,95.53994195814877
4,391,6156,94.02779899190469
5,492,6055,92.48510768290821
6,595,5952,90.91186803115932
7,700,5847,89.30808003665801
8,807,5740,87.67374369940431
9,916,5631,86.0088590193982
10,1027,5520,84.31342599663968
11,1140,5407,82.58744463112876
12,1255,5292,80.83091492286543
13,1372,5175,79.0438368718497
14,1491,5056,77.22621047808157
15,1612,4935,75.37803574156102
16,1735,4812,73.49931266228808
17,1860,4687,71.59004124026272
18,1987,4560,69.65022147548495
19,2116,4431,67.67985336795479
20,2247,4300,65.67893691767222
21,2380,4167,63.64747212463724
22,2515,4032,61.58545898884986
23,2652,3895,59.492897510310065
24,2791,3756,57.36978768901787
25,2932,3615,55.21612952497327
26,3075,3472,53.031923018176265
27,3220,3327,50.81716816862685
28,3367,3180,48.57186497632503
29,3516,3031,46.29601344127081
30,3667,2880,43.98961356346418
31,3820,2727,41.652665342905145
32,3975,2572,39.285168779593704
33,4132,2415,36.88712387352986
34,4291,2256,34.45853062471361
35,4452,2095,31.99938903314495
36,4615,1932,29.509699098823887
37,4780,1767,26.98946082175042
38,4947,1600,24.438674201924545
39,5116,1431,21.857339239346267
40,5287,1260,19.24545593401558
41,5460,1087,16.603024285932488
42,5635,912,13.930044295096991
43,5812,735,11.226515961509088
44,5991,556,8.49243928516878
45,6172,375,5.727814266076066
46,6355,192,2.9326409042309454
47,6540,7,0.10691919963341989
48,6727,180,2.7493508477165114
49,6916,369,5.636169237818848
50,7107,560,8.553535970673591
51,7300,753,11.501451046280739
52,7495,948,14.479914464640293
53,7692,1145,17.48892622575225
54,7891,1344,20.52848632961662
55,8092,1545,23.59859477623339
56,8295,1748,26.699251565602566
57,8500,1953,29.83045669772415
58,8707,2160,32.992210172598135
59,8916,2369,36.18451199022453
60,9127,2580,39.407362150603326
61,9340,2793,42.660760653734535
62,9555,3008,45.94470749961815
63,9772,3225,49.25920268825416
64,9991,3444,52.60424621964258
65,10212,3665,55.979838093783414
66,10435,3888,59.38597831067665
67,10660,4113,62.82266687032229
68,10887,4340,66.28990377272034
69,11116,4569,69.78768901787078
70,11347,4800,73.31602260577364
71,11580,5033,76.8749045364289
72,11815,5268,80.46433480983657
73,12052,5505,84.08431342599664
74,12291,5744,87.73484038490912
75,12532,5985,91.41591568657401
76,12775,6228,95.1275393309913
77,13020,6473,98.869711318161
78,13267,6720,102.64243164808309
79,13516,6969,106.4457003207576
80,13767,7220,110.27951733618451
81,14020,7473,114.14388269436382
82,14275,7728,118.03879639529555
83,14532,7985,121.96425843897968
84,14791,8244,125.92026882541622
85,15052,8505,129.90682755460517
86,15315,8768,133.9239346265465
87,15580,9033,137.97159004124026
88,15847,9300,142.0497937986864
89,16116,9569,146.158545898885
90,16387,9840,150.29784634183596
91,16660,10113,154.46769512753934
92,16935,10388,158.6680922559951
93,17212,10665,162.8990377272033
94,17491,10944,167.1605315411639
95,17772,11225,171.4525736978769
96,18055,11508,175.7751641973423
97,18340,11793,180.1283030395601
98,18627,12080,184.5119902245303
99,18916,12369,188.92622575225295
100,19207,12660,193.37100962272797
101,19500,12953,197.8463418359554
102,19795,13248,202.35222239193524
103,20092,13545,206.88865129066747
104,20391,13844,211.45562853215213
105,20692,14145,216.05315411638918
106,20995,14448,220.68122804337864
107,21300,14753,225.3398503131205
108,21607,15060,230.0290209256148
109,21916,15369,234.74873988086145
110,22227,15680,239.49900717886055
111,22540,15993,244.27982281961204
112,22855,16308,249.09118680311593
113,23172,16625,253.93309912937224
114,23491,16944,258.80555979838095
115,23812,17265,263.708568810142
116,24135,17588,268.64212616465556
117,24460,17913,273.6062318619215
118,24787,18240,278.6008859019398
119,25116,18569,283.62608828471053
120,25447,18900,288.6818390102337
121,25780,19233,293.76813807850925
122,26115,19568,298.8849854895372
123,26452,19905,304.03238124331756
124,26791,20244,309.2103253398503
125,27132,20585,314.4188177791355
126,27475,20928,319.65785856117304
127,27820,21273,324.92744768596305
128,28167,21620,330.2275851535054
129,28516,21969,335.5582709638002
130,28867,22320,340.9195051168474
131,29220,22673,346.311287612647
132,29575,23028,351.73361845119905
133,29932,23385,357.18649763250346
134,30291,23744,362.6699251565603
135,30652,24105,368.18390102336946
136,31015,24468,373.7284252329311
137,31380,24833,379.30349778524516
138,31747,25200,384.90911868031156
139,32116,25569,390.54528791813044
140,32487,25940,396.21200549870167
141,32860,26313,401.90927142202537
142,33235,26688,407.6370856881014
143,33612,27065,413.3954482969299
144,33991,27444,419.18435924851076
145,34372,27825,425.00381854284404
146,34755,28208,430.85382617992974
147,35140,28593,436.73438215976785
148,35527,28980,442.6454864823583
149,35916,29369,448.58713914770124
150,36307,29760,454.5593401557966
151,36700,30153,460.56208950664427
152,37095,30548,466.5953872002444
153,37492,30945,472.6592332365969
154,37891,31344,478.7536276157019
155,38292,31745,484.8785703375592
156,38695,32148,491.03406140216896
157,39100,32553,497.22010080953106
158,39507,32960,503.43668855964563
159,39916,33369,509.6838246525126
160,40327,33780,515.961509088132
161,40740,34193,522.2697418665038
162,41155,34608,528.6085229876279
163,41572,35025,534.9778524515045
164,41991,35444,541.3777302581335
165,42412,35865,547.8081564075148
166,42835,36288,554.2691308996486
167,43260,36713,560.7606537345349
168,43687,37140,567.2827249121735
169,44116,37569,573.8353444325645
170,44547,38000,580.418512295708
171,44980,38433,587.0322285016038
172,45415,38868,593.676493050252
173,45852,39305,600.3513059416526
174,46291,39744,607.0566671758057
175,46732,40185,613.7925767527112
176,47175,40628,620.5590346723691
177,47620,41073,627.3560409347793
178,48067,41520,634.183595539942
179,48516,41969,641.041698487857
180,48967,42420,647.9303497785245
181,49420,42873,654.8495494119444
182,49875,43328,661.7992973881167
183,50332,43785,668.7795937070414
184,50791,44244,675.7904383687185
