task,seed,variant,variable,lag,horizon_step,mean_weight,std_weight
168h_6h,2060,F01,NO2,0,1,0.505069375038147,0.3409467339515686
168h_6h,2060,F01,NO2,0,2,1.4785367056902032e-05,1.9015684301848523e-05
168h_6h,2060,F01,NO2,0,3,0.0014765070518478751,0.0028379226569086313
168h_6h,2060,F01,NO2,0,4,0.140130415558815,0.2052011787891388
168h_6h,2060,F01,NO2,0,5,0.23163959383964539,0.339668333530426
168h_6h,2060,F01,NO2,0,6,1.7513049897388555e-05,3.0409273676923476e-05
168h_6h,2060,F01,NO2,1,1,0.47280025482177734,0.3349878191947937
168h_6h,2060,F01,NO2,1,2,8.726050145924091e-05,0.00014843301323708147
168h_6h,2060,F01,NO2,1,3,1.0091710464621428e-05,2.7238398615736514e-05
168h_6h,2060,F01,NO2,1,4,0.015567981638014317,0.04014723002910614
168h_6h,2060,F01,NO2,1,5,0.0002404711558483541,0.001305367099121213
168h_6h,2060,F01,NO2,1,6,0.0017064639832824469,0.005310559179633856
168h_6h,2060,F01,NO2,2,1,5.403573959483765e-05,0.00040335842641070485
168h_6h,2060,F01,NO2,2,2,0.00012832759239245206,0.00019807582430075854
168h_6h,2060,F01,NO2,2,3,0.0019629541784524918,0.00403244886547327
168h_6h,2060,F01,NO2,2,4,0.006988971959799528,0.01626950316131115
168h_6h,2060,F01,NO2,2,5,0.006321147084236145,0.029863737523555756
168h_6h,2060,F01,NO2,2,6,0.0006328652380034328,0.000998899806290865
168h_6h,2060,F01,NO2,3,1,0.0004956508055329323,0.004704347811639309
168h_6h,2060,F01,NO2,3,2,6.026182018104009e-05,9.052271343534812e-05
168h_6h,2060,F01,NO2,3,3,0.0002594131219666451,0.0006290479796007276
168h_6h,2060,F01,NO2,3,4,0.0015793979400768876,0.00403931038454175
168h_6h,2060,F01,NO2,3,5,0.001181232393719256,0.005830464884638786
168h_6h,2060,F01,NO2,3,6,0.00015572787378914654,0.0002515851811040193
168h_6h,2060,F01,NO2,6,1,0.0036047224421054125,0.03151746466755867
168h_6h,2060,F01,NO2,6,2,0.0004592374025378376,0.0006198981427587569
168h_6h,2060,F01,NO2,6,3,6.494323315564543e-05,0.0002423574769636616
168h_6h,2060,F01,NO2,6,4,0.002373930998146534,0.007188316434621811
168h_6h,2060,F01,NO2,6,5,0.001186857931315899,0.006645800545811653
168h_6h,2060,F01,NO2,6,6,0.000996845425106585,0.001515106181614101
168h_6h,2060,F01,NO2,12,1,0.0064243595115840435,0.03789658099412918
168h_6h,2060,F01,NO2,12,2,9.053820576809812e-06,1.466809135308722e-05
168h_6h,2060,F01,NO2,12,3,0.0007917360635474324,0.0035477427300065756
168h_6h,2060,F01,NO2,12,4,0.0021102160681039095,0.009451651014387608
168h_6h,2060,F01,NO2,12,5,0.00256427307613194,0.018529996275901794
168h_6h,2060,F01,NO2,12,6,3.903797914972529e-05,6.056590427760966e-05
168h_6h,2060,F01,CO,0,1,0.00011071944027207792,0.0008981105638667941
168h_6h,2060,F01,CO,0,2,0.0004020000051241368,0.0005440755630843341
168h_6h,2060,F01,CO,0,3,0.05045595020055771,0.10457414388656616
168h_6h,2060,F01,CO,0,4,0.11887150257825851,0.18702825903892517
168h_6h,2060,F01,CO,0,5,0.14892928302288055,0.26151829957962036
168h_6h,2060,F01,CO,0,6,0.0004690262139774859,0.0007483214722014964
168h_6h,2060,F01,CO,1,1,3.2451127481181175e-05,0.00034054165007546544
168h_6h,2060,F01,CO,1,2,0.0010045523522421718,0.0014045106945559382
168h_6h,2060,F01,CO,1,3,0.0003470101801212877,0.0031086443923413754
168h_6h,2060,F01,CO,1,4,0.008627055212855339,0.035892847925424576
168h_6h,2060,F01,CO,1,5,0.0012513009132817388,0.01806134730577469
168h_6h,2060,F01,CO,1,6,0.007376199122518301,0.010733168572187424
168h_6h,2060,F01,CO,2,1,2.9410633928250718e-08,7.86870941738016e-07
168h_6h,2060,F01,CO,2,2,0.0050973049364984035,0.008059484884142876
168h_6h,2060,F01,CO,2,3,0.10750050097703934,0.18153086304664612
168h_6h,2060,F01,CO,2,4,0.032203271985054016,0.11047198623418808
168h_6h,2060,F01,CO,2,5,0.05509233847260475,0.1428707391023636
168h_6h,2060,F01,CO,2,6,0.09245112538337708,0.19949957728385925
168h_6h,2060,F01,CO,3,1,6.682891751097486e-08,1.5272519249265315e-06
168h_6h,2060,F01,CO,3,2,0.0023448425345122814,0.003843854647129774
168h_6h,2060,F01,CO,3,3,0.013253774493932724,0.05151080712676048
168h_6h,2060,F01,CO,3,4,0.005831080488860607,0.04182904586195946
168h_6h,2060,F01,CO,3,5,0.016730833798646927,0.0789380595088005
168h_6h,2060,F01,CO,3,6,0.007546350359916687,0.012022153474390507
168h_6h,2060,F01,CO,6,1,1.7996379142459773e-07,3.061804136450519e-06
168h_6h,2060,F01,CO,6,2,0.007566133979707956,0.009667165577411652
168h_6h,2060,F01,CO,6,3,0.015158948488533497,0.08420564979314804
168h_6h,2060,F01,CO,6,4,0.016336455941200256,0.09451676905155182
168h_6h,2060,F01,CO,6,5,0.024730417877435684,0.11878696084022522
168h_6h,2060,F01,CO,6,6,0.04786060377955437,0.07620669156312943
168h_6h,2060,F01,CO,12,1,4.332436631671044e-08,4.7006224690449017e-07
168h_6h,2060,F01,CO,12,2,0.00019837530271615833,0.0003152228891849518
168h_6h,2060,F01,CO,12,3,0.07347540557384491,0.20015765726566315
168h_6h,2060,F01,CO,12,4,0.01444570254534483,0.09796427935361862
168h_6h,2060,F01,CO,12,5,0.019135231152176857,0.10043691843748093
168h_6h,2060,F01,CO,12,6,0.001587357372045517,0.002889149822294712
168h_6h,2060,F01,O3,0,1,0.0012417258694767952,0.005185178946703672
168h_6h,2060,F01,O3,0,2,0.00013820803724229336,0.0006724471459165215
168h_6h,2060,F01,O3,0,3,0.0016046931268647313,0.0032179742120206356
168h_6h,2060,F01,O3,0,4,0.09672646224498749,0.13290221989154816
168h_6h,2060,F01,O3,0,5,0.011904612183570862,0.043334025889635086
168h_6h,2060,F01,O3,0,6,5.125980533193797e-05,0.00012576239532791078
168h_6h,2060,F01,O3,1,1,0.003721617627888918,0.011219825595617294
168h_6h,2060,F01,O3,1,2,0.003075880231335759,0.01810058392584324
168h_6h,2060,F01,O3,1,3,1.3633876733365469e-05,3.3316286135232076e-05
168h_6h,2060,F01,O3,1,4,0.006660108454525471,0.011880436912178993
168h_6h,2060,F01,O3,1,5,6.288004806265235e-05,0.00028075475711375475
168h_6h,2060,F01,O3,1,6,0.05437486991286278,0.16542108356952667
168h_6h,2060,F01,O3,2,1,3.259419045775758e-08,1.352465943682546e-07
168h_6h,2060,F01,O3,2,2,0.00017706627841107547,0.0002263116475660354
168h_6h,2060,F01,O3,2,3,0.001321326126344502,0.004118047188967466
168h_6h,2060,F01,O3,2,4,0.004923306405544281,0.014657920226454735
168h_6h,2060,F01,O3,2,5,0.0017219161381945014,0.013663512654602528
168h_6h,2060,F01,O3,2,6,0.0009924708865582943,0.0019220801768824458
168h_6h,2060,F01,O3,3,1,1.6439061312212289e-07,6.149299451863044e-07
168h_6h,2060,F01,O3,3,2,9.7497264505364e-05,0.0001223214203491807
168h_6h,2060,F01,O3,3,3,0.0002487250021658838,0.0011517745442688465
168h_6h,2060,F01,O3,3,4,0.0007421406335197389,0.0027248472906649113
168h_6h,2060,F01,O3,3,5,0.00015117411385290325,0.0012158940080553293
168h_6h,2060,F01,O3,3,6,0.00037312007043510675,0.0008736381423659623
168h_6h,2060,F01,O3,6,1,1.7132902030425612e-07,6.75830790441978e-07
168h_6h,2060,F01,O3,6,2,0.002717080060392618,0.004872267134487629
168h_6h,2060,F01,O3,6,3,8.097787940641865e-05,0.0004672385985031724
168h_6h,2060,F01,O3,6,4,0.0009036867413669825,0.002009567804634571
168h_6h,2060,F01,O3,6,5,0.00014376407489180565,0.0017861811211332679
168h_6h,2060,F01,O3,6,6,0.0052564856596291065,0.01317642629146576
168h_6h,2060,F01,O3,12,1,3.378271173914982e-07,1.1981896932411473e-06
168h_6h,2060,F01,O3,12,2,1.8898444977821782e-05,2.1682848455384374e-05
168h_6h,2060,F01,O3,12,3,0.0006268317229114473,0.0030268197879195213
168h_6h,2060,F01,O3,12,4,0.0004183564451523125,0.0007794146076776087
168h_6h,2060,F01,O3,12,5,5.123949813423678e-05,0.0005157397245056927
168h_6h,2060,F01,O3,12,6,0.00018235134484712034,0.00048129830975085497
168h_6h,2060,F01,SO2,0,1,0.002107106614857912,0.0173654705286026
168h_6h,2060,F01,SO2,0,2,0.00029488737345673144,0.00059233617503196
168h_6h,2060,F01,SO2,0,3,0.34256163239479065,0.36505499482154846
168h_6h,2060,F01,SO2,0,4,0.19711433351039886,0.24102069437503815
168h_6h,2060,F01,SO2,0,5,0.05716251581907272,0.15349549055099487
168h_6h,2060,F01,SO2,0,6,4.180362793704262e-06,1.169804727396695e-05
168h_6h,2060,F01,SO2,1,1,0.00025662180269137025,0.0023547515738755465
168h_6h,2060,F01,SO2,1,2,0.0004985553678125143,0.0006657787598669529
168h_6h,2060,F01,SO2,1,3,0.0005566069739870727,0.0011001183884218335
168h_6h,2060,F01,SO2,1,4,0.006279895547777414,0.020190773531794548
168h_6h,2060,F01,SO2,1,5,9.952045365935192e-05,0.000710003194399178
168h_6h,2060,F01,SO2,1,6,0.0005368830752559006,0.0025823756586760283
168h_6h,2060,F01,SO2,2,1,1.500230979445405e-07,1.72542047494062e-06
168h_6h,2060,F01,SO2,2,2,0.004029557108879089,0.009449225850403309
168h_6h,2060,F01,SO2,2,3,0.11105166375637054,0.15411140024662018
168h_6h,2060,F01,SO2,2,4,0.03855089843273163,0.10378401726484299
168h_6h,2060,F01,SO2,2,5,0.007354775909334421,0.03606492280960083
168h_6h,2060,F01,SO2,2,6,0.0001751594099914655,0.0003393445222172886
168h_6h,2060,F01,SO2,3,1,4.1880267076521704e-07,6.358039172482677e-06
168h_6h,2060,F01,SO2,3,2,0.0019576912745833397,0.004852279555052519
168h_6h,2060,F01,SO2,3,3,0.028231395408511162,0.07003846019506454
168h_6h,2060,F01,SO2,3,4,0.007132365833967924,0.05506565794348717
168h_6h,2060,F01,SO2,3,5,0.001644706353545189,0.010510041378438473
168h_6h,2060,F01,SO2,3,6,4.475804234971292e-05,0.00011121711577288806
168h_6h,2060,F01,SO2,6,1,6.157935672490567e-07,7.248209385579685e-06
168h_6h,2060,F01,SO2,6,2,0.004549705423414707,0.006293899845331907
168h_6h,2060,F01,SO2,6,3,0.009624968282878399,0.05742558091878891
168h_6h,2060,F01,SO2,6,4,0.016361460089683533,0.0980747640132904
168h_6h,2060,F01,SO2,6,5,0.0019180991221219301,0.016402866691350937
168h_6h,2060,F01,SO2,6,6,0.0003980064357165247,0.0012020706199109554
168h_6h,2060,F01,SO2,12,1,2.526830655824597e-07,2.0904305984004168e-06
168h_6h,2060,F01,SO2,12,2,0.00012581680493894964,0.00022039572650101036
168h_6h,2060,F01,SO2,12,3,0.049854956567287445,0.12253811955451965
168h_6h,2060,F01,SO2,12,4,0.011129876598715782,0.06976233422756195
168h_6h,2060,F01,SO2,12,5,0.00095057871658355,0.0075427512638270855
168h_6h,2060,F01,SO2,12,6,1.0968232345476281e-05,2.1579631720669568e-05
168h_6h,2060,F01,temperature,0,1,9.941643064337313e-09,6.604785340869057e-08
168h_6h,2060,F01,temperature,0,2,0.0064857169054448605,0.006050055846571922
168h_6h,2060,F01,temperature,0,3,0.0008027270087040961,0.0013126075500622392
168h_6h,2060,F01,temperature,0,4,0.012782246805727482,0.028452754020690918
168h_6h,2060,F01,temperature,0,5,0.0006121171172708273,0.002306381007656455
168h_6h,2060,F01,temperature,0,6,0.00011074130452470854,0.0001636567758396268
168h_6h,2060,F01,temperature,1,1,1.0755273116558328e-08,5.4778158897761386e-08
168h_6h,2060,F01,temperature,1,2,0.03742578998208046,0.07327015697956085
168h_6h,2060,F01,temperature,1,3,6.503776603494771e-06,1.4100179214437958e-05
