task,seed,variant,backward_stage,output_layer_gradient_norm_sum,upstream_gradient_norm_sum,beta_gradient_norm_sum,output_layer_nonzero,upstream_nonzero,beta_nonzero
168h_6h,2060,F01,first_backward_before_update,0.0015102583129191771,0.0,0.0,True,False,False
168h_6h,2060,F01,after_first_update_probe_no_optimizer_step,0.0015109694488728564,1.7573938290382785e-05,2.671650690899696e-06,True,True,True
168h_6h,2060,F11,first_backward_before_update,0.000805451152700698,0.0,0.0,True,False,False
168h_6h,2060,F11,after_first_update_probe_no_optimizer_step,0.0008052798023641117,1.0319224964305818e-05,1.5528551102761412e-06,True,True,True
168h_6h,2060,B1,first_backward_before_update,0.0007933395318104886,0.0,0.0,True,False,False
168h_6h,2060,B1,after_first_update_probe_no_optimizer_step,0.0007933673907416505,1.0008642668424272e-05,1.5627724678779487e-06,True,True,True
168h_6h,2060,B2,first_backward_before_update,0.0007826487999409437,0.0,0.0,True,False,False
168h_6h,2060,B2,after_first_update_probe_no_optimizer_step,0.0007826137542963352,9.384659382050131e-06,1.4675632655780646e-06,True,True,True
168h_6h,2060,B_flat,first_backward_before_update,0.000429212799645029,0.0,0.0,True,False,False
168h_6h,2060,B_flat,after_first_update_probe_no_optimizer_step,0.00042863923590630293,1.506420073837944e-05,3.1104693789529847e-06,True,True,True
168h_6h,2060,B3,first_backward_before_update,0.0006950680581212509,0.0,0.0,True,False,False
168h_6h,2060,B3,after_first_update_probe_no_optimizer_step,0.0006946646180949756,3.5660652244473567e-06,1.2452136388674262e-06,True,True,True
168h_6h,2061,F01,first_backward_before_update,0.0019377818862267304,0.0,0.0,True,False,False
168h_6h,2061,F01,after_first_update_probe_no_optimizer_step,0.001937027327812757,2.706992277623499e-05,3.3477103897894267e-06,True,True,True
168h_6h,2061,F11,first_backward_before_update,0.0007259365993377287,0.0,0.0,True,False,False
168h_6h,2061,F11,after_first_update_probe_no_optimizer_step,0.000724630952760208,1.6281156764108573e-05,1.58886507506395e-06,True,True,True
168h_6h,2061,B1,first_backward_before_update,0.0007704896161158103,0.0,0.0,True,False,False
168h_6h,2061,B1,after_first_update_probe_no_optimizer_step,0.0007690500924297794,1.879311940200523e-05,1.6417988035755116e-06,True,True,True
168h_6h,2061,B2,first_backward_before_update,0.0007249986119859386,0.0,0.0,True,False,False
168h_6h,2061,B2,after_first_update_probe_no_optimizer_step,0.0007239973820887258,1.6395788108525267e-05,1.597258119545586e-06,True,True,True
168h_6h,2061,B_flat,first_backward_before_update,0.0003603344230214134,0.0,0.0,True,False,False
168h_6h,2061,B_flat,after_first_update_probe_no_optimizer_step,0.0003597899049054831,1.696685751539917e-05,2.9839050057489658e-06,True,True,True
168h_6h,2061,B3,first_backward_before_update,0.0006033353620296111,0.0,0.0,True,False,False
168h_6h,2061,B3,after_first_update_probe_no_optimizer_step,0.0006019021324163987,4.910698365279131e-06,1.1678572491291561e-06,True,True,True
168h_6h,2062,F01,first_backward_before_update,0.0009634178222768242,0.0,0.0,True,False,False
168h_6h,2062,F01,after_first_update_probe_no_optimizer_step,0.0009618239120783301,1.0436084728837614e-05,1.592016928952944e-06,True,True,True
168h_6h,2062,F11,first_backward_before_update,0.0010217163762717973,0.0,0.0,True,False,False
168h_6h,2062,F11,after_first_update_probe_no_optimizer_step,0.0010195229942411288,1.5056101133836819e-05,1.7651481130087632e-06,True,True,True
168h_6h,2062,B1,first_backward_before_update,0.000940130064918776,0.0,0.0,True,False,False
168h_6h,2062,B1,after_first_update_probe_no_optimizer_step,0.000937819239794635,1.1844736724775373e-05,1.5839234492887044e-06,True,True,True
168h_6h,2062,B2,first_backward_before_update,0.001004397849101224,0.0,0.0,True,False,False
168h_6h,2062,B2,after_first_update_probe_no_optimizer_step,0.0010021595087010837,1.3727711878352977e-05,1.7137838312919484e-06,True,True,True
168h_6h,2062,B_flat,first_backward_before_update,0.0005051300540799275,0.0,0.0,True,False,False
168h_6h,2062,B_flat,after_first_update_probe_no_optimizer_step,0.0005046432779636234,2.075710176541179e-05,3.3883118248922983e-06,True,True,True
168h_6h,2062,B3,first_backward_before_update,0.0007937189657241106,0.0,0.0,True,False,False
168h_6h,2062,B3,after_first_update_probe_no_optimizer_step,0.0007920660097795462,4.410752168837462e-06,1.2648843039642088e-06,True,True,True
