task,variant,seed,epoch,stage,patchtst_persistent_state_sha256,patchtst_complete_state_sha256,expected_persistent_state_sha256,expected_complete_state_sha256,persistent_tensor_count,complete_parameter_buffer_count,persistent_changed_tensor_count,complete_changed_tensor_count,persistent_changed_tensors_json,complete_changed_tensors_json,persistent_state_equal,all_parameters_and_buffers_equal,patchtst_eval,invariant_required,source_f00_checkpoint_patchtst_sha256,checkpoint_patchtst_sha256
168h_6h,F00,2060,,f00_before_training,53e5adb14f1640b2724a84a24964f7bc283c13ca894f69ddd1b123815b14cbc2,ebbe97f2afbfacf2bd523af90d390c4ebf1dd646928d4f20f7522463b18e3f69,,,76,76,0,0,[],[],True,True,False,False,,
168h_6h,F00,2060,1,epoch_after_validation,b20b736713442b9f692810d320866e6841f9e298f6bfa6155c1193189549a5d7,b4c1912e64d0943616138f16ec0ddc91644c457836ca8f05b62875a9be0f9445,,,76,76,0,0,[],[],True,True,True,False,,
168h_6h,F00,2060,1,best_checkpoint_saved,b20b736713442b9f692810d320866e6841f9e298f6bfa6155c1193189549a5d7,b4c1912e64d0943616138f16ec0ddc91644c457836ca8f05b62875a9be0f9445,,,76,76,0,0,[],[],True,True,True,False,,b20b736713442b9f692810d320866e6841f9e298f6bfa6155c1193189549a5d7
168h_6h,F00,2060,2,epoch_after_validation,bd78d69cd66a04805a75eedefce8962d9ffb0641c4b38e68303f87a9c9060b2a,f9609d82d916fefaa92c2adc4d4ce7e3e695183ef8d65cb6cabd15d4453085b6,,,76,76,0,0,[],[],True,True,True,False,,
168h_6h,F00,2060,2,best_checkpoint_saved,bd78d69cd66a04805a75eedefce8962d9ffb0641c4b38e68303f87a9c9060b2a,f9609d82d916fefaa92c2adc4d4ce7e3e695183ef8d65cb6cabd15d4453085b6,,,76,76,0,0,[],[],True,True,True,False,,bd78d69cd66a04805a75eedefce8962d9ffb0641c4b38e68303f87a9c9060b2a
168h_6h,F00,2060,3,epoch_after_validation,b2070ebbbd58366c3d1ccb9f67382a6a2dc78e943f08d405fa61b6a0e87067d3,2ed991420846f69c4c7a06824d7f808217ebd36abab1f3b67c937fa7f844fc78,,,76,76,0,0,[],[],True,True,True,False,,
168h_6h,F00,2060,3,best_checkpoint_saved,b2070ebbbd58366c3d1ccb9f67382a6a2dc78e943f08d405fa61b6a0e87067d3,2ed991420846f69c4c7a06824d7f808217ebd36abab1f3b67c937fa7f844fc78,,,76,76,0,0,[],[],True,True,True,False,,b2070ebbbd58366c3d1ccb9f67382a6a2dc78e943f08d405fa61b6a0e87067d3
168h_6h,F00,2060,4,epoch_after_validation,ee9c91fc5a3d7c7ede6502eaa196036c0ab9e084a0350f879ff39f700763d462,29829d731d4a38013195f9726158ed585d049edb10b2a59fe19914a3f36c9a49,,,76,76,0,0,[],[],True,True,True,False,,
168h_6h,F00,2060,4,best_checkpoint_saved,ee9c91fc5a3d7c7ede6502eaa196036c0ab9e084a0350f879ff39f700763d462,29829d731d4a38013195f9726158ed585d049edb10b2a59fe19914a3f36c9a49,,,76,76,0,0,[],[],True,True,True,False,,ee9c91fc5a3d7c7ede6502eaa196036c0ab9e084a0350f879ff39f700763d462
168h_6h,F00,2060,5,epoch_after_validation,aa5d49c889e9949c8808839d760915b590206c8658982a0d68b8ec4c250f5c09,efc7e253dc4fb116a85e6662afb4ddc71af5ec2438b8f6194bd24c93507e5ae3,,,76,76,0,0,[],[],True,True,True,False,,
168h_6h,F00,2060,6,epoch_after_validation,d7ac6441606bbdf325737909e7b5324f3099ec7d5869711a2086626a386cec4d,b0390c66b0444f6d55fd4e65604395a02f572e3944a2a650fc42478bbe26c320,,,76,76,0,0,[],[],True,True,True,False,,
168h_6h,F00,2060,7,epoch_after_validation,07892e895d6cbce643001cf68ae49906e6bac6ba9750a6effc831c79334ab57b,d77bb10d7c0a9db3e6c053eef384359afaa8cfff6c3d484c6bdf400548c5c144,,,76,76,0,0,[],[],True,True,True,False,,
168h_6h,F00,2060,8,epoch_after_validation,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,,,76,76,0,0,[],[],True,True,True,False,,
168h_6h,F00,2060,8,best_checkpoint_saved,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,,,76,76,0,0,[],[],True,True,True,False,,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d
168h_6h,F00,2060,9,epoch_after_validation,89ec75fc55ee3a2fdeb06f88703f57ad82b421626e154aae7b4b442f4ce8d7c9,80287aa4939979922fa449edabb845e9a426a0f35c345fb2673ec3449c89cf0a,,,76,76,0,0,[],[],True,True,True,False,,
