task,seed,variant,base_variant,best_epoch,best_validation_loss,training_seconds,trainable_parameter_count,checkpoint_sha256,base_state_before_sha256,base_state_after_sha256,base_state_unchanged,source_f00_checkpoint_patchtst_sha256,patchtst_initial_state_sha256,patchtst_checkpoint_state_sha256,patchtst_final_loaded_state_sha256,patchtst_initial_complete_state_sha256,patchtst_final_loaded_complete_state_sha256,patchtst_state_unchanged,patchtst_locked_eval,initial_adapter_state_sha256,base_checkpoint_sha256,base_eval_during_adapter,base_parameters_require_grad,base_gradients_none
168h_6h,2060,F00,F00,8,0.4779084026813507,25.959160751997842,31089,0d3a95017539916b8aaf6ea17fc0b259f4771af53ed0e10fdf485a14dfd2f661,ec68c5d3f9d69b0b6722e47403167698ce9cd1782ab5a4bbf0bce57738fa226f,5b674e2078fdf489b8319fece7e927f6298aab2b75f584d0ac2863da15fe8aa6,False,,53e5adb14f1640b2724a84a24964f7bc283c13ca894f69ddd1b123815b14cbc2,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,ebbe97f2afbfacf2bd523af90d390c4ebf1dd646928d4f20f7522463b18e3f69,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,False,False,,,,,
168h_6h,2060,F10,F10,28,0.4684996008872986,35.161751083003765,5418,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,f27802d10313b241985a282d8d40052ad19c0d0982fa2a465479a82e294fab37,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,False,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True,True,,,,,
168h_6h,2060,F01,F00,29,0.4718283414840698,4.371017922996543,6547,dd5811e2c0281e0de5dcca8d6640e2161e0a37c7c00a6bd814c530ea297a191e,5b674e2078fdf489b8319fece7e927f6298aab2b75f584d0ac2863da15fe8aa6,5b674e2078fdf489b8319fece7e927f6298aab2b75f584d0ac2863da15fe8aa6,True,,,,,,,,,4af71fe3aaa70eae263fa91c600f16087148a03669ea45669e85e4d84ac4b116,0d3a95017539916b8aaf6ea17fc0b259f4771af53ed0e10fdf485a14dfd2f661,True,False,True
168h_6h,2060,F11,F10,30,0.46214526891708374,4.439180394998402,6547,665f4a275ef931926ae2095b644333394a53b84e818cc52e07a4cbe35358129a,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,True,,,,,,,,,4af71fe3aaa70eae263fa91c600f16087148a03669ea45669e85e4d84ac4b116,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,True,False,True
168h_6h,2060,B1,F10,29,0.46280643343925476,4.353747191002185,6547,2367a5a5cfe57c20bde71522d70a1d1595774c346c5fcfab5438f5256d4f0fa3,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,True,,,,,,,,,4af71fe3aaa70eae263fa91c600f16087148a03669ea45669e85e4d84ac4b116,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,True,False,True
168h_6h,2060,B2,F10,30,0.46333423256874084,4.226624809001805,6547,ba414621586ac81827f6b070a9c00e828ddba8d3b622eed0810ad17649cc9fcb,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,True,,,,,,,,,4af71fe3aaa70eae263fa91c600f16087148a03669ea45669e85e4d84ac4b116,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,True,False,True
168h_6h,2060,B_flat,F10,30,0.46118471026420593,3.304172844000277,6540,9f57e9545277d0c3165c1df555793c1fcaa760b8c02cf87d4f643cec082f45ca,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,True,,,,,,,,,1b21b4ad8c39bd4ccf9f3ff17d7867d32b296a83e9dd8cbdd13ae305967be80c,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,True,False,True
168h_6h,2060,B3,F10,29,0.4649730622768402,4.125724730998627,6547,f9249371cea2feafaf27cbbdadf085c2f9909b163a1128f6fe10b1f1c1a76f5b,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,ed5388385c976c5ceb579f42a157d0e432857570a9dfefb22efde49f12f3c5e7,True,,,,,,,,,4af71fe3aaa70eae263fa91c600f16087148a03669ea45669e85e4d84ac4b116,219a0a9a7da37b3987969c425a46791b0145c5c665088216cd0ecc1b1ca87679,True,False,True
168h_6h,2061,F00,F00,16,0.46766000986099243,39.24419524700352,31089,f97b93941b33269ef28f6aa7df9643c47c2f229c4b1589a6929b71b77856091a,b0e69ee7f89323d5c2c585bfabe998323660078b3bd88dc09e8d4e0d6a4e8371,b8d7a33a5a926e9759c48d97757fb8c1a47273c6c80a186c960aae39a14eca5b,False,,d9bfc4a94e1d003cd992436b21d0d09fe6b07002012adcdf9aff06452fd2637a,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,4e2160a50817538bc0022b46eb84352d247c3500b516ff54cea46321443e7cb9,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,False,False,,,,,
168h_6h,2061,F10,F10,14,0.45822954177856445,23.171091272997728,5418,17cbd59b645f989d4e660b947dfbf6b9820a7701bed278712bf602517e215b43,c003379b5eaefb6faff6dfbe4d610eb614b4d5bcf61c2faf4dfef808eed49681,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,False,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True,True,,,,,
168h_6h,2061,F01,F00,30,0.461582750082016,4.4383355009995284,6547,e9a66e082786c5d4c2028078bc7417aaa38de1572a25d164d4a32e968489a9dc,b8d7a33a5a926e9759c48d97757fb8c1a47273c6c80a186c960aae39a14eca5b,b8d7a33a5a926e9759c48d97757fb8c1a47273c6c80a186c960aae39a14eca5b,True,,,,,,,,,ad413ab28afd324d6071799424fbd8e850e2b831dfd3699b635a6dc71ade8bae,f97b93941b33269ef28f6aa7df9643c47c2f229c4b1589a6929b71b77856091a,True,False,True
168h_6h,2061,F11,F10,30,0.454023540019989,4.454383891999896,6547,cfcaacb2545d886b7b6298ae9a36cd65313ab61a3f546b58183d98e773f4fad4,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,True,,,,,,,,,ad413ab28afd324d6071799424fbd8e850e2b831dfd3699b635a6dc71ade8bae,17cbd59b645f989d4e660b947dfbf6b9820a7701bed278712bf602517e215b43,True,False,True
168h_6h,2061,B1,F10,19,0.4548419117927551,3.630602875004115,6547,27172f9270f8f3cb972e565fb8f477ea7803a6c738e0ddda7c8ec0b3a9b0a9ef,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,True,,,,,,,,,ad413ab28afd324d6071799424fbd8e850e2b831dfd3699b635a6dc71ade8bae,17cbd59b645f989d4e660b947dfbf6b9820a7701bed278712bf602517e215b43,True,False,True
168h_6h,2061,B2,F10,30,0.4532223641872406,4.4470837129993015,6547,223f1f872f590a287a2744a58096a5066da0d9799ade197b8598fcb0614a1587,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,True,,,,,,,,,ad413ab28afd324d6071799424fbd8e850e2b831dfd3699b635a6dc71ade8bae,17cbd59b645f989d4e660b947dfbf6b9820a7701bed278712bf602517e215b43,True,False,True
168h_6h,2061,B_flat,F10,10,0.4535830020904541,1.6454825050022919,6540,df260948a9db94580191e82196a74648834c2f9cb015ebf7bf3537fdf99690d8,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,62c2d3e8436edf51b2d0f8428d74a96d967966b3db5546b89e92f9da12865393,True,,,,,,,,,5b25ad80dfdbe99bde73dfa1bc6e31ceb06dd59d5e542bb70d361e3eb4eac4ca,17cbd59b645f989d4e660b947dfbf6b9820a7701bed278712bf602517e215b43,True,False,True
