task,variant,seed,epoch,train_loss,validation_loss,learning_rate
168h_6h,B1,2060,1,0.22325741146200553,0.46845078468322754,0.001
168h_6h,B1,2060,2,0.22323589245731706,0.4683575928211212,0.001
168h_6h,B1,2060,3,0.22319503461860493,0.4681859016418457,0.001
168h_6h,B1,2060,4,0.22312871742956708,0.46794936060905457,0.001
168h_6h,B1,2060,5,0.22303965629237393,0.4676075875759125,0.001
168h_6h,B1,2060,6,0.22293482654085495,0.4672136902809143,0.001
168h_6h,B1,2060,7,0.22282123906007448,0.46682074666023254,0.001
168h_6h,B1,2060,8,0.2227141681929166,0.46642351150512695,0.001
168h_6h,B1,2060,9,0.22258858612758398,0.46598780155181885,0.001
168h_6h,B1,2060,10,0.22244106285882928,0.4656510055065155,0.001
168h_6h,B1,2060,11,0.22227404319233773,0.4653402864933014,0.001
168h_6h,B1,2060,12,0.22205424931929962,0.465250700712204,0.001
168h_6h,B1,2060,13,0.2218476098407773,0.46482327580451965,0.001
168h_6h,B1,2060,14,0.2216176808325511,0.46478602290153503,0.001
168h_6h,B1,2060,15,0.22144557062282041,0.4644879698753357,0.001
168h_6h,B1,2060,16,0.2212896358248651,0.46438780426979065,0.001
168h_6h,B1,2060,17,0.22115615185804666,0.46419084072113037,0.001
168h_6h,B1,2060,18,0.22106253170070883,0.46401146054267883,0.001
168h_6h,B1,2060,19,0.22096119714045329,0.46401649713516235,0.001
168h_6h,B1,2060,20,0.22088679993116608,0.46391698718070984,0.001
168h_6h,B1,2060,21,0.22079688247107562,0.4636861979961395,0.001
168h_6h,B1,2060,22,0.22073591608422216,0.4636194407939911,0.001
168h_6h,B1,2060,23,0.2206728610041798,0.4635535180568695,0.001
168h_6h,B1,2060,24,0.22057631522802162,0.46339094638824463,0.001
168h_6h,B1,2060,25,0.22052416065871905,0.46330779790878296,0.001
168h_6h,B1,2060,26,0.22046416429269833,0.4631253778934479,0.001
168h_6h,B1,2060,27,0.2203986985478591,0.46319615840911865,0.001
168h_6h,B1,2060,28,0.220349205204916,0.4630018174648285,0.001
168h_6h,B1,2060,29,0.2203001380341828,0.46280643343925476,0.001
168h_6h,B1,2060,30,0.22022602612999467,0.46281948685646057,0.001
