task,variant,seed,epoch,train_loss,validation_loss,learning_rate,patchtst_eval_during_locked_training,patchtst_persistent_state_sha256,patchtst_complete_state_sha256,patchtst_all_parameters_buffers_equal_to_initialization
168h_6h,F10,2060,1,0.23274440310469088,0.4768550395965576,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,2,0.23191814707727476,0.47606754302978516,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,3,0.23163129527319956,0.4753900170326233,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,4,0.23157938117548052,0.47519543766975403,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,5,0.2312141496136117,0.47481632232666016,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,6,0.23097536388430184,0.47420161962509155,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,7,0.23064264227258097,0.47379857301712036,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,8,0.2302788568960378,0.4733904004096985,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,9,0.22966528040117656,0.4730117619037628,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,10,0.22896754891955626,0.47251105308532715,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,11,0.22857709947418978,0.471870481967926,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,12,0.2282466460397568,0.4712872803211212,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,13,0.22764925732220914,0.4708472788333893,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,14,0.2271868933025353,0.4711589813232422,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,15,0.22708028326360227,0.47011950612068176,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,16,0.2267493830293912,0.47012725472450256,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,17,0.2262062697697454,0.46951475739479065,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,18,0.2262333754145633,0.4697026312351227,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,19,0.22581782037078743,0.469719260931015,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,20,0.22571907130828497,0.46944618225097656,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,21,0.22560750956272474,0.46934881806373596,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,22,0.22532554127852336,0.4698823094367981,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,23,0.22517151684994305,0.4700731635093689,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,24,0.2246899733954097,0.46990305185317993,0.001,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
168h_6h,F10,2060,25,0.2241953714149153,0.4695482850074768,0.0005,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,True
