task,variant,seed,epoch,train_loss,validation_loss,learning_rate
168h_6h,F11,2061,1,0.21491417183004224,0.45819225907325745,0.001
168h_6h,F11,2061,2,0.21488580932891654,0.45810961723327637,0.001
168h_6h,F11,2061,3,0.21482488067383373,0.45792466402053833,0.001
168h_6h,F11,2061,4,0.21470752010851182,0.45760491490364075,0.001
168h_6h,F11,2061,5,0.21449739464848888,0.45714494585990906,0.001
168h_6h,F11,2061,6,0.2142394790840061,0.45661211013793945,0.001
168h_6h,F11,2061,7,0.21398218822051143,0.45606693625450134,0.001
168h_6h,F11,2061,8,0.2137756036079696,0.455657958984375,0.001
168h_6h,F11,2061,9,0.21365496707774784,0.45541468262672424,0.001
168h_6h,F11,2061,10,0.2135633170519685,0.4553946852684021,0.001
168h_6h,F11,2061,11,0.21349421472862715,0.45507943630218506,0.001
168h_6h,F11,2061,12,0.2134412757966078,0.45502859354019165,0.001
168h_6h,F11,2061,13,0.21338487998273753,0.4549567997455597,0.001
168h_6h,F11,2061,14,0.2133436668717355,0.45482584834098816,0.001
168h_6h,F11,2061,15,0.2133036615574874,0.454812228679657,0.001
168h_6h,F11,2061,16,0.21326023697563018,0.4547077417373657,0.001
168h_6h,F11,2061,17,0.21322039400877058,0.45470234751701355,0.001
168h_6h,F11,2061,18,0.21320362548376814,0.4546510875225067,0.001
168h_6h,F11,2061,19,0.21317523892423135,0.4545464813709259,0.001
168h_6h,F11,2061,20,0.21312632760679107,0.4545324146747589,0.001
168h_6h,F11,2061,21,0.21310374415807024,0.4544365704059601,0.001
168h_6h,F11,2061,22,0.2130689399067158,0.45441436767578125,0.001
168h_6h,F11,2061,23,0.21307032042090615,0.4542886018753052,0.001
168h_6h,F11,2061,24,0.21299417550220928,0.4543475806713104,0.001
168h_6h,F11,2061,25,0.21298280938457054,0.45420345664024353,0.001
168h_6h,F11,2061,26,0.21293191620769028,0.45414865016937256,0.001
168h_6h,F11,2061,27,0.21290882395645738,0.45419368147850037,0.001
168h_6h,F11,2061,28,0.21285926581509343,0.4541108012199402,0.001
168h_6h,F11,2061,29,0.21283546835309128,0.4540621340274811,0.001
168h_6h,F11,2061,30,0.21279704027886878,0.454023540019989,0.001
