object_id,object_type,task,fold,model,horizon_step,fit_start,fit_end,row_count,config_hash,state_hash,details
cleaning:train:NO2,deterministic_processing_no_fit,168h_6h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,f981b5bc85bfcc82d59553b6cb3a40ee2be9ba31c2a1aa977bd8acaa40703581,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d"", ""variable"": ""NO2""}"
cleaning:train:CO,deterministic_processing_no_fit,168h_6h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,70a8183b3e091e981409f3143cd1582c05aeec3f508d73f351b00346c0d3ef8f,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d"", ""variable"": ""CO""}"
cleaning:train:O3,deterministic_processing_no_fit,168h_6h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,b2a82d72e11b97a8e52f85c9dff045f479a3069b6b3bb74e3873156ae8f9da78,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d"", ""variable"": ""O3""}"
cleaning:train:SO2,deterministic_processing_no_fit,168h_6h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,b041f4b975b7de3782b2132da6ad57cea02214f27403b838cf18d62049534170,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d"", ""variable"": ""SO2""}"
cleaning:train:temperature,deterministic_processing_no_fit,168h_6h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,25acfd712c9dbd25f74c54cfe171c9393d521fa2d5360e9a61e359e1fa9aff5f,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d"", ""variable"": ""temperature""}"
cleaning:train:pressure_hPa_fixed,deterministic_processing_no_fit,168h_6h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,b2fbb18264a8c5aa6fc19ef56460d3ba19c851d330c8e839796b89fbf345ecea,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d"", ""variable"": ""pressure_hPa_fixed""}"
cleaning:train:humidity_clean,deterministic_processing_no_fit,168h_6h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,b56b26d5fe3394e1804921eb8b7f1fa808e1149b51562d80afda620436080232,e88460efe2b9f7f9645e6d1aacc6e4fdb45eb36817e61327d620f76d168b7717,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d"", ""variable"": ""humidity_clean""}"
cleaning:validation:NO2,deterministic_processing_no_fit,168h_6h,,,,2015-01-11T12:00:00,2015-02-16T23:00:00,876,d595721c998bcf23a1342ba76077175ed560cff43f2df32fd7018aa8703261f9,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""validation"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d"", ""variable"": ""NO2""}"
cleaning:validation:CO,deterministic_processing_no_fit,168h_6h,,,,2015-01-11T12:00:00,2015-02-16T23:00:00,876,e7305ad8ba8ec8008c653b102e3d5f8734fa96039a5a52f13c0c8b33f97bee5d,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""validation"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d"", ""variable"": ""CO""}"
cleaning:validation:O3,deterministic_processing_no_fit,168h_6h,,,,2015-01-11T12:00:00,2015-02-16T23:00:00,876,ee251862b80c6aca0af8d0f60a6c53592fc56cb6d6fead114768d1e6a8de4571,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""validation"", ""task_config_hash"": ""188b078b6547231fa6b6dcfa707d403fc2a44b44d0581084171dafdffca1685d"", ""variable"": ""O3""}"
