task,seed,variant,variable,lag,horizon_step,mean_weight,std_weight
168h_6h,2060,F01,NO2,0,1,0.3106887936592102,0.055553652346134186
168h_6h,2060,F01,NO2,0,2,0.004712806548923254,0.001430570613592863
168h_6h,2060,F01,NO2,0,3,0.016194740310311317,0.003223181003704667
168h_6h,2060,F01,NO2,0,4,0.032823290675878525,0.0033071439247578382
168h_6h,2060,F01,NO2,0,5,0.13755585253238678,0.030594395473599434
168h_6h,2060,F01,NO2,0,6,0.011946097947657108,0.003416944993659854
168h_6h,2060,F01,NO2,1,1,0.21744592487812042,0.14725810289382935
168h_6h,2060,F01,NO2,1,2,0.02535480260848999,0.007994703017175198
168h_6h,2060,F01,NO2,1,3,0.0025288041215389967,0.0007049632258713245
168h_6h,2060,F01,NO2,1,4,0.04645693674683571,0.008976692333817482
168h_6h,2060,F01,NO2,1,5,0.04113354906439781,0.004979408346116543
168h_6h,2060,F01,NO2,1,6,0.04914197698235512,0.016300175338983536
168h_6h,2060,F01,NO2,2,1,0.01107314508408308,0.0038064527325332165
168h_6h,2060,F01,NO2,2,2,0.0029382731299847364,0.0006320386892184615
168h_6h,2060,F01,NO2,2,3,0.012124980799853802,0.0008504207362420857
168h_6h,2060,F01,NO2,2,4,0.018426790833473206,0.0023694161791354418
168h_6h,2060,F01,NO2,2,5,0.03083176352083683,0.006402296479791403
168h_6h,2060,F01,NO2,2,6,0.059908151626586914,0.023860007524490356
168h_6h,2060,F01,NO2,3,1,0.014760516583919525,0.004123849328607321
168h_6h,2060,F01,NO2,3,2,0.0030252328142523766,0.0008179308497346938
168h_6h,2060,F01,NO2,3,3,0.006555009167641401,0.000522831454873085
168h_6h,2060,F01,NO2,3,4,0.0123325539752841,0.0015162358758971095
168h_6h,2060,F01,NO2,3,5,0.025136632844805717,0.00260087288916111
168h_6h,2060,F01,NO2,3,6,0.03974204137921333,0.010592232458293438
168h_6h,2060,F01,NO2,6,1,0.09799149632453918,0.02507605403661728
168h_6h,2060,F01,NO2,6,2,0.011651165783405304,0.00353499804623425
168h_6h,2060,F01,NO2,6,3,0.006066691596060991,0.0008699173340573907
168h_6h,2060,F01,NO2,6,4,0.023329993709921837,0.005120574962347746
168h_6h,2060,F01,NO2,6,5,0.05684763193130493,0.0061355652287602425
168h_6h,2060,F01,NO2,6,6,0.022461460903286934,0.0033028102479875088
168h_6h,2060,F01,NO2,12,1,0.024236878380179405,0.0036990211810916662
168h_6h,2060,F01,NO2,12,2,0.002700912533327937,0.00037042348412796855
168h_6h,2060,F01,NO2,12,3,0.039114754647016525,0.01665763556957245
168h_6h,2060,F01,NO2,12,4,0.009569601155817509,0.002814243081957102
168h_6h,2060,F01,NO2,12,5,0.028658663854002953,0.004664816427975893
168h_6h,2060,F01,NO2,12,6,0.024195397272706032,0.002646152162924409
168h_6h,2060,F01,CO,0,1,0.008515934459865093,0.006202715914696455
168h_6h,2060,F01,CO,0,2,0.008433927781879902,0.0011361469514667988
168h_6h,2060,F01,CO,0,3,0.048279087990522385,0.005229540169239044
168h_6h,2060,F01,CO,0,4,0.018295107409358025,0.006337936967611313
168h_6h,2060,F01,CO,0,5,0.050982844084501266,0.009055043570697308
168h_6h,2060,F01,CO,0,6,0.008678932674229145,0.004572381731122732
168h_6h,2060,F01,CO,1,1,0.0034074976574629545,0.000951864814851433
168h_6h,2060,F01,CO,1,2,0.04533485695719719,0.005997136700898409
168h_6h,2060,F01,CO,1,3,0.007411303464323282,0.0009652750450186431
168h_6h,2060,F01,CO,1,4,0.024217963218688965,0.002351621864363551
168h_6h,2060,F01,CO,1,5,0.01594403199851513,0.004837296437472105
168h_6h,2060,F01,CO,1,6,0.030864154919981956,0.004920314531773329
168h_6h,2060,F01,CO,2,1,0.0003090732789132744,0.00020554880029521883
168h_6h,2060,F01,CO,2,2,0.006569592282176018,0.004103610757738352
168h_6h,2060,F01,CO,2,3,0.03757784143090248,0.00923938024789095
168h_6h,2060,F01,CO,2,4,0.009911910630762577,0.0019883315544575453
168h_6h,2060,F01,CO,2,5,0.013673239387571812,0.009299732744693756
168h_6h,2060,F01,CO,2,6,0.045099008828401566,0.028810977935791016
168h_6h,2060,F01,CO,3,1,0.00032010639552026987,0.00014629717043135315
168h_6h,2060,F01,CO,3,2,0.007006220519542694,0.005003729369491339
168h_6h,2060,F01,CO,3,3,0.020024703815579414,0.0038866864051669836
168h_6h,2060,F01,CO,3,4,0.00664104288443923,0.0013600575039163232
168h_6h,2060,F01,CO,3,5,0.00998662132769823,0.003759861458092928
