task,split,variable,rows,invalid_before_ffill,filled_by_causal_ffill,residual_missing,residual_missing_rate,max_ffill_hours
24h_1h,train,NO2,6132,0,0,0,0.0,6
24h_1h,train,CO,6132,0,0,0,0.0,6
24h_1h,train,O3,6132,0,0,0,0.0,6
24h_1h,train,SO2,6132,0,0,0,0.0,6
24h_1h,train,temperature,6132,0,0,0,0.0,6
24h_1h,train,pressure_hPa_fixed,6132,0,0,0,0.0,6
24h_1h,train,humidity_clean,6132,125,125,0,0.0,6
24h_1h,train,PM25_Concentration,6132,0,0,0,0.0,0
24h_1h,validation,NO2,876,0,0,0,0.0,6
24h_1h,validation,CO,876,0,0,0,0.0,6
24h_1h,validation,O3,876,0,0,0,0.0,6
24h_1h,validation,SO2,876,0,0,0,0.0,6
24h_1h,validation,temperature,876,0,0,0,0.0,6
24h_1h,validation,pressure_hPa_fixed,876,0,0,0,0.0,6
24h_1h,validation,humidity_clean,876,0,0,0,0.0,6
24h_1h,validation,PM25_Concentration,876,0,0,0,0.0,0
24h_1h,train,station_1002_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1003_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1004_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1006_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1007_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1009_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1010_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1011_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1012_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1013_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1014_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1015_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1016_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1018_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1020_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1021_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1022_PM25,6132,0,0,0,0.0,6
24h_1h,train,station_1023_PM25,6132,0,0,0,0.0,6
24h_1h,validation,station_1002_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1003_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1004_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1006_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1007_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1009_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1010_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1011_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1012_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1013_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1014_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1015_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1016_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1018_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1020_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1021_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1022_PM25,876,0,0,0,0.0,6
24h_1h,validation,station_1023_PM25,876,0,0,0,0.0,6
