task,seed,comparison,candidate,baseline,metric,baseline_error,candidate_error,absolute_improvement,relative_improvement_percent,improved
24h_1h,2060,adapter_gain_without_spatial,F01,F00,rmse_ugm3,24.13530731955638,23.78883257351598,0.34647474604039985,1.435551416242618,True
24h_1h,2060,adapter_gain_without_spatial,F01,F00,mae_ugm3,13.343014708392696,13.090268470380948,0.25274623801174734,1.8942213850125722,True
24h_1h,2060,adapter_gain_without_spatial,F01,F00,smape_percent,23.0088071012451,22.391332595836285,0.6174745054088149,2.6836441484852154,True
24h_1h,2060,spatial_gain_without_adapter,F10,F00,rmse_ugm3,24.13530731955638,23.0516516762849,1.0836556432714772,4.489918561730564,True
24h_1h,2060,spatial_gain_without_adapter,F10,F00,mae_ugm3,13.343014708392696,12.888631215378574,0.45438349301412195,3.40540352345049,True
24h_1h,2060,spatial_gain_without_adapter,F10,F00,smape_percent,23.0088071012451,21.5323432117667,1.4764638894783992,6.416951052618898,True
24h_1h,2060,M_vs_locked_ST,F11,F10,rmse_ugm3,23.0516516762849,22.942167575171293,0.10948410111360829,0.47495122107125815,True
24h_1h,2060,M_vs_locked_ST,F11,F10,mae_ugm3,12.888631215378574,12.803778578701628,0.08485263667694554,0.6583525842193413,True
24h_1h,2060,M_vs_locked_ST,F11,F10,smape_percent,21.5323432117667,21.489375647550442,0.04296756421625858,0.19954894733787382,True
24h_1h,2060,combined_vs_degraded,F11,F00,rmse_ugm3,24.13530731955638,22.942167575171293,1.1931397443850855,4.943544859767777,True
24h_1h,2060,combined_vs_degraded,F11,F00,mae_ugm3,13.343014708392696,12.803778578701628,0.5392361296910675,4.041336545570099,True
24h_1h,2060,combined_vs_degraded,F11,F00,smape_percent,23.0088071012451,21.489375647550442,1.5194314536946578,6.603695041680084,True
24h_1h,2060,M_vs_self_history,F11,B1,rmse_ugm3,22.965857161380555,22.942167575171293,0.023689586209261648,0.10315132608722359,True
24h_1h,2060,M_vs_self_history,F11,B1,mae_ugm3,12.81703417268518,12.803778578701628,0.01325559398355125,0.10342169494874798,True
24h_1h,2060,M_vs_self_history,F11,B1,smape_percent,21.454444448677226,21.489375647550442,-0.03493119887321683,-0.16281567652230916,False
24h_1h,2060,M_vs_recent_only,F11,B2,rmse_ugm3,22.788506415041194,22.942167575171293,-0.153661160130099,-0.6742923705990551,False
24h_1h,2060,M_vs_recent_only,F11,B2,mae_ugm3,12.804264046830129,12.803778578701628,0.000485468128500699,0.0037914567110234132,True
24h_1h,2060,M_vs_recent_only,F11,B2,smape_percent,21.53026201830623,21.489375647550442,0.04088637075578916,0.18990187263408723,True
24h_1h,2060,M_vs_flat,F11,B_flat,rmse_ugm3,22.688480550608894,22.942167575171293,-0.25368702456239944,-1.118131397104912,False
24h_1h,2060,M_vs_flat,F11,B_flat,mae_ugm3,12.77939290869726,12.803778578701628,-0.024385670004368976,-0.19082025397132005,False
24h_1h,2060,M_vs_flat,F11,B_flat,smape_percent,22.433846496716406,21.489375647550442,0.9444708491659632,4.21002635149618,True
24h_1h,2060,M_vs_uniform_gate,F11,B3,rmse_ugm3,23.055152902543206,22.942167575171293,0.1129853273719128,0.4900654003446207,True
24h_1h,2060,M_vs_uniform_gate,F11,B3,mae_ugm3,12.88931646738967,12.803778578701628,0.08553788868804091,0.6636340174007997,True
24h_1h,2060,M_vs_uniform_gate,F11,B3,smape_percent,21.496019442641014,21.489375647550442,0.006643795090571558,0.030907094721883528,True
24h_1h,2061,adapter_gain_without_spatial,F01,F00,rmse_ugm3,24.042996288005725,23.76835486166788,0.27464142633784405,1.1422928450679577,True
24h_1h,2061,adapter_gain_without_spatial,F01,F00,mae_ugm3,13.045512264722014,12.899906694072566,0.14560557064944746,1.116135324506938,True
24h_1h,2061,adapter_gain_without_spatial,F01,F00,smape_percent,21.56291034290856,21.357290227650445,0.20562011525811386,0.9535823874801603,True
24h_1h,2061,spatial_gain_without_adapter,F10,F00,rmse_ugm3,24.042996288005725,23.097931867595463,0.9450644204102616,3.9307264747269612,True
24h_1h,2061,spatial_gain_without_adapter,F10,F00,mae_ugm3,13.045512264722014,12.933830222038374,0.11168204268363979,0.8560954941236999,True
24h_1h,2061,spatial_gain_without_adapter,F10,F00,smape_percent,21.56291034290856,21.893901159196897,-0.33099081628833815,-1.5350006609714992,False
24h_1h,2061,M_vs_locked_ST,F11,F10,rmse_ugm3,23.097931867595463,22.742973598578573,0.3549582690168904,1.536753468023119,True
24h_1h,2061,M_vs_locked_ST,F11,F10,mae_ugm3,12.933830222038374,12.671154666709029,0.26267555532934495,2.0309185354989703,True
24h_1h,2061,M_vs_locked_ST,F11,F10,smape_percent,21.893901159196897,21.874482105364653,0.019419053832244515,0.08869617931972447,True
24h_1h,2061,combined_vs_degraded,F11,F00,rmse_ugm3,24.042996288005725,22.742973598578573,1.300022689427152,5.4070743673312105,True
24h_1h,2061,combined_vs_degraded,F11,F00,mae_ugm3,13.045512264722014,12.671154666709029,0.37435759801298474,2.8696274275509404,True
