task,seed,variant,cell_count,origin_count,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
24h_1h,2060,F00,876,876,0.10484232531475142,0.32379364619268153,0.179006768966234,24.13530731955638,13.343014708392696,23.0088071012451,0.2859987276329843
24h_1h,2060,F10,876,876,0.09563901473532983,0.309255581575062,0.1729108675443631,23.0516516762849,12.888631215378574,21.5323432117667,-1.0012193488203767
24h_1h,2060,F01,876,876,0.10185380122074997,0.31914542331161505,0.17561598262934602,23.78883257351598,13.090268470380948,22.391332595836285,0.09050907500802625
24h_1h,2060,F11,876,876,0.09473268722225255,0.3077867560865031,0.17177249779754647,22.942167575171293,12.803778578701628,21.489375647550442,-1.4535939421283608
24h_1h,2060,B1,876,876,0.09492842637404343,0.30810457051793866,0.17195033494619116,22.965857161380555,12.81703417268518,21.454444448677226,-1.225837711874209
24h_1h,2060,B2,876,876,0.09346794570401581,0.3057252781567396,0.17177901099187207,22.788506415041194,12.804264046830129,21.53026201830623,-1.1399703744339615
24h_1h,2060,B_flat,876,876,0.09264922647395374,0.3043833544626804,0.17144535136989586,22.688480550608894,12.77939290869726,22.433846496716406,-0.6469232350179601
24h_1h,2060,B3,876,876,0.09566806453574792,0.30930254531081364,0.17292005539386424,23.055152902543206,12.88931646738967,21.496019442641014,-1.0907370118790027
24h_1h,2061,F00,876,876,0.10404187973131518,0.3225552351633983,0.17501554943644548,24.042996288005725,13.045512264722014,21.56291034290856,-0.05353000936987245
24h_1h,2061,F10,876,876,0.09602342018397936,0.3098764595511885,0.17351724422636727,23.097931867595463,12.933830222038374,21.893901159196897,-0.5174768047245668
24h_1h,2061,F01,876,876,0.101678522484839,0.31887069869280715,0.17306213872985635,23.76835486166788,12.899906694072566,21.357290227650445,0.5330019519753653
24h_1h,2061,F11,876,876,0.09309480969818192,0.3051144206657265,0.16999324914716507,22.742973598578573,12.671154666709029,21.874482105364653,-0.012195160399833356
24h_1h,2061,B1,876,876,0.09494947993903059,0.3081387348890603,0.17191616185891898,22.968402887259487,12.81448656021188,21.686942489292917,-0.9249706442497639
24h_1h,2061,B2,876,876,0.09308990677358939,0.30510638599280315,0.16868883289437162,22.74237439811676,12.57392443042912,21.78163496442201,-0.4552788712662652
24h_1h,2061,B_flat,876,876,0.09233518338407437,0.30386704886195604,0.17041502607886394,22.649995153086792,12.702593289553848,23.32239517048647,-0.3535454676031525
24h_1h,2061,B3,876,876,0.09604175942191658,0.3099060493470829,0.1735044666076904,23.100137436420425,12.932877510105639,21.856312236773526,-0.6331735637089978
24h_1h,2062,F00,876,876,0.10130234387966329,0.31828029137799796,0.17368777485970477,23.72434618450961,12.946541633780145,22.271520590410752,-0.5612808297213894
24h_1h,2062,F10,876,876,0.09147790926664351,0.30245315218500124,0.17044527094957918,22.54460435781049,12.70484791934218,22.62558146731875,-1.3479314830205213
24h_1h,2062,F01,876,876,0.09985836333135148,0.31600373942621546,0.17247940437096387,23.554653964643695,12.856470208189803,21.59952284022029,-0.2646039022158271
24h_1h,2062,F11,876,876,0.09054426049852395,0.3009057335753574,0.16901501648810577,22.429261530782213,12.598238069717198,22.28956459278375,-1.3270516591529329
24h_1h,2062,B1,876,876,0.09103980933293457,0.3017280386920224,0.1694406020937734,22.49055588763957,12.629961140079585,22.51049890996691,-1.4453244361703255
24h_1h,2062,B2,876,876,0.08936548197182341,0.2989405994036665,0.16718609277297186,22.282781664807032,12.461911606462035,21.937357234775803,-1.1393821751146012
24h_1h,2062,B_flat,876,876,0.08940453827581382,0.2990059167906445,0.1682775238365122,22.287651111277082,12.543266013332698,22.624669898953833,-0.9848095575968429
24h_1h,2062,B3,876,876,0.09146905463193276,0.30243851380393466,0.17087327831833554,22.54351384634673,12.736751290761173,22.779678820557,-1.4554840549486419
168h_6h,2060,F00,5226,871,0.47790843077090767,0.691309215019522,0.46036277846206897,51.52961004306552,34.31505618440298,52.23687390710725,-2.5923338669996996
168h_6h,2060,F10,5226,871,0.46849960607047214,0.6844703105836455,0.45395522976848035,51.0198440154861,33.83744295137028,52.409617672939824,-3.097480316249703
168h_6h,2060,F01,5226,871,0.4718283343306047,0.6868976156099282,0.4552866152040033,51.200773159710515,33.93668321389784,52.02318794078366,-2.1428063659434384
168h_6h,2060,F11,5226,871,0.4621452675050323,0.6798126708917923,0.4495794807328713,50.67266713301023,33.51127813129739,51.41362488269118,-2.1335894763127534
168h_6h,2060,B1,5226,871,0.4628064406864218,0.68029878780314,0.4493095886745122,50.70890205134335,33.491160663936135,51.33520627159858,-2.3230328178478756
168h_6h,2060,B2,5226,871,0.4633342665655806,0.6806866140637559,0.44865132318576173,50.73781038231981,33.44209410429822,51.892042354661804,-2.5320114737217607
168h_6h,2060,B_flat,5226,871,0.4611847384499463,0.6791058374435801,0.4491928068760938,50.61998059919248,33.482455886099196,51.82227558442064,-2.5916108117904693
168h_6h,2060,B3,5226,871,0.4649731070809263,0.6818893657191952,0.45142209986315657,50.827462316382885,33.64862542676141,52.23668370278604,-2.5717070871872143
168h_6h,2061,F00,5226,871,0.467660044691119,0.6838567428132292,0.4496176218194477,50.97410899834434,33.5141211990374,50.36218597868972,-2.3536571191728592
168h_6h,2061,F10,5226,871,0.45822952444949916,0.6769265281029391,0.4473429728710865,50.4575367234481,33.34457067014429,50.2400973140232,-1.7724446137198715
168h_6h,2061,F01,5226,871,0.4615827492977912,0.6793988146131779,0.44321493733153206,50.6418188531745,33.03687049874482,50.48771075686772,-2.5443034794336983
168h_6h,2061,F11,5226,871,0.454023521771443,0.6738126755793802,0.4419029476288585,50.225432570770806,32.93907576048917,50.437532467695135,-1.913162932193375
168h_6h,2061,B1,5226,871,0.45484192108073546,0.6744196920914568,0.44252309027121506,50.27067907922985,32.98530070716925,50.471841605178966,-2.0931187851238287
168h_6h,2061,B2,5226,871,0.4532223499069458,0.6732179067040224,0.4417101593051566,50.18109910639911,32.92470549515185,50.23925040556739,-1.9639065797603592
168h_6h,2061,B_flat,5226,871,0.4535829613061867,0.6734856801047716,0.44422083285101144,50.20105861990497,33.11184893847881,50.02945826409412,-1.5960246238314326
168h_6h,2061,B3,5226,871,0.4549697167218806,0.6745144303288704,0.4422443170821129,50.27774077853709,32.96452110442356,50.551661865438355,-2.059041703928945
168h_6h,2062,F00,5226,871,0.4768527812476532,0.6905452782024167,0.4509710692757811,51.47266686584198,33.615005963249224,51.24144295486036,-0.7303757125556675
168h_6h,2062,F10,5226,871,0.467548799236364,0.6837754011635429,0.44890781527966434,50.968045526216166,33.46121260857974,51.24048436920844,0.18791902471309505
168h_6h,2062,F01,5226,871,0.4745147771089846,0.6888503299766827,0.4480547485528268,51.34632672301612,33.3976257388454,51.13837587355965,0.1865059275577865
