task,train_seed,permutation_seed,diagnostic_origin_count,excluded_tail_origin_count,rmse_base,rmse_original_M,rmse_shuffled_M,G_orig,G_shuffle
24h_1h,2060,3101,864,12,23.17798529121005,23.072605826378837,23.129287605790015,0.10537946483121274,0.048697685420034276
24h_1h,2060,3102,864,12,23.17798529121005,23.072605826378837,23.125617763374716,0.10537946483121274,0.05236752783533305
24h_1h,2060,3103,864,12,23.17798529121005,23.072605826378837,23.261472937339946,0.10537946483121274,-0.08348764612989612
24h_1h,2060,3104,864,12,23.17798529121005,23.072605826378837,23.12348575640845,0.10537946483121274,0.05449953480160019
24h_1h,2060,3105,864,12,23.17798529121005,23.072605826378837,23.156649499371827,0.10537946483121274,0.021335791838222207
24h_1h,2061,3101,864,12,23.221396821830147,22.86983395162223,23.220271229459748,0.35156287020791765,0.001125592370399886
24h_1h,2061,3102,864,12,23.221396821830147,22.86983395162223,23.23133963816247,0.35156287020791765,-0.00994281633232319
24h_1h,2061,3103,864,12,23.221396821830147,22.86983395162223,23.34867633647044,0.35156287020791765,-0.12727951464029275
24h_1h,2061,3104,864,12,23.221396821830147,22.86983395162223,23.330151368961918,0.35156287020791765,-0.10875454713177035
24h_1h,2061,3105,864,12,23.221396821830147,22.86983395162223,23.18175075684141,0.35156287020791765,0.03964606498873735
24h_1h,2062,3101,864,12,22.68131081844414,22.564433988593823,22.658988733292873,0.116876829850316,0.022322085151266435
24h_1h,2062,3102,864,12,22.68131081844414,22.564433988593823,22.663935948713583,0.116876829850316,0.01737486973055624
24h_1h,2062,3103,864,12,22.68131081844414,22.564433988593823,22.560847092640408,0.116876829850316,0.12046372580373088
24h_1h,2062,3104,864,12,22.68131081844414,22.564433988593823,22.657141073930568,0.116876829850316,0.024169744513571345
24h_1h,2062,3105,864,12,22.68131081844414,22.564433988593823,22.556237455724478,0.116876829850316,0.12507336271966096
168h_6h,2060,3101,864,7,51.16495856405962,50.8233239339066,51.12293110237008,0.34163463015301687,0.04202746168953553
168h_6h,2060,3102,864,7,51.16495856405962,50.8233239339066,51.14309011948906,0.34163463015301687,0.0218684445705577
168h_6h,2060,3103,864,7,51.16495856405962,50.8233239339066,51.05939961358719,0.34163463015301687,0.10555895047242814
168h_6h,2060,3104,864,7,51.16495856405962,50.8233239339066,51.088076878200965,0.34163463015301687,0.07688168585865185
168h_6h,2060,3105,864,7,51.16495856405962,50.8233239339066,50.91965987340197,0.34163463015301687,0.24529869065764842
168h_6h,2061,3101,864,7,50.62002313098496,50.39185417855917,50.43117223866386,0.22816895242578994,0.1888508923210992
168h_6h,2061,3102,864,7,50.62002313098496,50.39185417855917,50.462671989274426,0.22816895242578994,0.1573511417105351
168h_6h,2061,3103,864,7,50.62002313098496,50.39185417855917,50.46187818783908,0.22816895242578994,0.1581449431458779
168h_6h,2061,3104,864,7,50.62002313098496,50.39185417855917,50.44013815716232,0.22816895242578994,0.17988497382263802
168h_6h,2061,3105,864,7,50.62002313098496,50.39185417855917,50.38234649154552,0.22816895242578994,0.23767663943944228
168h_6h,2062,3101,864,7,51.06025333692119,50.92237330963307,51.03342439264609,0.13788002728811932,0.02682894427510263
168h_6h,2062,3102,864,7,51.06025333692119,50.92237330963307,51.09269699116747,0.13788002728811932,-0.03244365424627915
168h_6h,2062,3103,864,7,51.06025333692119,50.92237330963307,51.036629592833734,0.13788002728811932,0.02362374408745893
168h_6h,2062,3104,864,7,51.06025333692119,50.92237330963307,51.19982917535028,0.13788002728811932,-0.1395758384290886
168h_6h,2062,3105,864,7,51.06025333692119,50.92237330963307,50.84973870133902,0.13788002728811932,0.21051463558217165
