task,seed,variant,horizon_step,cell_count,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
24h_1h,2060,F00,1,48,43.96014307251944,36.34880510965983,47.3651800652209,-10.280502637227377
24h_1h,2060,F10,1,48,43.98258559453895,36.37619590759277,47.4210495809064,-10.381043434143068
24h_1h,2060,F01,1,48,43.96085956326035,36.349912563959755,47.367811439570545,-10.285229444503784
24h_1h,2060,F11,1,48,43.98331334722378,36.37730383872986,47.42368481432222,-10.385769923528036
24h_1h,2060,B1,1,48,43.9833427905729,36.37732911109924,47.42373593552826,-10.38587466875712
24h_1h,2060,B2,1,48,43.98333307459985,36.37731575965881,47.42369878264252,-10.38577914237976
24h_1h,2060,B_flat,1,48,43.98313682395544,36.37689789136251,47.42255525717354,-10.383434375127157
24h_1h,2060,B3,1,48,43.98325689476788,36.37710110346476,47.423058612664974,-10.384509245554606
168h_6h,2060,F00,1,48,67.87991311966417,58.50025542577108,81.23741190161834,-43.49089511235555
168h_6h,2060,F00,2,48,99.8584844507672,79.21318984031677,66.88727479575824,30.858790000279743
168h_6h,2060,F00,3,48,64.08664097045225,54.597211281458534,53.70779650123298,18.189393917719524
168h_6h,2060,F00,4,48,54.47803444096468,44.441638231277466,54.34604645089597,-34.34673078854879
168h_6h,2060,F00,5,48,61.34341407131405,50.17112318674723,54.627366008401744,-12.250203132629395
168h_6h,2060,F00,6,48,40.38569160598349,33.312595208485924,31.286749547821564,2.902125517527262
168h_6h,2060,F10,1,48,67.82980924561554,58.444541454315186,81.11925276304261,-43.41249338785807
168h_6h,2060,F10,2,48,99.8340916847225,79.20296398798625,66.90654015399913,30.78003803888957
168h_6h,2060,F10,3,48,64.10869392338442,54.61689154307047,53.70271013180113,18.266814867655437
168h_6h,2060,F10,4,48,54.427888844752644,44.39188679059347,54.26055760340432,-34.267700592676796
168h_6h,2060,F10,5,48,61.35911449029393,50.17156648635864,54.65164262581709,-12.325947602589926
168h_6h,2060,F10,6,48,40.39191661965566,33.316554387410484,31.2814089610357,2.9801286061604837
168h_6h,2060,F01,1,48,67.87595372776079,58.49571188290914,81.22755687377364,-43.48404304186503
168h_6h,2060,F01,2,48,99.85720565400607,79.21254825592041,66.88787901943,30.855584144592285
168h_6h,2060,F01,3,48,64.08792737861675,54.59835879007975,53.70756739843867,18.193676630655926
168h_6h,2060,F01,4,48,54.47585650697699,44.43947013219198,54.342394308100275,-34.3434952100118
168h_6h,2060,F01,5,48,61.34385574133396,50.17096209526062,54.628200604575916,-12.25350801150004
168h_6h,2060,F01,6,48,40.38591846279336,33.31275542577108,31.28654914422783,2.9050040245056152
168h_6h,2060,F11,1,48,67.82585500877609,58.439998149871826,81.109408798702,-43.405641873677574
168h_6h,2060,F11,2,48,99.83281652579076,79.2023229598999,66.90714471451787,30.776833216349285
168h_6h,2060,F11,3,48,64.10998345489658,54.61803833643595,53.702481033797966,18.271096388498943
168h_6h,2060,F11,4,48,54.42571291501209,44.38971829414368,54.25690853600681,-34.26446398099264
168h_6h,2060,F11,5,48,61.35955916221486,50.17140475908915,54.652477461209784,-12.32925279935201
168h_6h,2060,F11,6,48,40.392146360087104,33.31671301523844,31.28120751033204,2.983005841573077
168h_6h,2060,B1,1,48,67.8257322821744,58.439866145451866,81.10912510644161,-43.40546774864197
168h_6h,2060,B1,2,48,99.83281123706873,79.20231787363689,66.90714357919974,30.776819547017414
168h_6h,2060,B1,3,48,64.10993528283664,54.617990016937256,53.70244906798146,18.27106300989787
168h_6h,2060,B1,4,48,54.42571191140997,44.38972028096517,54.25690553423315,-34.264463106791176
168h_6h,2060,B1,5,48,61.35956906041512,50.17141127586365,54.65248543724831,-12.329243421554565
168h_6h,2060,B1,6,48,40.392167652559976,33.316747188568115,31.281247402554733,2.9828826586405426
168h_6h,2060,B2,1,48,67.82585561714417,58.43999934196472,81.10941495831094,-43.40564719835917
168h_6h,2060,B2,2,48,99.8328176648144,79.2023233572642,66.90714549906374,30.776833136876423
168h_6h,2060,B2,3,48,64.10997180115801,54.61802792549133,53.70247784216561,18.271068970362347
168h_6h,2060,B2,4,48,54.42570646079484,44.38971201578776,54.25690104011153,-34.26445706685384
168h_6h,2060,B2,5,48,61.35955580919119,50.171404123306274,54.652477068314475,-12.329250574111938
168h_6h,2060,B2,6,48,40.39217597684826,33.31673447291056,31.281222592060043,2.9830387433369956
168h_6h,2060,B_flat,1,48,67.8280650400894,58.44253389040629,81.1147671180368,-43.409386237462364
168h_6h,2060,B_flat,2,48,99.83280289657988,79.20207889874776,66.90654121425365,30.777623414993286
168h_6h,2060,B_flat,3,48,64.11013026592147,54.61819966634115,53.70310615568944,18.26964823404948
168h_6h,2060,B_flat,4,48,54.426117634016784,44.3900994459788,54.25740822472481,-34.26452946662903
168h_6h,2060,B_flat,5,48,61.360003122825724,50.17170604070028,54.652972930907374,-12.329647223154703
168h_6h,2060,B_flat,6,48,40.3920691300442,33.316750049591064,31.281440240753167,2.9809737205505384
168h_6h,2060,B3,1,48,67.82787310161687,58.442423025767006,81.11481400224058,-43.40958499908447
168h_6h,2060,B3,2,48,99.83291238695992,79.20244224866231,66.90736430928874,30.77648440996806
168h_6h,2060,B3,3,48,64.10978444159844,54.61785626411438,53.7024747841388,18.27055811882019
168h_6h,2060,B3,4,48,54.42571750221906,44.38973021507263,54.25686418029964,-34.264288345972695
168h_6h,2060,B3,5,48,61.35971044710365,50.171451489130654,54.65267240894952,-12.329669872919718
168h_6h,2060,B3,6,48,40.39210982309686,33.316656271616615,31.281179763011245,2.9829916954040527
