task,seed,comparison,candidate,baseline,metric,baseline_error,candidate_error,absolute_improvement,relative_improvement_percent,improved
24h_1h,2060,adapter_gain_without_spatial,F01,F00,rmse_ugm3,43.96014307251944,43.96085956326035,-0.0007164907409062948,-0.0016298644427164993,False
24h_1h,2060,adapter_gain_without_spatial,F01,F00,mae_ugm3,36.34880510965983,36.349912563959755,-0.0011074542999267578,-0.0030467419674063724,False
24h_1h,2060,adapter_gain_without_spatial,F01,F00,smape_percent,47.3651800652209,47.367811439570545,-0.0026313743496473307,-0.005555503739295367,False
24h_1h,2060,spatial_gain_without_adapter,F10,F00,rmse_ugm3,43.96014307251944,43.98258559453895,-0.022442522019510136,-0.0510519767474085,False
24h_1h,2060,spatial_gain_without_adapter,F10,F00,mae_ugm3,36.34880510965983,36.37619590759277,-0.027390797932945077,-0.07535542874190897,False
24h_1h,2060,spatial_gain_without_adapter,F10,F00,smape_percent,47.3651800652209,47.4210495809064,-0.055869515685500915,-0.11795482590495744,False
24h_1h,2060,M_vs_locked_ST,F11,F10,rmse_ugm3,43.98258559453895,43.98331334722378,-0.0007277526848241678,-0.0016546382505409785,False
24h_1h,2060,M_vs_locked_ST,F11,F10,mae_ugm3,36.37619590759277,36.37730383872986,-0.001107931137084961,-0.003045758660139895,False
24h_1h,2060,M_vs_locked_ST,F11,F10,smape_percent,47.4210495809064,47.42368481432222,-0.0026352334158232793,-0.0055570963509089626,False
24h_1h,2060,combined_vs_degraded,F11,F00,rmse_ugm3,43.96014307251944,43.98331334722378,-0.023170274704334304,-0.0527074597234844,False
24h_1h,2060,combined_vs_degraded,F11,F00,mae_ugm3,36.34880510965983,36.37730383872986,-0.028498729070030038,-0.07840348254654565,False
24h_1h,2060,combined_vs_degraded,F11,F00,smape_percent,47.3651800652209,47.42368481432222,-0.058504749101324194,-0.12351847711919248,False
24h_1h,2060,M_vs_self_history,F11,B1,rmse_ugm3,43.9833427905729,43.98331334722378,2.9443349120583662e-05,6.6942044993666e-05,True
24h_1h,2060,M_vs_self_history,F11,B1,mae_ugm3,36.37732911109924,36.37730383872986,2.5272369384765625e-05,6.947285576569354e-05,True
24h_1h,2060,M_vs_self_history,F11,B1,smape_percent,47.42373593552826,47.42368481432222,5.112120604167103e-05,0.00010779666560046938,True
24h_1h,2060,M_vs_recent_only,F11,B2,rmse_ugm3,43.98333307459985,43.98331334722378,1.9727376070477476e-05,4.485193524787674e-05,True
24h_1h,2060,M_vs_recent_only,F11,B2,mae_ugm3,36.37731575965881,36.37730383872986,1.1920928955078125e-05,3.277022701135641e-05,True
24h_1h,2060,M_vs_recent_only,F11,B2,smape_percent,47.42369878264252,47.42368481432222,1.3968320295987269e-05,2.9454303764892742e-05,True
24h_1h,2060,M_vs_flat,F11,B_flat,rmse_ugm3,43.98313682395544,43.98331334722378,-0.00017652326833683674,-0.0004013430625545862,False
