task,seed,variant,cell_count,origin_count,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
24h_1h,2060,F00,48,48,0.34781569513109684,0.589759014455139,0.48764707512843114,43.96014307251944,36.34880510965983,47.3651800652209,-10.280502637227377
24h_1h,2060,F10,48,48,0.34817092271236577,0.5900601009324099,0.4880145457573235,43.98258559453895,36.37619590759277,47.4210495809064,-10.381043434143068
24h_1h,2060,F01,48,48,0.34782703427173334,0.589768627744587,0.487661930732429,43.96085956326035,36.349912563959755,47.367811439570545,-10.285229444503784
24h_1h,2060,F11,48,48,0.3481824325002856,0.590069853915861,0.4880294013613214,43.98331334722378,36.37730383872986,47.42368481432222,-10.385769923528036
24h_1h,2060,B1,48,48,0.3481828981772681,0.590070248510521,0.4880297412940611,43.9833427905729,36.37732911109924,47.42373593552826,-10.38587466875712
24h_1h,2060,B2,48,48,0.3481827488378741,0.590070121966766,0.48802955766829353,43.98333307459985,36.37731575965881,47.42369878264252,-10.38577914237976
24h_1h,2060,B_flat,48,48,0.34817963504024835,0.5900674834629073,0.4880239573152115,43.98313682395544,36.37689789136251,47.42255525717354,-10.383434375127157
24h_1h,2060,B3,48,48,0.34818154417260555,0.5900691011844338,0.48802669323049486,43.98325689476788,36.37710110346476,47.423058612664974,-10.384509245554606
168h_6h,2060,F00,288,48,0.8113735869914487,0.9007627806428553,0.716035266380964,67.14210284387156,53.372668862342834,57.01544086762147,-6.356253266334534
168h_6h,2060,F10,288,48,0.8110173509720711,0.9005650176261962,0.7158304286874935,67.1273621120222,53.35740077495575,56.987018706516665,-6.329860011736552
168h_6h,2060,F01,288,48,0.8113497965150255,0.900749574807019,0.7160213839346802,67.14111884758373,53.3716344303555,57.01335789142439,-6.354463577270508
168h_6h,2060,F11,288,48,0.8109936709510907,0.9005518702168636,0.7158165457993972,67.12638211636587,53.35636591911316,56.98493800909442,-6.328070534600152
168h_6h,2060,B1,288,48,0.810993029831632,0.9005515142575865,0.7158162257385103,67.12635597773183,53.35634213023715,56.984892687943166,-6.328068176905314
168h_6h,2060,B2,288,48,0.8109936639725303,0.9005518663422614,0.7158165557436101,67.12638223336829,53.356366872787476,56.98493983333772,-6.328068998124865
168h_6h,2060,B_flat,288,48,0.8110059243937628,0.9005586734876095,0.7158236415464975,67.12688887042542,53.35689466529422,56.986039314060875,-6.329219592942132
168h_6h,2060,B3,288,48,0.8110021729847579,0.900556590661996,0.7158218286656646,67.12673406083519,53.3567599190606,56.98589490798809,-6.328918165630764
