task,seed,variant,scenario,cell_count,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
24h_1h,2060,F00,high_pollution,1,98.7862548828125,98.7862548828125,71.2708201687851,-98.7862548828125
24h_1h,2060,F00,rapid_rise,11,46.9428189290495,40.22987227006392,44.61572791092826,-37.6166825727983
24h_1h,2060,F00,decline,8,19.14373167797583,15.265717506408693,16.7042700592725,-8.697678565979006
24h_1h,2060,F00,ordinary,29,47.556844443900346,40.69270035316204,56.86625778055902,-0.34824792270002597
24h_1h,2060,F10,high_pollution,1,98.88484191894531,98.88484191894531,71.36732801171564,-98.88484191894531
24h_1h,2060,F10,rapid_rise,11,47.02442751274912,40.31597137451172,44.72688442564413,-37.719073902476914
24h_1h,2060,F10,decline,8,19.17489026606049,15.252737045288084,16.709157782624512,-8.791698455810549
24h_1h,2060,F10,ordinary,29,47.55714535755975,40.70895938215585,56.915220308290515,-0.4498856643150603
24h_1h,2060,F01,high_pollution,1,98.79023742675781,98.79023742675781,71.27471739070245,-98.79023742675781
24h_1h,2060,F01,rapid_rise,11,46.94654560845266,40.23371609774503,44.62110821528265,-37.621599370783024
24h_1h,2060,F01,decline,8,19.14541307066509,15.265501499176024,16.70490295857712,-8.701794147491457
24h_1h,2060,F01,ordinary,29,47.55635858226736,40.69313496556775,56.868397760781384,-0.35307127853919673
24h_1h,2060,F11,high_pollution,1,98.88882446289062,98.88882446289062,71.37122800711292,-98.88882446289062
24h_1h,2060,F11,rapid_rise,11,47.02815930244761,40.31981589577415,44.73227254343339,-37.72399070046165
24h_1h,2060,F11,decline,8,19.176589781599994,15.25252151489258,16.709792763228496,-8.795812606811522
24h_1h,2060,F11,ordinary,29,47.55667063607272,40.70939438918541,56.91736313806452,-0.454708888612944
24h_1h,2060,B1,high_pollution,1,98.88890838623047,98.88890838623047,71.37131019212998,-98.88890838623047
24h_1h,2060,B1,rapid_rise,11,47.02823353349731,40.319886987859554,44.73237006909374,-37.72407427701083
24h_1h,2060,B1,decline,8,19.176673941090783,15.252537727355957,16.709831406896363,-8.7959623336792
24h_1h,2060,B1,ordinary,29,47.55667850265795,40.709404780946926,56.91740009966048,-0.454809254613415
24h_1h,2060,B2,high_pollution,1,98.88902282714844,98.88902282714844,71.37142226268801,-98.88902282714844
24h_1h,2060,B2,rapid_rise,11,47.028206281003605,40.31984259865501,44.732306829594805,-37.72401670976119
24h_1h,2060,B2,decline,8,19.17662145597501,15.252537250518797,16.709802302829704,-8.79583787918091
24h_1h,2060,B2,ordinary,29,47.55667969002016,40.709399650836815,56.917370621333106,-0.45470731011752374
