variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_lr_scale,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage,base_parameter_count,beta,disable_max_gap
degraded_patchtst,2047,16,0.4674505591392517,37.79647350800042,0.07151961899944581,test,31126.0,31123,False,1.0,0.32363009452819824,0.5688849571997824,0.3526188135147095,42.285579681396484,26.21038055419922,40.83056640625,42.285579681396484,26.21038055419922,42.285579681396484,26.21038055419922,42.285579681396484,26.21038055419922,42.285579681396484,26.21038055419922,0.0,0.0,0.9999560713768005,0.05083823949098587,0.0006823184085078537,0.0,0.0,input,,,
st_sparse_station_bias_delta_forecast,2047,9,0.4603267312049866,16.272012710000126,0.0655950849995861,test,31127.0,5452,True,0.0,0.319813996553421,0.5655209956786936,0.34875011444091797,42.0355339050293,25.922821044921875,40.18040466308594,42.31538009643555,26.07480239868164,42.767032623291016,26.440759658813477,42.80558776855469,26.52952766418457,42.288570404052734,26.115428924560547,0.10865861177444458,0.05094747462901848,0.6015859246253967,0.10350503027439117,0.045227695256471634,0.0,1.1257870197296143,forecast,,,
degraded_patchtst,2048,30,0.4588397443294525,51.0514260609998,0.06403621700064832,test,31126.0,31123,False,1.0,0.3215681314468384,0.5670697765238757,0.35235288739204407,42.150657653808594,26.190610885620117,40.200645446777344,42.150657653808594,26.190610885620117,42.150657653808594,26.190610885620117,42.150657653808594,26.190610885620117,42.150657653808594,26.190610885620117,0.0,0.0,0.9986602067947388,0.060793161392211914,0.004063197877258062,0.0,0.0,input,,,
st_sparse_station_bias_delta_forecast,2048,25,0.4477976858615875,32.18162375800057,0.0636088169994764,test,31127.0,5452,True,0.0,0.31570470333099365,0.5618760569120148,0.34944427013397217,41.76460266113281,25.97441291809082,40.07197189331055,42.181453704833984,26.224843978881836,43.124229431152344,27.477741241455078,42.93363952636719,27.065519332885742,42.292808532714844,26.13191795349121,0.12353934347629547,0.054786671204239426,0.4990754723548889,0.3898589015007019,0.05980762094259262,0.0,1.6721031665802002,forecast,,,
degraded_patchtst,2049,12,0.4656406044960022,30.50266027499947,0.06272668200017506,test,31126.0,31123,False,1.0,0.3260138928890228,0.5709762629821163,0.350889652967453,42.4410285949707,26.081850051879883,40.00196075439453,42.4410285949707,26.081850051879883,42.4410285949707,26.081850051879883,42.4410285949707,26.081850051879883,42.4410285949707,26.081850051879883,0.0,0.0,0.9990605711936951,0.05641224980354309,0.003636893816292286,0.0,0.0,input,,,
st_sparse_station_bias_delta_forecast,2049,12,0.4596652686595917,19.220583154999986,0.06379406500036566,test,31127.0,5452,True,0.0,0.3198782801628113,0.5655778285636834,0.34835973381996155,42.039756774902344,25.893796920776367,39.75209426879883,42.37275695800781,25.936668395996094,42.83028793334961,26.821813583374023,42.92729187011719,26.917116165161133,42.48182678222656,26.1029109954834,0.10979248583316803,0.047968647453083935,0.6010158061981201,0.1013571247458458,0.05211605504155159,0.0,1.1358097791671753,forecast,,,
degraded_patchtst,2050,11,0.45870542526245117,28.797082072000194,0.06280388400045922,test,31126.0,31123,False,1.0,0.32555338740348816,0.5705728589790161,0.3535151481628418,42.411041259765625,26.277006149291992,40.0496711730957,42.411041259765625,26.277006149291992,42.411041259765625,26.277006149291992,42.411041259765625,26.277006149291992,42.411041259765625,26.277006149291992,0.0,0.0,0.9995036125183105,0.047350767999887466,0.0021373818162828684,0.0,0.0,input,,,
st_sparse_station_bias_delta_forecast,2050,17,0.44995182752609253,24.649614732999908,0.06453021099969192,test,31127.0,5452,True,0.0,0.3214835226535797,0.566995169867945,0.3495739698410034,42.145111083984375,25.984054565429688,39.63938522338867,42.41889572143555,26.104257583618164,43.14604187011719,27.3823184967041,43.056724548339844,27.275650024414062,42.520423889160156,26.17746925354004,0.11686691641807556,0.05896243428218416,0.5889410972595215,0.06456514447927475,0.05162724852561951,0.0,1.366165280342102,forecast,,,
degraded_patchtst,2051,16,0.46054863929748535,38.02175038099995,0.09067547799986642,test,31126.0,31123,False,1.0,0.3199675977230072,0.5656567843869701,0.35133251547813416,42.04562759399414,26.114770889282227,39.41190719604492,42.04562759399414,26.114770889282227,42.04562759399414,26.114770889282227,42.04562759399414,26.114770889282227,42.04562759399414,26.114770889282227,0.0,0.0,0.9996902346611023,0.049231767654418945,0.0017331769922748208,0.0,0.0,input,,,
st_sparse_station_bias_delta_forecast,2051,30,0.4536159932613373,32.763525215999834,0.06443407699953241,test,31127.0,5452,True,0.0,0.31340891122817993,0.5598293590266412,0.343906432390213,41.61247253417969,25.56278419494629,39.245914459228516,42.07503128051758,26.020952224731445,42.927101135253906,27.202579498291016,42.69929504394531,26.714584350585938,42.22049331665039,25.765090942382812,0.12694966793060303,0.0603094198480762,0.45256903767585754,0.4092118740081787,0.0671357735991478,0.0,1.619592308998108,forecast,,,
st_rfft,2047,30,0.4474683403968811,,,test,,3015,,,0.3155961036682129,0.5617794083697024,0.339596688747406,41.75741958618164,25.24243927001953,38.680267333984375,,,,,,,,,,,,,,,,,31127.0,0.1220192238688469,0.12078189849853516
st_time,2047,30,0.4408481866121292,,,test,,3015,,,0.3144962787628174,0.5607996779268132,0.3394128978252411,41.684593200683594,25.228775024414062,38.64181137084961,,,,,,,,,,,,,,,,,31127.0,0.11953941732645035,0.11938595771789551
st_rfft,2048,5,0.4390675872564316,,,test,,3015,,,0.3149380683898926,0.5611934322405178,0.3480841815471649,41.713863372802734,25.873319625854492,39.86030960083008,,,,,,,,,,,,,,,,,31127.0,0.10275986790657043,0.057131052017211914
st_time,2048,29,0.4337005168199539,,,test,,3015,,,0.31427180767059326,0.5605995073763383,0.3462177813053131,41.66971969604492,25.734586715698242,40.12667465209961,,,,,,,,,,,,,,,,,31127.0,0.11397290229797363,0.11328268051147461
st_rfft,2049,14,0.4487098753452301,,,test,,3015,,,0.31600743532180786,0.5621453862852632,0.3425825536251068,41.78462600708008,25.464378356933594,38.79524612426758,,,,,,,,,,,,,,,,,31127.0,0.11199983954429626,0.10909104347229004
st_time,2049,30,0.44100382924079895,,,test,,3015,,,0.3156958818435669,0.5618682068275147,0.34198200702667236,41.76401901245117,25.419740676879883,38.98223876953125,,,,,,,,,,,,,,,,,31127.0,0.1223270520567894,0.12223291397094727
st_rfft,2050,7,0.43880102038383484,,,test,,3015,,,0.3185919523239136,0.5644395028024825,0.34483063220977783,41.95514678955078,25.631479263305664,39.20900344848633,,,,,,,,,,,,,,,,,31127.0,0.1070285439491272,0.09202010929584503
st_time,2050,30,0.434394896030426,,,test,,3015,,,0.3187899589538574,0.5646148766671468,0.3446066081523895,41.96818161010742,25.614826202392578,39.815982818603516,,,,,,,,,,,,,,,,,31127.0,0.12033570557832718,0.12008953094482422
st_rfft,2051,16,0.44511041045188904,,,test,,3015,,,0.31331968307495117,0.5597496610762271,0.34161219000816345,41.60654830932617,25.392250061035156,39.136741638183594,,,,,,,,,,,,,,,,,31127.0,0.10981089621782303,0.09323310852050781
st_time,2051,28,0.44023044407367706,,,test,,3015,,,0.31352588534355164,0.5599338222893413,0.3414822816848755,41.620235443115234,25.38259506225586,39.34925842285156,,,,,,,,,,,,,,,,,31127.0,0.11496119201183319,0.1140756607055664
