variant,seed,rmse_difference_ugm3,mae_difference_ugm3,rmse_relative_change_percent
st_center_only,2024,1.6879043579101562,2.3298473358154297,4.042536376971073
st_center_only,2025,0.012332916259765625,0.38088035583496094,0.028333395994573074
st_center_only,2026,1.2117767333984375,1.5810012817382812,2.844272371805845
st_pairwise,2024,1.8796577453613281,2.2175064086914062,4.50178635789924
st_pairwise,2025,0.21683502197265625,0.18927001953125,0.4981524575080165
st_pairwise,2026,2.4607467651367188,2.8337478637695312,5.775844547254261
st_pairwise_delta,2024,-0.06319046020507812,0.011384963989257812,-0.1513413558413057
st_pairwise_delta,2025,0.05562591552734375,0.05524253845214844,0.1277938695925851
st_pairwise_delta,2026,-0.13270187377929688,-0.09454727172851562,-0.3114767455707712
st_pairwise_delta_forecast,2024,-0.6249351501464844,-0.39885902404785156,-1.4967216986411236
st_pairwise_delta_forecast,2025,-0.8924942016601562,-0.47745704650878906,-2.0503983896324796
st_pairwise_delta_forecast,2026,0.13233566284179688,0.2789192199707031,0.31061717827336466
st_sparse_delta_forecast,2024,-0.6181640625,-0.42253684997558594,-1.4805049219059452
st_sparse_delta_forecast,2025,-0.9692611694335938,-0.5802536010742188,-2.2267612912702073
st_sparse_delta_forecast,2026,-0.4102134704589844,-0.11121177673339844,-0.9628496804827136
st_confident_delta_forecast,2024,-0.5016593933105469,-0.3542499542236328,-1.201475863726087
st_confident_delta_forecast,2025,-0.7652206420898438,-0.37140846252441406,-1.7580026507018065
st_confident_delta_forecast,2026,0.364349365234375,0.4005584716796875,0.8551978303088736
st_station_bias_delta_forecast,2024,-0.616363525390625,-0.395050048828125,-1.4761926297262251
st_station_bias_delta_forecast,2025,-0.89453125,-0.4816112518310547,-2.0550782638858345
st_station_bias_delta_forecast,2026,0.14731597900390625,0.2851734161376953,0.34577885303279654
st_sparse_station_bias_delta_forecast,2024,-0.6152839660644531,-0.4183006286621094,-1.4736070816608327
st_sparse_station_bias_delta_forecast,2025,-0.9674034118652344,-0.5821475982666016,-2.2224933160616134
st_sparse_station_bias_delta_forecast,2026,-0.2948341369628906,-0.020872116088867188,-0.6920322588443661
