variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_lr_scale,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2024,22,0.46193891763687134,49.57951631800097,0.06568647100357339,test,31126,31123,False,1.0,0.31553834676742554,0.5617280006973353,0.3444298505783081,41.753597259521484,25.601686477661133,39.13848876953125,41.753597259521484,25.601686477661133,41.753597259521484,25.601686477661133,41.753597259521484,25.601686477661133,41.753597259521484,25.601686477661133,0.0,0.0,0.9998139142990112,0.05075861141085625,0.001415987848304212,0.0,0.0,input
st_center_only,2024,30,0.44725310802459717,52.08468185700622,0.06253518299490679,test,31127,31124,False,1.0,0.34156548976898193,0.5844360442075608,0.37577417492866516,43.44150161743164,27.931533813476562,46.334869384765625,45.54349136352539,32.25859069824219,44.657440185546875,30.629310607910156,47.848114013671875,33.88492965698242,45.68573760986328,29.417600631713867,0.07058562338352203,0.3039286725822368,0.5187441110610962,0.011442040093243122,0.00665619969367981,1.5684789419174194,0.0,input
st_pairwise,2024,28,0.44451355934143066,52.26524241200241,0.06236261499725515,test,31127,31124,False,1.0,0.3445875346660614,0.5870157874078528,0.37426283955574036,43.63325500488281,27.81919288635254,46.04713821411133,45.94756317138672,31.8912410736084,45.15302658081055,30.45153045654297,47.27871322631836,32.94705581665039,46.72898864746094,29.612424850463867,0.07019128650426865,0.27413506131819304,0.9711976647377014,0.008990867994725704,0.018779508769512177,1.5090006589889526,0.0,input
st_pairwise_delta,2024,22,0.45689657330513,49.41472145899752,0.08889736099808943,test,31127,31124,False,1.0,0.314583957195282,0.5608778451635276,0.3445829451084137,41.690406799316406,25.61307144165039,39.5146369934082,42.035770416259766,25.725717544555664,41.73414611816406,25.747114181518555,41.81582260131836,25.926198959350586,42.00276184082031,25.760271072387695,0.026131540536880493,0.041358406326121484,0.8729539513587952,0.20767153799533844,0.03414962440729141,0.9307299852371216,0.0,input
st_pairwise_delta_forecast,2024,22,0.45488107204437256,52.29364467000414,0.06619715099805035,test,31127,31124,False,1.0,0.30616357922554016,0.5533205031675044,0.3390637934207916,41.128662109375,25.20282745361328,38.63310241699219,41.66392517089844,25.654630661010742,41.72154235839844,26.048206329345703,41.6792106628418,25.88490104675293,41.41240310668945,25.26445198059082,0.10996551811695099,0.07552079460502853,0.8015135526657104,0.31430280208587646,0.037768375128507614,0.0,1.1277575492858887,forecast
st_sparse_delta_forecast,2024,22,0.45475515723228455,49.30195789600111,0.06512510500033386,test,31127,31124,False,1.0,0.30626434087753296,0.5534115474739689,0.33874526619911194,41.135433197021484,25.179149627685547,38.58316421508789,41.6928596496582,25.742706298828125,41.67054748535156,26.068681716918945,41.61420822143555,25.864606857299805,41.40161895751953,25.228899002075195,0.11080782860517502,0.0803337402989517,0.4740751087665558,0.42488184571266174,0.06728541105985641,0.0,1.1909089088439941,forecast
st_confident_delta_forecast,2024,22,0.4552566111087799,49.65425115999824,0.06558741499611642,test,31127,31124,False,1.0,0.30800163745880127,0.5549789522664812,0.33966392278671265,41.25193786621094,25.2474365234375,38.6983642578125,41.68906784057617,25.670927047729492,41.53672409057617,25.750211715698242,41.4913215637207,25.62934684753418,41.44024658203125,25.291797637939453,0.11011460423469543,0.07037813481860648,0.783340334892273,0.33002740144729614,0.04004638269543648,0.0,1.0810655355453491,forecast
st_station_bias_delta_forecast,2024,22,0.4548165500164032,49.422333734997665,0.08514839000417851,test,31127,31124,False,1.0,0.3062911331653595,0.553435753421623,0.3391150236129761,41.13723373413086,25.206636428833008,38.63554382324219,41.668331146240234,25.665342330932617,41.72102355957031,26.042024612426758,41.67748260498047,25.86962890625,41.41252136230469,25.268033981323242,0.10997200012207031,0.07606455978649614,0.7943276762962341,0.3218182921409607,0.03791303560137749,0.0,1.1298984289169312,forecast
st_sparse_station_bias_delta_forecast,2024,22,0.45474371314048767,49.27043153699924,0.06804488299530931,test,31127,31124,False,1.0,0.30630725622177124,0.5534503195606371,0.3388022780418396,41.13831329345703,25.183385848999023,38.57963562011719,41.69544982910156,25.76025390625,41.668113708496094,26.075641632080078,41.59822082519531,25.847915649414062,41.403995513916016,25.245866775512695,0.11082637310028076,0.08127059637774586,0.46910712122917175,0.43196505308151245,0.06372159719467163,0.0,1.19865083694458,forecast
degraded_patchtst,2025,6,0.4752456247806549,20.865239396000106,0.06352319799771067,test,31126,31123,False,1.0,0.342924565076828,0.5855976136194785,0.36691156029701233,43.5278434753418,27.272768020629883,41.7555046081543,43.5278434753418,27.272768020629883,43.5278434753418,27.272768020629883,43.5278434753418,27.272768020629883,43.5278434753418,27.272768020629883,0.0,0.0,0.999019980430603,0.06767891347408295,0.0018899784190580249,0.0,0.0,input
