variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_lr_scale,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2024,21,0.10150600969791412,13.172943186000339,0.017212030004884582,test,21267,21264,False,1.0,0.08246281743049622,0.2871633984868131,0.13393384218215942,21.399333953857422,9.980710983276367,15.65435791015625,21.399333953857422,9.980710983276367,21.399333953857422,9.980710983276367,21.399333953857422,9.980710983276367,21.399333953857422,9.980710983276367,0.0,0.0,0.9998602867126465,0.05243013799190521,0.0013017024612054229,0.0,0.0,input
st_center_only,2024,1,0.10158760100603104,3.2268684950031457,0.035379806999117136,test,21268,4622,True,0.0,0.08244984596967697,0.28714081209343434,0.13451288640499115,21.39765167236328,10.0238618850708,15.82492733001709,21.397600173950195,10.02843952178955,21.39676284790039,10.026320457458496,21.397872924804688,10.02790355682373,21.402774810791016,10.02456283569336,0.04976478964090347,0.0007034474453311798,0.9791569709777832,0.048986248672008514,0.006602939683943987,0.019631732255220413,0.0,input
st_pairwise,2024,11,0.1012996956706047,6.978115926998726,0.025015310005983338,test,21268,4622,True,0.0,0.08271896094083786,0.2876090418273352,0.13492310047149658,21.43254280090332,10.054431915283203,17.060546875,21.397401809692383,10.026782989501953,21.385196685791016,9.998644828796387,21.552135467529297,10.372729301452637,21.586923599243164,10.180342674255371,0.05429721996188164,0.03197679874056775,0.9903551340103149,0.044026363641023636,0.01280265860259533,0.3140921890735626,0.0,input
st_pairwise_delta,2024,31,0.09225867688655853,14.642150382002,0.030816566999419592,test,21268,4622,True,0.0,0.07719992101192474,0.277848737646808,0.1381700485944748,20.70520782470703,10.296393394470215,16.601980209350586,21.491065979003906,10.02238941192627,26.784385681152344,19.018173217773438,30.405654907226562,21.86923599243164,21.5317440032959,10.223995208740234,0.03597533330321312,0.07589536078025433,0.9615995287895203,0.00861779972910881,0.024874962866306305,1.8203558921813965,0.0,input
st_pairwise_delta_forecast,2024,31,0.0941203236579895,13.340525952997268,0.017027563997544348,test,21268,4622,True,0.0,0.07799062132835388,0.27926800985496686,0.13291840255260468,20.81097412109375,9.905041694641113,16.042184829711914,21.398590087890625,10.014986038208008,22.22098731994629,12.124773979187012,22.64813232421875,12.723090171813965,21.37063217163086,10.022577285766602,0.13248370587825775,0.04156961917297216,0.959274411201477,0.026340622454881668,0.029419636353850365,0.0,0.71381014585495,forecast
st_sparse_delta_forecast,2024,23,0.09531553834676743,10.996091507004166,0.017329119000351056,test,21268,4622,True,0.0,0.07812262326478958,0.2795042455219412,0.13383831083774567,20.828577041625977,9.973593711853027,16.4559326171875,21.396255493164062,10.00954532623291,21.876787185668945,11.602545738220215,22.370454788208008,12.257041931152344,21.422679901123047,10.17409610748291,0.1247621551156044,0.043475883658463416,0.5965067148208618,0.09406602382659912,0.07782064378261566,0.0,0.6560454964637756,forecast
st_confident_delta_forecast,2024,31,0.09422054141759872,13.695638010001858,0.04002496899920516,test,21268,4622,True,0.0,0.0780753642320633,0.2794196919189184,0.13296908140182495,20.822275161743164,9.908817291259766,16.048587799072266,21.398590087890625,10.014986038208008,22.09393882751465,11.803498268127441,22.430377960205078,12.309706687927246,21.38357162475586,10.033201217651367,0.13512340188026428,0.041346001733753045,0.95955491065979,0.026578092947602272,0.029365351423621178,0.0,0.751953125,forecast
st_station_bias_delta_forecast,2024,37,0.09330631792545319,13.774599708995083,0.01663113900576718,test,21268,4622,True,0.0,0.07739697396755219,0.278203116387204,0.13345561921596527,20.731618881225586,9.945074081420898,16.430376052856445,21.392057418823242,10.021173477172852,22.414716720581055,12.52755355834961,22.957618713378906,13.346968650817871,21.385290145874023,10.113996505737305,0.14342735707759857,0.05130828336211665,0.9310676455497742,0.02899937517940998,0.029427412897348404,0.0,0.7998984456062317,forecast
st_sparse_station_bias_delta_forecast,2024,27,0.09353899955749512,12.44291751300625,0.02494307599408785,test,21268,4622,True,0.0,0.07702739536762238,0.27753809714636,0.13286563754081726,20.68206024169922,9.901108741760254,16.32767677307129,21.396047592163086,10.026239395141602,22.27714729309082,12.162330627441406,22.738109588623047,12.902398109436035,21.368337631225586,10.03812313079834,0.13160234689712524,0.0508152082150088,0.5941509008407593,0.08808227628469467,0.04052469879388809,0.0,0.7492194175720215,forecast
degraded_patchtst,2025,30,0.10277123004198074,16.114865994000866,0.016863630000443663,test,21267,21264,False,1.0,0.08427754044532776,0.2903059428350163,0.13611947000026703,21.633516311645508,10.143583297729492,16.24132537841797,21.633516311645508,10.143583297729492,21.633516311645508,10.143583297729492,21.633516311645508,10.143583297729492,21.633516311645508,10.143583297729492,0.0,0.0,0.9989655613899231,0.06599775701761246,0.0025808096397668123,0.0,0.0,input
