variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_lr_scale,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2047,16,0.8806751370429993,8.835379060001287,0.03058217199941282,test,25216,25213,False,1.0,0.5179280042648315,0.7196721505413639,0.44217726588249207,53.617469787597656,32.9433708190918,45.30123519897461,53.617469787597656,32.9433708190918,53.617469787597656,32.9433708190918,53.617469787597656,32.9433708190918,53.617469787597656,32.9433708190918,0.0,0.0,0.9999275803565979,0.051885902881622314,0.0010134277399629354,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2047,40,0.8093320727348328,9.496671335000428,0.1253147160005028,test,25217,6448,True,0.0,0.4806259274482727,0.6932719000855816,0.4283677041530609,51.65058135986328,31.914522171020508,43.303131103515625,53.63277053833008,32.9194221496582,53.061519622802734,33.83657455444336,54.75479507446289,35.56984329223633,52.05560302734375,32.34591293334961,0.19600243866443634,0.15450870512122036,0.5866286158561707,0.14205734431743622,0.04890426993370056,0.0,4.4275946617126465,forecast
degraded_patchtst,2048,16,0.8624193072319031,7.143308065000383,0.014689129999169381,test,25216,25213,False,1.0,0.5059261918067932,0.7112848879364676,0.43553587794303894,52.99259567260742,32.44857406616211,44.53135681152344,52.99259567260742,32.44857406616211,52.99259567260742,32.44857406616211,52.99259567260742,32.44857406616211,52.99259567260742,32.44857406616211,0.0,0.0,0.9992506504058838,0.055878736078739166,0.0032802391797304153,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2048,39,0.7879565954208374,8.73313457400036,0.015888291998635395,test,25217,6448,True,0.0,0.4716010093688965,0.6867321234432655,0.4238768219947815,51.16334915161133,31.579938888549805,43.29875183105469,52.984718322753906,32.413002014160156,51.68845748901367,32.9300422668457,52.18716812133789,33.43484115600586,51.47752380371094,31.90593147277832,0.20110517740249634,0.1630922557741502,0.5819783806800842,0.1740865260362625,0.04772808030247688,0.0,5.074459075927734,forecast
degraded_patchtst,2049,40,0.8751709461212158,11.558364227999846,0.014666571998532163,test,25216,25213,False,1.0,0.5146200060844421,0.7173702015587504,0.4420608878135681,53.44596862792969,32.93470001220703,44.628475189208984,53.44596862792969,32.93470001220703,53.44596862792969,32.93470001220703,53.44596862792969,32.93470001220703,53.44596862792969,32.93470001220703,0.0,0.0,0.9992162585258484,0.055616870522499084,0.003334873588755727,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2049,38,0.7988383769989014,8.940894610999749,0.016004646000510547,test,25217,6448,True,0.0,0.47853463888168335,0.6917619813792049,0.43089738488197327,51.538089752197266,32.10299301147461,43.746315002441406,53.4359130859375,32.94178771972656,53.13846206665039,34.24382019042969,54.66463088989258,35.717933654785156,51.578155517578125,32.29950714111328,0.20108339190483093,0.15938688992223474,0.5822047591209412,0.18496035039424896,0.051055386662483215,0.0,4.490191459655762,forecast
degraded_patchtst,2050,25,0.8822658061981201,9.395786318000319,0.014704564999192371,test,25216,25213,False,1.0,0.512130081653595,0.7156326443459626,0.43873006105422974,53.31651306152344,32.686546325683594,44.09858322143555,53.31651306152344,32.686546325683594,53.31651306152344,32.686546325683594,53.31651306152344,32.686546325683594,53.31651306152344,32.686546325683594,0.0,0.0,0.9993913173675537,0.05039970949292183,0.002664075931534171,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2050,40,0.8073421716690063,8.949811943000896,0.01553204999981972,test,25217,6448,True,0.0,0.4745660424232483,0.6888875397503197,0.42682722210884094,51.32393264770508,31.79975128173828,43.2001953125,53.3170051574707,32.70431137084961,52.30311584472656,33.729896545410156,52.5851936340332,33.88412857055664,51.38322067260742,32.025028228759766,0.19672971963882446,0.16070278163113505,0.5795672535896301,0.1914965659379959,0.04913889244198799,0.0,4.823347091674805,forecast
degraded_patchtst,2051,38,0.8462054133415222,11.584518096000465,0.014709262000906165,test,25216,25213,False,1.0,0.517262876033783,0.7192098970632863,0.44448405504226685,53.58302688598633,33.115230560302734,45.25263595581055,53.58302688598633,33.115230560302734,53.58302688598633,33.115230560302734,53.58302688598633,33.115230560302734,53.58302688598633,33.115230560302734,0.0,0.0,0.9996072053909302,0.04558885842561722,0.0016834792913869023,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2051,38,0.7744256258010864,8.715392124999198,0.015727952999441186,test,25217,6448,True,0.0,0.4815748929977417,0.6939559733857341,0.4302971661090851,51.70154571533203,32.05826950073242,43.68387985229492,53.57240676879883,33.0984992980957,52.59455871582031,34.05794143676758,53.35467529296875,34.56435012817383,51.49732208251953,31.99394416809082,0.19624781608581543,0.15381629756485388,0.5560479760169983,0.27116963267326355,0.05274259299039841,0.0,4.929662227630615,forecast
