epoch,train_loss,valid_loss,learning_rate
1,0.8720174636535387,1.2486745119094849,0.001
2,0.6139824200987757,0.9761743545532227,0.001
3,0.5234582736958159,0.9521672129631042,0.001
4,0.48768448647097545,0.87180095911026,0.001
5,0.46960307795860495,0.8486337661743164,0.001
6,0.45924223005702935,0.8444825410842896,0.001
7,0.45137680309540784,0.8243993520736694,0.001
8,0.4486616947751805,0.8282580375671387,0.001
9,0.43996350065047907,0.8255924582481384,0.001
10,0.44093567152088486,0.8240471482276917,0.001
11,0.4375804945613061,0.8180769085884094,0.001
12,0.43271259055407735,0.8130584359169006,0.001
13,0.4298761918264854,0.8228315114974976,0.001
14,0.4288068812161993,0.8097853660583496,0.001
15,0.42616073385545966,0.8206425309181213,0.001
16,0.42301647935081665,0.8110660910606384,0.001
17,0.42450181999768727,0.8031318187713623,0.001
18,0.4239665752832842,0.8379811644554138,0.001
19,0.4254530345257043,0.8162802457809448,0.001
20,0.42435983536409505,0.8148095607757568,0.001
21,0.4192801713550894,0.8063516020774841,0.0005
22,0.41522799891850787,0.8048069477081299,0.0005
23,0.4157171971554931,0.805578351020813,0.0005
