schema_version,condition,task,seed,arm,training_rng_seed,best_epoch,best_valid_loss,training_seconds,parameter_count,backbone_parameter_count,parameter_increment,initial_backbone_hash,prior_mode,tau,tau_applied,prior_only_rmse_raw,prior_only_mae_raw,prior_only_per_step_rmse_raw,mse_scaled,rmse_scaled,mae_scaled,rmse_raw,mae_raw,smape_percent,per_step_rmse_raw,prediction_artifact
ccsprf-l0-v2,calendar_off,168h_6h,20260939,BASE,21260942,11,1.0171127319335938,14.533472008999524,25675,25675,0,1025fab744c605a98e00f02364b3424f9cf2a5ecf1285e5137926b931be90ae7,none,,False,0.9929270148277283,0.7954124808311462,"[0.9932297468185425, 0.9924988150596619, 0.9924994111061096, 0.9926690459251404, 0.993312418460846, 0.9933514595031738]",1.0406936407089233,1.020143985748291,0.8161998987197876,0.9773876667022705,0.7819913029670715,7.880305290222168,"[0.8376261591911316, 0.9608234167098999, 1.0013365745544434, 1.012948751449585, 1.016230821609497, 1.0224741697311401]",predictions/calendar_off/168h_6h/seed20260939/BASE.npz
ccsprf-l0-v2,calendar_off,168h_6h,20260939,CCSPRF-global,21260942,11,1.0171126127243042,14.503051489002246,25675,25675,0,1025fab744c605a98e00f02364b3424f9cf2a5ecf1285e5137926b931be90ae7,global,,False,0.9929270148277283,0.7954124808311462,"[0.9932297468185425, 0.9924988150596619, 0.9924994111061096, 0.9926690459251404, 0.993312418460846, 0.9933514595031738]",1.0407042503356934,1.0201491117477417,0.8162030577659607,0.9773926734924316,0.7819943428039551,7.880337715148926,"[0.8376246690750122, 0.9608278870582581, 1.0013428926467896, 1.0129551887512207, 1.016236662864685, 1.0224814414978027]",predictions/calendar_off/168h_6h/seed20260939/CCSPRF-global.npz
ccsprf-l0-v2,calendar_off,168h_6h,20260939,CCSPRF,21260942,11,1.013615608215332,14.535939429999416,25675,25675,0,1025fab744c605a98e00f02364b3424f9cf2a5ecf1285e5137926b931be90ae7,calendar,50.0,True,0.9931811690330505,0.7950491309165955,"[0.9935827255249023, 0.9927884936332703, 0.992746889591217, 0.9929028153419495, 0.993522047996521, 0.9935426712036133]",1.0435900688171387,1.0215625762939453,0.8173887133598328,0.9787468910217285,0.7831303477287292,7.892105579376221,"[0.839436948299408, 0.9627411961555481, 1.0031102895736694, 1.0140440464019775, 1.0171399116516113, 1.0232598781585693]",predictions/calendar_off/168h_6h/seed20260939/CCSPRF.npz
ccsprf-l0-v2,calendar_off,168h_6h,20260939,EMB,21260942,27,1.0639210939407349,27.544479659998615,25799,25675,124,1025fab744c605a98e00f02364b3424f9cf2a5ecf1285e5137926b931be90ae7,embedding_bias,,False,1.0067331790924072,0.8057509064674377,"[1.0072675943374634, 1.006427526473999, 1.0063457489013672, 1.006427526473999, 1.0069782733917236, 1.0069514513015747]",1.1128177642822266,1.0549018383026123,0.842207670211792,1.0106886625289917,0.8069090843200684,8.131478309631348,"[0.8614842891693115, 0.9968143105506897, 1.0375607013702393, 1.0455307960510254, 1.0529539585113525, 1.0558284521102905]",predictions/calendar_off/168h_6h/seed20260939/EMB.npz
ccsprf-l0-v2,calendar_off,168h_6h,20260940,BASE,21260943,8,0.9886191487312317,12.439299474001018,25675,25675,0,2bcff26e87ffafdeaa3a18dab9a5ea4cbb3edb48aef661153e4e7115b77cab82,none,,False,0.9790046215057373,0.7852096557617188,"[0.9795565605163574, 0.97980797290802, 0.9798285961151123, 0.9793292284011841, 0.9786676168441772, 0.9768345952033997]",0.9855311512947083,0.992739200592041,0.7929206490516663,0.9726942181587219,0.7769103050231934,7.852663040161133,"[0.8105498552322388, 0.9442719221115112, 0.9924336075782776, 1.015578269958496, 1.0261706113815308, 1.0289862155914307]",predictions/calendar_off/168h_6h/seed20260940/BASE.npz
ccsprf-l0-v2,calendar_off,168h_6h,20260940,CCSPRF-global,21260943,8,0.988625168800354,12.436185255002783,25675,25675,0,2bcff26e87ffafdeaa3a18dab9a5ea4cbb3edb48aef661153e4e7115b77cab82,global,,False,0.9790046215057373,0.7852096557617188,"[0.9795565605163574, 0.97980797290802, 0.9798285961151123, 0.9793292284011841, 0.9786676168441772, 0.9768345952033997]",0.9855383038520813,0.9927428364753723,0.7929237484931946,0.9726977944374084,0.7769131660461426,7.852692127227783,"[0.8105455636978149, 0.9442741870880127, 0.9924376606941223, 1.01558518409729, 1.0261775255203247, 1.028990626335144]",predictions/calendar_off/168h_6h/seed20260940/CCSPRF-global.npz
ccsprf-l0-v2,calendar_off,168h_6h,20260940,CCSPRF,21260943,8,1.0025997161865234,12.240330754997558,25675,25675,0,2bcff26e87ffafdeaa3a18dab9a5ea4cbb3edb48aef661153e4e7115b77cab82,calendar,50.0,True,0.982144832611084,0.7858871221542358,"[0.9827173352241516, 0.9829452037811279, 0.9829424023628235, 0.9824772477149963, 0.9817736148834229, 0.980009913444519]",0.9937581419944763,0.996874213218689,0.7957236170768738,0.9767456650733948,0.7796566486358643,7.880963325500488,"[0.8148285150527954, 0.9491814970970154, 0.9966500401496887, 1.0193004608154297, 1.029434323310852, 1.033093810081482]",predictions/calendar_off/168h_6h/seed20260940/CCSPRF.npz
ccsprf-l0-v2,calendar_off,168h_6h,20260940,EMB,21260943,27,1.0388822555541992,27.28410369500125,25799,25675,124,2bcff26e87ffafdeaa3a18dab9a5ea4cbb3edb48aef661153e4e7115b77cab82,embedding_bias,,False,0.9991238713264465,0.7977650165557861,"[0.9998168349266052, 1.000075101852417, 0.9999629259109497, 0.9995051622390747, 0.9987677931785583, 0.996612548828125]",1.0435198545455933,1.0215282440185547,0.8133038282394409,1.0009019374847412,0.7968819737434387,8.057162284851074,"[0.8348520398139954, 0.9692204594612122, 1.0261369943618774, 1.046904444694519, 1.055236577987671, 1.0545011758804321]",predictions/calendar_off/168h_6h/seed20260940/EMB.npz
ccsprf-l0-v2,calendar_off,168h_6h,20260941,BASE,21260944,6,0.9944934248924255,10.735131279998313,25675,25675,0,780d7a4164e17b8679e611b044b78e71063a672ad8466f36f8ededaeab1f5d9a,none,,False,0.9559968709945679,0.7612751722335815,"[0.956786036491394, 0.9563121199607849, 0.9559465646743774, 0.9559359550476074, 0.955694317817688, 0.9553070068359375]",0.9215465784072876,0.9599722027778625,0.7666484117507935,0.9498748779296875,0.7585845589637756,7.571795463562012,"[0.8264005780220032, 0.9280423521995544, 0.9642921090126038, 0.9859417676925659, 0.9891893267631531, 0.9944530725479126]",predictions/calendar_off/168h_6h/seed20260941/BASE.npz
ccsprf-l0-v2,calendar_off,168h_6h,20260941,CCSPRF-global,21260944,6,0.9944967031478882,10.707801929998823,25675,25675,0,780d7a4164e17b8679e611b044b78e71063a672ad8466f36f8ededaeab1f5d9a,global,,False,0.9559968709945679,0.7612751722335815,"[0.956786036491394, 0.9563121199607849, 0.9559465646743774, 0.9559359550476074, 0.955694317817688, 0.9553070068359375]",0.9215559959411621,0.9599770903587341,0.7666520476341248,0.9498797059059143,0.7585881948471069,7.571832180023193,"[0.8264017105102539, 0.9280473589897156, 0.9642972350120544, 0.9859484434127808, 0.9891941547393799, 0.9944582581520081]",predictions/calendar_off/168h_6h/seed20260941/CCSPRF-global.npz
