epoch,train_loss,valid_loss,learning_rate
1,0.7311078197845008,0.9033281803131104,0.001
2,0.4472885649831045,0.7202864289283752,0.001
3,0.3494896816136238,0.5664358735084534,0.001
4,0.30908504261351666,0.5290546417236328,0.001
5,0.28793408416471944,0.499049574136734,0.001
6,0.2790004721001262,0.46972641348838806,0.001
7,0.269419177122005,0.48336684703826904,0.001
8,0.26540438406876043,0.48000892996788025,0.001
9,0.25902317650802126,0.4794842302799225,0.001
10,0.26087835787139996,0.4649987518787384,0.001
11,0.2553322184700736,0.4603860378265381,0.001
12,0.25346084079409203,0.4799516201019287,0.001
13,0.25597763118053635,0.46972206234931946,0.001
14,0.24773811277454585,0.48891979455947876,0.001
15,0.2469936889340596,0.46875834465026855,0.0005
16,0.2406088458519807,0.4634178578853607,0.0005
17,0.23868044700083044,0.4498806893825531,0.0005
18,0.23583299988716494,0.46313977241516113,0.0005
19,0.2386532705258609,0.46096062660217285,0.0005
20,0.23454366116575315,0.46203941106796265,0.0005
21,0.23517745787311908,0.47191762924194336,0.00025
22,0.23351033485669662,0.4619761109352112,0.00025
23,0.23499876854820378,0.4608677625656128,0.00025
