task,variant,runs,rmse_ugm3_mean,rmse_ugm3_std,mae_ugm3_mean,mae_ugm3_std,smape_percent_mean,smape_percent_std,paired_rmse_relative_change_percent_mean,rmse_improved_seed_count,disable_rmse_increase_mean,shuffle_rmse_increase_mean
24h_to_1h_forecast,degraded_patchtst,3,21.515790303548176,0.11709634152760026,10.061922073364258,0.08143709025671372,15.916397094726562,0.29849452472464216,0.0,0,,
24h_to_1h_forecast,st_pairwise_delta_forecast,3,20.93569564819336,0.4455146065531045,10.063241322835287,0.36053982027560516,17.214839935302734,0.6121075335830263,-2.695364058135963,3,0.5879650115966832,1.3419431050618513
24h_to_1h_forecast,st_sparse_delta_forecast,3,21.01698875427246,0.5219781273694465,10.213115374247232,0.37347918548696024,17.409141540527344,0.5926858685804818,-2.319911105767828,2,0.5235061645507812,1.100977579752603
24h_to_1h_station_bias,degraded_patchtst,3,21.515790303548176,0.11709634152760026,10.061922073364258,0.08143709025671372,15.916397094726562,0.29849452472464216,0.0,0,,
24h_to_1h_station_bias,st_station_bias_delta_forecast,3,20.927168528238933,0.46243380575508153,10.064881324768066,0.3648600161334889,17.235132217407227,0.5916688780383744,-2.735287876432576,3,0.6132844289143892,1.4283924102783214
168h_to_6h_forecast,degraded_patchtst,3,42.6285146077474,0.8873749772765609,26.36753527323405,0.8442151949189463,40.11233393351237,1.4311500460528188,0.0,0,,
168h_to_6h_forecast,st_pairwise_delta_forecast,3,42.16681671142578,0.9004879254807874,26.168402989705402,0.8485415273816138,39.7061882019043,1.008288010036914,-1.0788343033334202,2,0.20662053426106772,0.4678840637207031
168h_to_6h_forecast,st_sparse_delta_forecast,3,42.110958099365234,0.8415109974051899,26.103899637858074,0.8116069791116877,39.659002939860024,0.9950355701372673,-1.2089320523556528,2,0.24332300821940578,0.3305244445800805
168h_to_6h_station_bias,degraded_patchtst,3,42.6285146077474,0.8873749772765609,26.36753527323405,0.8442151949189463,40.11233393351237,1.4311500460528188,0.0,0,,
168h_to_6h_station_bias,st_station_bias_delta_forecast,3,42.173988342285156,0.899795751646507,26.170372645060223,0.8461018143510183,39.712806701660156,1.0061761158815694,-1.0618306801930915,2,0.20639038085937736,0.46612548828125
