epoch,train_loss,valid_loss,learning_rate
1,0.23605497978292964,0.4613042175769806,0.001
2,0.2342055625060632,0.46123164892196655,0.001
3,0.23083603009705536,0.4607897102832794,0.001
4,0.23226925269041998,0.46014681458473206,0.001
5,0.23204065479970415,0.4594864845275879,0.001
6,0.2328732963657617,0.45829102396965027,0.001
7,0.23051551480261537,0.4579545259475708,0.001
8,0.2328057124690089,0.4575936496257782,0.001
9,0.22859181308012438,0.4575601816177368,0.001
10,0.22816435822135397,0.45780014991760254,0.001
11,0.22937736788922658,0.4586794078350067,0.001
12,0.22948256468217504,0.45844191312789917,0.0005
13,0.2266346772677093,0.4586174488067627,0.0005
14,0.22924894222403921,0.45835423469543457,0.0005
15,0.22685988502276322,0.45841139554977417,0.0005
