variant,seed,horizon_step,rmse_ugm3,mae_ugm3
degraded_patchtst,2024,1,22.000102996826172,12.251320838928223
degraded_patchtst,2024,2,32.3884391784668,18.87298011779785
degraded_patchtst,2024,3,39.727325439453125,24.376659393310547
degraded_patchtst,2024,4,45.343379974365234,29.285783767700195
degraded_patchtst,2024,5,49.52863693237305,32.8146858215332
degraded_patchtst,2024,6,53.28971862792969,36.00870132446289
st_station_bias_delta_forecast,2024,1,21.365564346313477,11.721439361572266
st_station_bias_delta_forecast,2024,2,31.747114181518555,18.468700408935547
st_station_bias_delta_forecast,2024,3,39.22968292236328,24.141870498657227
st_station_bias_delta_forecast,2024,4,44.846458435058594,28.917673110961914
st_station_bias_delta_forecast,2024,5,48.83284378051758,32.43213653564453
st_station_bias_delta_forecast,2024,6,52.48280334472656,35.557987213134766
degraded_patchtst,2025,1,24.31534194946289,14.256056785583496
degraded_patchtst,2025,2,34.382850646972656,20.90403938293457
degraded_patchtst,2025,3,41.61442184448242,26.42930030822754
degraded_patchtst,2025,4,46.77335739135742,30.69028663635254
degraded_patchtst,2025,5,51.18788528442383,33.86954879760742
degraded_patchtst,2025,6,55.27129364013672,37.48737716674805
st_station_bias_delta_forecast,2025,1,22.931476593017578,13.401555061340332
st_station_bias_delta_forecast,2025,2,33.32841110229492,20.160951614379883
st_station_bias_delta_forecast,2025,3,40.56126022338867,25.688995361328125
st_station_bias_delta_forecast,2025,4,46.2587776184082,30.329477310180664
st_station_bias_delta_forecast,2025,5,50.33821487426758,33.702144622802734
st_station_bias_delta_forecast,2025,6,54.31330108642578,37.46381759643555
degraded_patchtst,2026,1,22.74756622314453,12.63386058807373
degraded_patchtst,2026,2,32.91071319580078,19.43213653564453
degraded_patchtst,2026,3,40.3090705871582,25.03075408935547
degraded_patchtst,2026,4,46.00780487060547,29.575056076049805
degraded_patchtst,2026,5,50.44415283203125,33.46272277832031
degraded_patchtst,2026,6,54.80820083618164,37.23435974121094
st_station_bias_delta_forecast,2026,1,22.60350799560547,12.611690521240234
st_station_bias_delta_forecast,2026,2,32.85773849487305,19.51711654663086
st_station_bias_delta_forecast,2026,3,40.28395462036133,25.285106658935547
st_station_bias_delta_forecast,2026,4,46.12507247924805,29.93722915649414
st_station_bias_delta_forecast,2026,5,50.6127815246582,33.9885368347168
st_station_bias_delta_forecast,2026,6,55.34962844848633,37.74026107788086
