epoch,train_loss,valid_loss,learning_rate
1,0.7204505781663237,0.9055783152580261,0.001
2,0.40872985713692156,0.6367232203483582,0.001
3,0.31450272649774536,0.5374736189842224,0.001
4,0.2902839282784803,0.4889909327030182,0.001
5,0.2709720964340521,0.4843267798423767,0.001
6,0.2674138509989181,0.4752456247806549,0.001
7,0.2639541862510802,0.4898691177368164,0.001
8,0.26144592349918033,0.497075617313385,0.001
9,0.25667002548691437,0.4860435426235199,0.001
10,0.2545061816986706,0.48875105381011963,0.0005
11,0.25171583393052493,0.47813132405281067,0.0005
12,0.24715708737167066,0.4824652671813965,0.0005
