epoch,train_loss,valid_loss,learning_rate
1,0.22982269743501604,0.2157294601202011,0.001
2,0.1006964119652306,0.13558393716812134,0.001
3,0.08060480348905967,0.12187206745147705,0.001
4,0.07111693414283013,0.11268005520105362,0.001
5,0.06819263321765602,0.10723572969436646,0.001
6,0.06582478931568142,0.1069600060582161,0.001
7,0.06437932159249059,0.10417206585407257,0.001
8,0.06285111647912546,0.1046331450343132,0.001
9,0.0593965244836624,0.10529620200395584,0.001
10,0.06047771375806041,0.10682956129312515,0.001
11,0.06041005766742656,0.10208684206008911,0.001
12,0.0585500680379271,0.09989909082651138,0.001
13,0.05726177555707665,0.10217482596635818,0.001
14,0.05665423194112489,0.09981132298707962,0.001
15,0.0571803249242066,0.10644061118364334,0.001
16,0.05394743303368546,0.09720758348703384,0.001
17,0.054518648952806184,0.09847351908683777,0.001
18,0.05353121148119281,0.09677805751562119,0.001
19,0.05333725896801796,0.09621424973011017,0.001
20,0.05354846939139939,0.10021011531352997,0.001
21,0.05201083629872598,0.09574656933546066,0.001
22,0.05238799785834205,0.09570685029029846,0.001
23,0.05321337755279081,0.09697159379720688,0.001
24,0.05295996735282151,0.0937880128622055,0.001
25,0.05088345158848232,0.09370880573987961,0.001
26,0.05228554391692821,0.09412863105535507,0.001
27,0.050366219901346515,0.09290608018636703,0.001
28,0.049427172491663514,0.09426302462816238,0.001
29,0.05118461204959249,0.09694045782089233,0.001
30,0.04926995448493997,0.09196546673774719,0.001
31,0.048973483583742934,0.09372012317180634,0.001
32,0.047436747120012536,0.09213534742593765,0.001
33,0.048068549544325836,0.09038188308477402,0.001
34,0.04952865420114965,0.09284747391939163,0.001
35,0.04870140829891917,0.09158031642436981,0.001
36,0.04823739873709877,0.09387153387069702,0.001
37,0.04773807661426623,0.09116273373365402,0.0005
38,0.04797794422102774,0.09350571781396866,0.0005
39,0.047583384028440215,0.09428749978542328,0.0005
40,0.04692996569093582,0.0928671807050705,0.0005
