epoch,train_loss,valid_loss,learning_rate
1,0.7740933628923286,0.9582226872444153,0.001
2,0.443967607552914,0.7111772298812866,0.001
3,0.32972071302710676,0.604230523109436,0.001
4,0.2987446818395383,0.6593288779258728,0.001
5,0.29020740712641085,0.548853874206543,0.001
6,0.27715862919010853,0.4940647482872009,0.001
7,0.264350217352691,0.47905516624450684,0.001
8,0.2699692491683706,0.47946202754974365,0.001
9,0.26268949960908555,0.482036292552948,0.001
10,0.25693063880758554,0.4793965518474579,0.001
11,0.25709983739202313,0.4790215790271759,0.0005
12,0.2504266394057409,0.4734157621860504,0.0005
13,0.25087248518343974,0.4759052097797394,0.0005
14,0.24509248906086367,0.46867918968200684,0.0005
15,0.24689104346288818,0.47747814655303955,0.0005
16,0.24461599766414693,0.4814456105232239,0.0005
17,0.247327269621181,0.48636847734451294,0.0005
18,0.2450578995433306,0.47673624753952026,0.00025
19,0.24148771311102216,0.4681199789047241,0.00025
20,0.24238976092882045,0.4735106825828552,0.00025
21,0.24104779395902415,0.4756565988063812,0.00025
22,0.23983290367535068,0.47337839007377625,0.00025
23,0.23626464681696774,0.47107192873954773,0.000125
24,0.23876540229443505,0.47160857915878296,0.000125
25,0.23752743032034146,0.4700869023799896,0.000125
