epoch,train_loss,valid_loss,learning_rate
1,0.26411675961561093,0.474517822265625,0.001
2,0.2605978133376942,0.47403767704963684,0.001
3,0.26465995285951355,0.47308066487312317,0.001
4,0.2612847177488435,0.4714949131011963,0.001
5,0.2604407625121007,0.4697248637676239,0.001
6,0.25858506796363984,0.46879345178604126,0.001
7,0.25833120347061095,0.4680849015712738,0.001
8,0.2556498172477557,0.46790260076522827,0.001
9,0.25692709024853,0.4683297872543335,0.001
10,0.2588266674373392,0.46834877133369446,0.001
11,0.2561381142964577,0.4685610830783844,0.001
12,0.2601549351671571,0.4681937098503113,0.0005
13,0.2577637431377579,0.4683348536491394,0.0005
14,0.2550911283235185,0.46841543912887573,0.0005
