variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_lr_scale,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2037,32,0.10094861686229706,17.04491545700148,0.027913650999835227,test,21267,21264,False,1.0,0.08111701160669327,0.28481048366711026,0.13541053235530853,21.223995208740234,10.090755462646484,16.15166473388672,21.223995208740234,10.090755462646484,21.223995208740234,10.090755462646484,21.223995208740234,10.090755462646484,21.223995208740234,10.090755462646484,0.0,0.0,0.9980178475379944,0.05392129719257355,0.004087512381374836,0.0,0.0,input
st_station_bias_delta_forecast,2037,34,0.0916401594877243,16.989629931995296,0.02316854699893156,test,21268,21265,True,0.1,0.07655404508113861,0.2766840166708923,0.13275215029716492,20.6184139251709,9.892651557922363,16.636354446411133,21.531051635742188,10.254565238952637,22.452259063720703,12.148178100585938,22.994436264038086,12.91116714477539,21.389320373535156,10.145012855529785,0.13938985764980316,0.059126320814001126,0.949752688407898,0.04192629083991051,0.025348583236336708,0.0,0.8223281502723694,forecast
degraded_patchtst,2038,27,0.10333907604217529,14.428646686006687,0.015477948996704072,test,21267,21264,False,1.0,0.08291388303041458,0.2879477088473089,0.13526035845279694,21.457780838012695,10.07956314086914,16.11844825744629,21.457780838012695,10.07956314086914,21.457780838012695,10.07956314086914,21.457780838012695,10.07956314086914,21.457780838012695,10.07956314086914,0.0,0.0,0.9997498989105225,0.05911557748913765,0.0012031685328111053,0.0,0.0,input
st_station_bias_delta_forecast,2038,39,0.0928695946931839,17.136165144998813,0.025258555004256777,test,21268,21265,True,0.1,0.07813802361488342,0.279531793567178,0.1346333920955658,20.830631256103516,10.032842636108398,17.08174705505371,21.634624481201172,10.247471809387207,22.592342376708984,12.548598289489746,23.09414291381836,13.183084487915039,21.656681060791016,10.346281051635742,0.14172132313251495,0.05652977998295523,0.956343948841095,0.04458796977996826,0.02060840278863907,0.0,0.7948225736618042,forecast
degraded_patchtst,2039,24,0.10145062953233719,13.438146840002446,0.017364936997182667,test,21267,21264,False,1.0,0.08235370367765427,0.28697335011748787,0.13491514325141907,21.38517189025879,10.053838729858398,15.99752140045166,21.38517189025879,10.053838729858398,21.38517189025879,10.053838729858398,21.38517189025879,10.053838729858398,21.38517189025879,10.053838729858398,0.0,0.0,0.9995816946029663,0.052649009972810745,0.002507054479792714,0.0,0.0,input
st_station_bias_delta_forecast,2039,27,0.09136398136615753,14.69265009299852,0.0162407610041555,test,21268,21265,True,0.1,0.07728038728237152,0.2779935022304865,0.13093259930610657,20.71599578857422,9.757060050964355,16.660451889038086,21.534204483032227,10.1231689453125,22.38178253173828,12.122897148132324,22.923725128173828,12.80891227722168,21.50459098815918,10.142078399658203,0.13694067299365997,0.053472137852187004,0.9625241160392761,0.03134264796972275,0.019022786989808083,0.0,0.7985138893127441,forecast
degraded_patchtst,2040,24,0.1015397235751152,13.573064584001258,0.015103543999430258,test,21267,21264,False,1.0,0.08132056146860123,0.285167602417598,0.13500367105007172,21.250608444213867,10.06043529510498,16.32796287536621,21.250608444213867,10.06043529510498,21.250608444213867,10.06043529510498,21.250608444213867,10.06043529510498,21.250608444213867,10.06043529510498,0.0,0.0,0.9988926649093628,0.039483778178691864,0.002367377979680896,0.0,0.0,input
st_station_bias_delta_forecast,2040,31,0.09186611324548721,16.367942203003622,0.015936725001665764,test,21268,21265,True,0.1,0.07606302946805954,0.27579526730540455,0.13232207298278809,20.552183151245117,9.860603332519531,16.590890884399414,21.42302131652832,10.270245552062988,22.380212783813477,12.159721374511719,22.881877899169922,12.839841842651367,21.293060302734375,10.09741497039795,0.1362714320421219,0.054192328488686985,0.9653637409210205,0.026685073971748352,0.017317412421107292,0.0,0.7144254446029663,forecast
degraded_patchtst,2041,35,0.10294806212186813,16.686891992998426,0.015161937000812031,test,21267,21264,False,1.0,0.08263317495584488,0.2874598666872384,0.13382601737976074,21.42142677307129,9.972676277160645,15.608469009399414,21.42142677307129,9.972676277160645,21.42142677307129,9.972676277160645,21.42142677307129,9.972676277160645,21.42142677307129,9.972676277160645,0.0,0.0,0.9991759657859802,0.05404854193329811,0.003303941572085023,0.0,0.0,input
st_station_bias_delta_forecast,2041,40,0.09261441975831985,16.836837434995687,0.01583494700025767,test,21268,21265,True,0.1,0.07790206372737885,0.2791094117499065,0.13188187777996063,20.79915428161621,9.827799797058105,16.353830337524414,21.5979061126709,10.135890007019043,22.38917350769043,12.235187530517578,22.989194869995117,13.048599243164062,21.558786392211914,10.119607925415039,0.14234508574008942,0.053064860703104906,0.9490756392478943,0.026993678882718086,0.022944074124097824,0.0,0.7908390164375305,forecast
